"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Arthur Atta";"RW";"all";"all";"487366";"A. Atta";"2003-01-14";"77.34";"18.33";"8";"0";"100";"100";"63";"1.46";"0.91";"69.84";"153";"0.58";"44";"6";"0";"16";"9";"4"
"Alessandro Bastoni";"LCB";"all";"all";"19047";"A. Bastoni";"1999-04-13";"81.53";"23.07";"26";"0";"527";"100";"50.28";"1.25";"0.6";"74.72";"145.73";"0.32";"37.57";"4.55";"0.95";"21.06";"9.11";"3.98"
"Andrea Belotti";"CF";"all";"all";"758";"A. Belotti";"1993-12-20";"70.3";"15.68";"6";"0";"39";"100";"66.67";"2.07";"1.49";"69.23";"184.62";"0.88";"46.15";"12.82";"0";"35.9";"28.21";"17.95"
"Alessandro  Bianco";"DM";"all";"all";"37969";"A. Bianco";"2002-10-01";"87.39";"21.6";"8";"0";"91";"100";"51.65";"0.68";"0.37";"65.96";"114.29";"0.14";"34.07";"1.1";"0";"5.49";"3.3";"1.1"
"Alessandro  Bianco";"LM";"all";"all";"37969";"A. Bianco";"2002-10-01";"90.8";"21.39";"15";"0";"184";"100";"56.52";"0.97";"0.61";"77.88";"139.13";"0.33";"44.02";"4.35";"0.54";"11.41";"7.61";"3.8"
"Ange-Yoan Bonny";"CF";"all";"all";"33148";"A. Bonny";"2003-10-25";"80.08";"17.96";"29";"0";"249";"100";"68.67";"2.27";"1.58";"71.35";"160.64";"0.99";"49";"10.44";"1.61";"33.73";"22.89";"14.06"
"Alessandro Buongiorno";"LCB";"all";"all";"19942";"A. Buongiorno";"1999-06-06";"96.62";"23.95";"21";"0";"372";"100";"51.61";"0.55";"0.28";"89.06";"140.32";"0.2";"45.97";"2.15";"0.54";"4.84";"3.49";"1.88"
"Andrea Cambiaso";"LB";"all";"all";"33391";"A. Cambiaso";"2000-02-20";"90.03";"28.83";"14";"0";"309";"100";"53.4";"1.3";"0.72";"84.24";"150.16";"0.45";"44.98";"4.21";"0.32";"17.48";"9.06";"5.18"
"Antonio Candela";"RCB";"all";"all";"14165";"A. Candela";"2000-04-27";"85.99";"18.46";"5";"0";"53";"100";"66.04";"1.61";"0.78";"82.86";"150.94";"0.4";"54.72";"3.77";"0";"9.43";"5.66";"3.77"
"Antonio Candela";"RWB";"all";"all";"14165";"A. Candela";"2000-04-27";"90.55";"17.56";"6";"0";"57";"100";"61.4";"1.78";"1.44";"74.29";"150.88";"0.83";"45.61";"14.04";"0";"26.32";"21.05";"12.28"
