"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Adam Marušić";"A. Marušić";"196";"1992-10-17";"LB";"Full Back";"95.13";"52.86";"6";"0";"0.73";"1.42";"30.68";"31.04";"8096.78";"134.95";"1179.06";"506.66";"55.62";"258.25";"12.3";"764.91";"67.92";"89.68";"7.19";"65.27";"11.92";"5.3";"1.7"
"Adam Marušić";"A. Marušić";"196";"1992-10-17";"RB";"Full Back";"91.85";"51.21";"17";"0";"0.64";"1.3";"29.71";"31.1";"8151.07";"135.85";"1242.07";"546.91";"54.52";"221.8";"10.68";"768.7";"65.2";"91.74";"5.51";"64.51";"12.68";"3.45";"1.17"
"Adam Masina";"A. Masina";"197";"1994-01-02";"LCB";"Central Defender";"92.62";"52.16";"21";"0";"0.74";"1.43";"28.77";"30.6";"8496.86";"141.61";"1415.22";"491.75";"44.2";"156.71";"7.28";"648.46";"51.49";"90.1";"3.45";"66.93";"6.08";"1.92";"0.55"
"Alberto Grassi";"A. Grassi";"375";"1995-03-07";"DM";"Midfield";"81.93";"46.65";"6";"0";"0.88";"null";"27.9";"28.16";"10047.8";"167.46";"2287.46";"657.45";"55.73";"158.41";"6.65";"815.86";"62.38";"90.68";"2.14";"71.81";"7.07";"1.07";"0.43"
"Alberto Grassi";"A. Grassi";"375";"1995-03-07";"LM";"Midfield";"84.7";"44.09";"9";"0";"0.7";"null";"27.77";"28.48";"9957.31";"165.96";"2248.34";"709.93";"59.73";"168.75";"6.2";"878.68";"65.93";"92.24";"1.51";"74.09";"7.71";"1.06";"0.0"
"Alberto Grassi";"A. Grassi";"375";"1995-03-07";"RM";"Midfield";"88.46";"44.59";"12";"0";"0.66";"1.32";"27.48";"28.46";"10192.64";"169.88";"2406.47";"837.77";"65.25";"185.79";"9.42";"1023.56";"74.67";"100.24";"2.69";"77.03";"8.63";"2.02";"0.45"
"Alberto Moreno Pérez  ";"Alberto Moreno";"380";"1992-07-05";"LB";"Full Back";"87.2";"46.34";"17";"0";"0.58";"1.14";"29.84";"31.44";"8739.42";"145.66";"1453.21";"663.35";"62.22";"254.53";"13.02";"917.88";"75.25";"91.39";"5.86";"66.18";"11.04";"4.65";"1.6"
"Alessio Romagnoli";"A. Romagnoli";"480";"1995-01-12";"LCB";"Central Defender";"97.02";"53.15";"29";"0";"0.68";"1.4";"27.44";"29.54";"7757.9";"129.3";"1003.97";"324.9";"28.1";"77.19";"3.35";"402.08";"31.45";"72.63";"2.65";"54.92";"5.29";"0.9";"0.23"
"Joseph Alfred Duncan";"A. Duncan";"587";"1993-03-10";"RM";"Midfield";"82.03";"45.45";"10";"0";"0.63";"1.45";"27.54";"28.48";"8643.09";"144.05";"1442.3";"435.4";"36.97";"96.77";"3.3";"532.16";"40.27";"92.68";"3.04";"70.89";"7.39";"1.85";"0.26"
"Álvaro Borja Morata Martín";"Álvaro Morata";"646";"1992-10-23";"CF";"Center Forward";"89.54";"51.94";"8";"0";"0.66";"1.33";"29.49";"29.96";"8520.29";"142.0";"1272.2";"656.9";"65.56";"282.6";"14.01";"939.49";"79.57";"79.57";"5.05";"60.22";"12.13";"4.04";"1.44"
"André-Frank Zambo Anguissa";"F. Anguissa";"713";"1995-11-16";"RM";"Midfield";"94.11";"53.37";"29";"0";"0.64";"1.22";"27.94";"29.7";"9448.27";"157.47";"2056.1";"777.38";"63.97";"210.2";"10.0";"987.58";"73.97";"109.13";"4.46";"81.76";"11.55";"2.87";"0.62"
"Andrea Belotti";"A. Belotti";"758";"1993-12-20";"CF";"Center Forward";"70.31";"37.98";"6";"0";"0.7";"1.24";"29.28";"29.68";"8605.72";"143.43";"1572.12";"764.87";"77.14";"296.2";"16.32";"1061.07";"93.47";"97.94";"6.58";"72.93";"11.32";"5.0";"1.05"
"Arnaldo Antonio Sanabria Ayala";"A. Sanabria";"995";"1996-03-04";"CF";"Center Forward";"79.88";"46.6";"14";"0";"0.68";"1.42";"27.42";"28.5";"8501.97";"141.7";"1388.97";"659.72";"56.56";"160.12";"8.46";"819.85";"65.02";"86.09";"5.33";"64.11";"10.94";"4.05";"1.47"
"Armando Izzo";"A. Izzo";"1037";"1992-03-02";"CB";"Central Defender";"95.07";"52.68";"9";"0";"0.83";"1.81";"27.18";"27.74";"8372.2";"139.54";"1336.46";"427.22";"35.69";"111.36";"4.43";"538.58";"40.12";"88.96";"3.29";"68.71";"5.95";"1.9";"0.51"
"Armando Izzo";"A. Izzo";"1037";"1992-03-02";"RCB";"Central Defender";"93.96";"50.96";"18";"0";"0.82";"1.54";"27.14";"28.08";"8710.38";"145.17";"1534.72";"506.1";"40.82";"116.96";"5.1";"623.06";"45.92";"97.2";"3.53";"72.8";"8.24";"1.5";"0.33"
"Keita Baldé Diao";"K. Baldé";"1171";"1995-03-08";"CF";"Center Forward";"82.09";"49.2";"7";"0";"0.7";"1.43";"27.64";"28.1";"7524.04";"125.4";"1111.32";"399.3";"37.46";"120.21";"6.1";"519.51";"43.55";"86.76";"6.1";"69.69";"8.19";"3.66";"1.57"
"Benjamin Pavard";"B. Pavard";"1298";"1996-03-28";"RCB";"Central Defender";"93.07";"52.34";"16";"0";"0.66";"1.41";"29.38";"31.14";"8498.92";"141.65";"1399.02";"497.75";"42.49";"165.08";"7.38";"662.82";"49.87";"85.62";"3.94";"60.9";"6.73";"2.29";"0.57"
"Berat  Djimsiti";"B. Djimsiti";"1317";"1993-02-19";"CB";"Central Defender";"91.28";"52.23";"9";"0";"0.93";"null";"27.23";"27.88";"8116.27";"135.27";"1228.08";"428.46";"35.23";"90.11";"3.96";"518.57";"39.18";"82.96";"3.19";"59.6";"6.13";"0.77";"0.13"
"Berat  Djimsiti";"B. Djimsiti";"1317";"1993-02-19";"RCB";"Central Defender";"93.63";"54.3";"16";"0";"0.75";"1.48";"28.09";"29.68";"8367.11";"139.45";"1322.76";"488.77";"41.09";"130.51";"6.84";"619.29";"47.92";"88.05";"3.18";"66.43";"6.63";"1.66";"0.55"
"Bryan Cristante";"B. Cristante";"1537";"1995-03-03";"LM";"Midfield";"85.76";"50.31";"6";"0";"0.86";"1.77";"26.25";"26.62";"9785.37";"163.09";"2150.3";"617.92";"47.9";"76.32";"3.98";"694.24";"51.87";"87.65";"1.59";"70.76";"8.35";"0.8";"0.2"
"Bryan Cristante";"B. Cristante";"1537";"1995-03-03";"RM";"Midfield";"89.64";"51.87";"11";"0";"0.73";"1.55";"27.3";"29.12";"9459.98";"157.67";"1887.64";"560.87";"43.64";"107.36";"4.21";"668.22";"47.84";"79.39";"1.26";"66.88";"6.83";"0.53";"0.0"
"Christian Kabasele";"C. Kabasele";"1835";"1991-02-24";"RCB";"Central Defender";"92.31";"50.97";"8";"0";"0.81";"1.53";"28.79";"29.74";"8336.39";"138.94";"1295.59";"496.61";"42.52";"139.64";"5.44";"636.25";"47.97";"89.02";"3.38";"64.15";"6.62";"1.91";"0.44"
"Christian Pulišić";"C. Pulišić";"1849";"1998-09-18";"AM";"Midfield";"91.52";"51.97";"8";"0";"0.6";"1.23";"29.35";"30.18";"9813.96";"163.57";"2009.75";"766.99";"70.28";"276.78";"12.84";"1043.76";"83.12";"103.32";"4.76";"76.63";"10.39";"3.75";"1.01"
"Christian Pulišić";"C. Pulišić";"1849";"1998-09-18";"RF";"Wide Attacker";"92.77";"52.01";"6";"0";"0.68";"1.53";"28.63";"28.9";"9790.49";"163.17";"2086.51";"843.76";"74.03";"270.74";"16.73";"1114.5";"90.76";"97.68";"4.81";"68.84";"10.19";"3.65";"1.54"
"Christian Pulišić";"C. Pulišić";"1849";"1998-09-18";"RW";"Wide Attacker";"80.73";"46.19";"8";"0";"0.65";"1.21";"29.3";"30.1";"9704.19";"161.74";"2032.02";"843.33";"72.25";"258.49";"14.13";"1101.82";"86.38";"102.78";"5.68";"72.58";"11.2";"4.06";"1.3"
"Cristiano Biraghi";"C. Biraghi";"2067";"1992-09-01";"LB";"Full Back";"95.69";"51.45";"12";"0";"0.74";"1.36";"29.29";"30.5";"8335.28";"138.92";"1418.54";"703.15";"62.19";"236.04";"12.83";"939.19";"75.02";"89.5";"5.83";"64.13";"13.12";"3.89";"1.17"
