Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Aarón Martín,Genoa,Serie A,2025/2026,1121,12.45,12,Left Back,Left Wing Back,Man,Spain,29,21/04/97,180,0.08,0.08,0.02,0.05,0.32,25,75,0,,0.04,0.24,0.3,3.05,0.08,0.16,1.04,0.16,0.14,2.01,0.32,0.32,3.37,0,0.8,0.48,0.32,60,0.8,0,0.72,0.72,0.48,0.38,1.61,1.53,12.61,7.39,0.03,4.01,37.78,1.85,5.54,1.53,2.01,79,1.29,1.67,0.96,67,0.4,33,0.48,0,10.12,8.61,3.69,1.37,0.48,40.74,3.77,37,0.88,65,0.16,0,0,33.24,70,3.37,90,36,2.81,8.27,14,67,-3,51.99,4.58,0.3,0.42,29.79,95,4.31,8.19,2.81,0.72,2.09,0.16,0.64,1.37,0.16,40,1.2,44,0.16,29,60,11,27,65,8,23.84,22.88,0.87,91,-0.96,20.76,20.78,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,9,7.19,59,0.32,0.04,0.03,0,,0.39
Abdelhamid Sabiri,Fiorentina,Serie A,2025/2026,35,0.39,1,Centre Defensive Midfielder,,Man,Morocco,29,27/11/96,186,0,0,0.08,0.03,2.59,0,0,5,,0,0,0.41,7.76,0,0,0,0,0.41,7.76,0,0.49,10.34,-0.49,0,0,0,,2.59,0,2.59,0,0,0,2.59,2.61,20.69,12.93,0,5.17,37.53,15.52,33.62,5.17,5.17,67,5.22,5.22,2.59,50,2.59,100,2.59,0,12.93,13.06,5.17,5.17,2.59,37.82,2.59,20,2.59,50,0,0,0,41.38,62,5.17,8,33,2.59,15.52,19,75,13,61.03,7.76,0.09,0.17,33.62,92,4.23,12.93,7.76,0,7.76,0,0,0,0,67,5.17,100,0,10,86,5,0,100,0,26.42,15.19,0.9,125,-11.23,23.86,18.97,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,0,21.72,72,0.37,0.24,0.02,-0.11,,0.53
Abdoulaye Niakhate Ndiaye,Parma Calcio 1913,Serie A,2025/2026,554,6.16,7,Left Centre Back,,Man,Senegal,24,09/04/02,195,0,0,0.07,0.1,0.65,0,25,0,,0.07,0,0,0.16,0,0,0.16,0,0,0,0,0.07,0.81,-0.07,0,0,0,,1.14,0,0.32,0.32,0.81,0.65,4.55,4.07,16.88,10.39,0.04,6.66,28.32,4.87,14.12,2.11,2.92,72,1.51,2.16,2.11,55,0.81,69,3.57,0,12.66,9.16,5.2,2.44,0.49,32.5,2.92,23,1.14,47,0.49,0.16,0,47.08,81,2.76,80,46,5.68,4.87,14,68,-13,38.39,2.27,0.28,0.34,33.12,99,3.87,2.44,0,0,0,0,0.65,0.65,0,,0,,0,23,73,3,47,47,7,22.69,19.66,0.93,101,-3.04,21.07,19.77,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,7,1.85,15,0.03,0.03,-0.02,-0.07,,-0.03
Abdoulrahmane Harroui,Hellas Verona,Serie A,2025/2026,175,1.95,7,Left Centre Midfielder,Left Wing,Man,Morocco,28,12/01/98,182,0,0,0.09,0.04,2.05,0,25,4,,0.04,0,0,0,0,0,0,0,0,0,0,0.09,2.05,-0.09,1.54,1.03,0.51,67,0.51,0,2.57,2.05,0.51,0.13,1.03,0.44,29.26,10.78,0,6.67,41.22,5.13,8.73,1.03,1.54,100,0.44,0.57,3.08,100,0,0,0,0,25.15,11.01,6.67,3.59,1.03,44.56,9.75,39,3.08,86,0,0,0,24.13,69,0.51,24,13,1.54,3.59,22,67,-2,53,3.08,0.12,0.15,20.53,80,6.65,4.11,0.51,0.51,0,0,1.03,1.54,0.51,0,0,0,0,16,60,24,25,75,0,19.6,16.93,0.87,78,-2.67,17.07,13.13,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,7,1.54,20,-0.02,0.01,0.04,-0.04,,-0.01
Adam Buksa,Udinese,Serie A,2025/2026,526,5.85,12,Left Centre Forward,Right Centre Forward,Man,Poland,29,11/07/96,193,0.17,0.17,0.14,0.12,1.2,14,43,3,,0.18,0,0.03,0.51,0,0.03,0.51,0,0,0,0.17,0.17,1.71,0,0.17,0,0.17,0,2.22,0,1.03,2.39,0.34,0.2,2.05,1.37,25.48,10.6,0,7.18,57.01,1.88,3.93,1.2,1.54,70,0.84,1.04,1.88,40,0.51,52,6.16,0,22.4,16.11,5.98,5.81,1.88,62.38,15.56,69,4.62,79,0.17,0,0,16.76,57,0.51,81,75,2.05,0.68,56,48,-9,59.54,0.85,0.24,0.25,11.46,81,6.04,3.25,0,0,0,0.51,3.93,3.93,0,,0.17,50,0.68,27,57,16,11,58,32,13.86,12.12,1,85,-1.73,13.88,10.33,0,0,0,0,0,,0,0,,0,0,0,0,0,0,48,12,2.46,22,-0.08,0.05,-0.02,0.06,,0.02
Adam Marušić,Lazio,Serie A,2025/2026,1225,13.61,14,Right Back,Left Back,Man,Montenegro,33,16/10/92,185,0,0,0.03,0.06,0.44,0,33,0,,0,0.07,0.02,0.15,0.07,0.02,0.15,0,0,0,0.07,0.05,0.59,0.03,0.22,0,0.22,0,0.51,0,0.15,0.66,0.73,0.92,1.32,1.28,11.83,6.83,0.03,3.82,35.14,1.91,6.25,1.54,2.28,88,1.87,2.8,1.1,75,0.22,35,0.81,0.07,9.33,9.63,2.87,1.62,0.44,39.12,2.79,30,0.73,45,0.07,0,0,45.79,86,1.62,15,58,1.54,2.57,9,75,-12,47.74,4.34,0.24,0.27,39.1,98,3.15,9.48,0.66,0.51,0.15,0,1.32,1.84,0,11,0.07,14,0.15,27,63,10,26,59,16,16.72,14.37,0.97,100,-2.35,16.23,14.42,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,15,4.26,34,0.07,0.03,0.05,-0.03,,0.12
Adam Masina,Torino,Serie A,2025/2026,264,2.94,5,Left Centre Back,Left Back,Man,Morocco,32,01/01/94,191,0,0,0,,0,,,0,,0,0.34,0.07,0.68,0.34,0.07,0.68,0,0,0,0.34,0.07,0.68,0.27,0.68,0.34,0.34,50,1.02,0,0.68,0.34,0.68,0.31,2.73,1.24,18.05,10.9,0.02,5.79,32.83,1.36,7.49,1.36,2.04,80,0.58,0.9,2.04,100,0.34,40,0.68,0.34,14.65,8.73,4.43,3.07,0.34,35.43,4.09,28,0.68,22,0,0,0,33.04,80,3.07,88,43,3.07,6.81,8,44,-36,33.12,2.38,0.11,0.17,26.57,96,5.07,3.07,0.34,0.34,0,0.34,0.68,1.02,0,0,0,0,0.34,23,75,2,22,78,0,25.48,17.02,0.89,74,-8.46,22.78,12.6,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,4,1.98,14,0.06,0.05,0.07,,,0.18
Adam Obert,Cagliari,Serie A,2025/2026,1148,12.75,13,Left Back,Left Centre Back,Man,Slovakia,23,22/08/02,186,0,0,0.05,0.22,0.24,0,33,0,,0.02,0.08,0.05,0.47,0.08,0.05,0.39,0,0.01,0.08,0.08,0.11,0.71,-0.03,0.39,0.31,0.08,80,0.39,0,0.39,0.39,1.49,1.13,2.59,1.96,20.23,8.78,0.05,6.43,29.14,1.96,8.94,2.2,3.69,76,1.7,2.83,1.88,64,0.71,53,1.41,0,16.15,12.68,5.02,3.45,1.18,31.92,3.61,22,1.73,50,0.47,0,0,39.99,81,2.9,91,47,3.14,5.57,11,62,-20,40.25,4,0.34,0.35,33.56,98,4,5.41,0.63,0.47,0.16,0.16,0.86,1.33,0.16,38,0.39,63,0.24,38,57,6,38,55,7,21.61,18.88,0.92,87,-2.73,19.97,16.46,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,16,3.65,37,0.17,0.08,0.08,-0.02,,0.31
Ademola Lookman,Atalanta,Serie A,2025/2026,832,9.25,11,Left Attacking Midfielder,Left Centre Forward,Man,Nigeria,28,19/10/97,174,0.22,0.22,0.26,0.1,2.7,8,28,4,,0.26,0,0.14,1.62,0,0.13,1.41,0,0.01,0.22,0.22,0.4,4.32,-0.19,3.24,1.84,1.41,57,0.97,0,1.95,2.7,0.22,0.31,0,0,15.57,6.49,0,3.57,62.11,2.59,4,0.86,1.08,89,1.16,1.48,1.08,0,0.11,25,0.32,0,13.62,18.45,3.35,3.57,0.97,63.02,9.84,72,3.03,85,0,0,0,26.6,77,0.54,19,42,0.22,1.08,21,82,5,67.14,2.27,0.51,0.72,31.35,86,5.62,12.22,1.84,1.41,0.43,0.97,6.7,8.11,0.11,12,0.54,31,1.3,9,68,23,10,64,27,15.58,15.26,0.98,91,-0.32,15.28,13.94,0,0,0,0,0,,0,0,,0,0,0,0,0,0,26,10,5.19,31,-0.01,0.14,-0.01,-0.05,,0.07
Adrian Benedyczak,Parma Calcio 1913,Serie A,2025/2026,408,4.53,10,Right Centre Forward,Left Midfielder,Man,Poland,25,23/11/00,191,0.22,0,0.11,0.08,1.32,0,17,3,100,0.01,0.22,0.15,1.32,0.22,0.14,1.1,0,0,0.22,0.22,0.25,2.65,-0.03,0.88,0.22,0.66,25,1.1,0,0.88,1.55,0.44,0.33,0.88,0.79,16.12,5.96,0,3.53,54.59,1.77,3.97,0.88,1.32,67,0.43,0.75,1.77,50,0.44,47,3.75,0,13.47,8.41,2.65,3.53,1.1,59.05,8.17,61,3.09,88,0.22,0,0,16.56,62,1.77,14,80,1.55,1.55,34,62,-1,60.76,1.77,0.37,0.51,12.81,83,4.16,5.52,0,0,0,0.88,7.29,7.29,0,,0.44,33,0.88,19,68,13,12,76,12,18.26,17.03,1.11,114,-1.23,20.29,19.43,0,0,0,0,0,,0,0,,0,0,0,0,0,0,36,6,3.89,29,0.06,0.03,0.01,-0.06,,0.03
