"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Benito Nicolas Viola";"AM";"all";"all";"8040";"N. Viola";"1989-10-12";"68";"13.33";"5";"0";"69";"100";"34.78";"65.22";"65.22";"76.74";"62.32";"47.83";"10.14";"5.8";"57.14";"20.29";"14.49";"71.43"
"Gianluca Caprari";"AM";"all";"all";"3889";"G. Caprari";"1993-07-30";"68.4";"14.38";"5";"0";"102";"100";"26.47";"73.53";"73.53";"79.37";"61.76";"49.02";"5.88";"5.88";"100";"10.78";"6.86";"63.64"
"Paulo Bruno Exequiel Dybala";"AM";"all";"all";"8504";"P. Dybala";"1993-11-15";"84.46";"24.93";"6";"0";"205";"100";"19.51";"80.49";"80.49";"86.75";"73.66";"63.9";"17.07";"12.68";"74.29";"10.73";"5.85";"54.55"
"Mario Pašalić";"AM";"all";"all";"6901";"M. Pašalić";"1995-02-09";"78.6";"20.57";"5";"0";"128";"100";"24.22";"75.78";"75.78";"81.13";"82.81";"67.19";"9.38";"6.25";"66.67";"18.75";"8.59";"45.83"
"Morten Thorsby";"AM";"all";"all";"7775";"M. Thorsby";"1996-05-05";"79.39";"17.62";"6";"0";"101";"100";"25.74";"74.26";"74.26";"81.16";"68.32";"55.45";"9.9";"5.94";"60";"20.79";"13.86";"66.67"
"Lorenzo Pellegrini";"AM";"all";"all";"6290";"L. Pellegrini";"1996-06-19";"92.01";"28.16";"6";"0";"147";"100";"16.33";"83.67";"83.67";"86.24";"74.15";"63.95";"16.33";"10.2";"62.5";"12.93";"5.44";"42.11"
"Boulaye Dia";"AM";"all";"all";"13183";"B. Dia";"1996-11-16";"82.44";"24.06";"11";"0";"212";"100";"12.26";"87.74";"87.74";"93.01";"67.45";"62.74";"8.49";"7.08";"83.33";"10.38";"6.6";"63.64"
"Albert Gudmundsson";"AM";"all";"all";"11965";"A. Gudmundsson";"1997-06-15";"80.44";"18.38";"6";"0";"146";"100";"17.81";"82.19";"82.19";"83.02";"72.6";"60.27";"8.9";"5.48";"61.54";"10.96";"2.05";"18.75"
"Nikola Vlašić";"AM";"all";"all";"12836";"N. Vlašić";"1997-10-04";"90.02";"21.62";"9";"0";"290";"100";"21.72";"78.28";"78.28";"82.97";"62.76";"52.07";"13.45";"11.38";"84.62";"13.1";"7.93";"60.53"
"Ademola Lookman";"AM";"all";"all";"11457";"A. Lookman";"1997-10-20";"80.14";"19.8";"5";"0";"136";"100";"34.56";"65.44";"65.44";"67.05";"64.71";"43.38";"15.44";"6.62";"42.86";"15.44";"4.41";"28.57"
