Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Song Bum-Keun,Jeonbuk Motors,Jeonbuk Motors,GK,27,2841,0,0,0,0,Korea Republic,0.89,0,0,0.25,100,0,0,0,0.89,1.14,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0.06,0,12.07,0.25,0.03,17.14,88.17,8.2,77.99,0,0,8.36,97.73,6.18,69.23,32.52,49.2,0,0,0,0,0,0,0,1.9,68.33,0.1,0,0.1,33.33,0,0,5.04,79.87,23,0.73,101,3.2,11,77.23,24.23,0.77,1.23,0.039,0,1.49,0.25
Min-Kwang Jeon,Pohang Steelers,Pohang Steelers,"RCB, CB, LCB",32,2816,0,0.39,0,0.02,Korea Republic,7.16,4.83,68.21,6.62,65.7,0.16,0.22,0.48,3.71,5.05,0.96,3,0.1,0,0,0.03,0,0,0,0.01,0,0,3,0.1,0,0,0,0.06,50,0.1,0,1.15,33.33,0.26,0.13,0,31.7,0.38,0.74,42.12,91.27,11.86,79.51,2.05,95.31,23.81,98.12,2.88,53.33,19.44,32.41,0,0.03,0,0,0,0,0,1.73,55.56,0.06,0,0.03,0,0,0.06,4.15,51.54,0,,0,,0,0,0,0,,,1.09,,
Yazan Al Arab,Seoul,Seoul,"RCB, LCB",29,2728,1,3.19,1,0.81,Jordan,7.39,4.55,69.57,5.05,52.94,0,0,0.49,4.22,5.74,0.59,2,0.07,0,0,0.46,0.03,1,0.03,0.11,1,0.03,23,0.76,21.74,4.348,0.03,0.2,33.33,0.49,46.67,1.85,35.71,1.22,1.19,0,37.64,0.92,0.13,52.42,89.36,19.99,78.88,3.33,96.04,24.02,97.39,5.41,57.93,20.06,34.59,0.03,0.26,0,0,0,0,0.1,5.01,70.39,0.56,47.06,0.33,50,0.36,0.07,7.29,67.87,0,,0,,0,0,0,0,,,2.21,,
Kim Jin-Su,Seoul,Seoul,LB,33,2727,1,1.06,5,2.58,Korea Republic,7.19,4.42,72.39,2.08,57.14,0.07,0.09,0.26,3.93,5.3,0.73,5,0.17,0,0,2.31,0.03,1,0.03,0.04,0,0,26,0.86,23.08,3.846,0.17,3.53,44.86,0.86,57.69,2.81,51.76,0.59,1.06,0.13,33.7,1.72,0.96,45.12,80.61,17.56,70.3,7.69,97,13.8,84.69,6.07,45.65,20.87,40.09,0.09,1.09,0,0,0.07,50,0.46,7.66,66.81,3.8,55.65,0.66,30,0.69,1.49,10.1,79.74,0,,0,,0,0,0,0,,,1.02,,
Reis,Gwangju,Gwangju,CF,32,2720,7,4.62,1,1.87,Brazil,4.8,3.67,65.77,3.87,29.06,0.07,0.09,0.2,2.32,3.12,0.66,2,0.07,0,0,3.01,0.23,7,0.23,0.15,1,0.03,47,1.56,55.32,14.894,0.03,1.22,37.84,2.51,63.16,9.56,39.1,3.11,1.65,0.17,17.77,1.69,1.69,25.94,80.1,5.19,69.43,7.28,89.09,8.24,79.92,1.13,44.12,16.25,26.47,0.06,0.66,0,0,0.17,60,0.26,2.51,72.37,1.62,59.18,0.13,75,1.06,0.4,2.61,74.68,0,,0,,0,0,0,0,,,0.1,,
Lee Tae-Heui,Anyang,Anyang,RB,33,2693,0,0.26,1,2.44,Korea Republic,9.66,7.55,63.72,1.97,54.24,0.3,0.36,0.33,4.55,5.49,1.07,5,0.17,0,0,1.34,0,0,0,0.01,0,0,3,0.1,33.33,0,0.03,2.14,29.69,0.77,78.26,3.11,49.46,1.3,0.67,0,24.13,1.24,0.84,33.82,78.56,14.6,74.14,5.61,94.64,7.19,78.6,3.14,54.26,17.16,30.31,0.08,0.7,0,0,0.07,100,0.33,4.95,70.95,2.31,42.03,0.23,71.43,0.67,0.7,7.49,70.98,0,,0,,0,0,0,0,,,0.63,,
Park Jin-Seob,Jeonbuk Motors,Jeonbuk Motors,"DMF, RCB, LCB",29,2686,3,2.06,2,0.07,Korea Republic,10.22,6.63,74.75,4.56,61.03,0.3,0.38,0.67,4.96,6.28,1.21,8,0.27,0,0,0.5,0.1,3,0.1,0.07,0,0,17,0.57,35.29,17.647,0.07,0.37,72.73,0.03,100,1.54,52.17,0.54,0.7,0,37.03,0.3,0.84,51.8,89.39,16.85,77.53,5.73,96.49,22.25,97.14,4.96,58.78,19.08,33.64,0,0.1,0.03,0,0,0,0,6.3,77.13,1.01,50,0.37,36.36,0.34,0.2,7.77,71.55,0,,0,,0,0,0,0,,,1.21,,
Ju-Hun Song,Jeju SK,Jeju SK,LCB,31,2676,0,1.68,1,0.31,Korea Republic,7.57,4.14,71.54,3.87,77.39,0.27,0.35,0.47,4.34,5.68,0.44,2,0.07,0,0,0.2,0,0,0,0.06,0,0,8,0.27,0,0,0.03,0.03,100,0.24,71.43,1.24,45.95,0.37,0.77,0,25.19,0.1,0.47,38.88,89.45,15.2,79.42,2.66,93.67,15.98,97.68,4.61,62.04,19.5,36.98,0.01,0.1,0,0,0.03,0,0.03,4.07,75.21,0.27,37.5,0.37,54.55,0.1,0.03,6.26,66.67,0,,0,,0,0,0,0,,,1.78,,
Anderson Oliveira,Seoul,Seoul,"LAMF, LW, RW",27,2617,6,5.96,7,5.19,Brazil,3.9,3.33,62.37,0.72,25,0,0,0,1.83,2.24,0.72,2,0.07,0,0,5.01,0.21,6,0.21,0.21,0,0,57,2.04,36.84,10.526,0.25,1.93,42.59,6.05,53.25,16.32,39.25,2.04,3.65,0.64,22.84,1.58,1.83,33.51,75.21,9.77,69.23,5.91,84.85,11.03,79.55,2.43,61.76,16.9,32.55,0.19,1.5,0.07,0,0.32,66.67,0.72,3.79,74.53,3.65,54.9,0.82,52.17,1.65,0.72,6.19,69.36,0,,0,,0,0,0,0,,,0.07,,
Kim Tae-Hwan,Jeonbuk Motors,Jeonbuk Motors,RB,36,2591,0,0.13,1,2.26,Korea Republic,5.18,4.17,62.5,0.56,12.5,0.07,0.09,0.17,2.5,3.14,0.87,4,0.14,0,0,1.88,0,0,0,0,0,0,1,0.03,0,0,0.03,3.16,41.76,1.32,42.11,3.47,35,0.45,1.84,0.56,29.7,1.81,0.24,39.81,80.37,14.66,68.25,6.29,94.48,11.22,84.83,6.18,52.25,19.01,36.51,0.08,0.59,0.03,0,0.03,0,0.49,5.94,63.16,3.65,51.43,0.49,28.57,0.59,1.32,8.75,74.6,0,,0,,0,0,0,0,,,0.52,,
Hyun-Moo Kang,Seoul,Seoul,GK,30,2571,0,0,0,0,Korea Republic,1.19,0.07,100,0.42,83.33,0.04,0.05,0,1.09,1.46,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0,0,0,14.46,0.46,0.07,20.62,85.91,8.68,70.16,0,0,10.96,97.44,5.99,54.39,28.47,47.29,0,0,0,0,0,0,0,1.26,33.33,0.14,0,0.11,33.33,0,0,4.1,60.68,31,1.09,81,2.84,9,61.73,21.99,0.77,-9.01,-0.315,0,1.19,0.42
Jun-Su Ahn,Suwon,Suwon,GK,27,2545,0,0,0,0,Korea Republic,0.92,0.11,33.33,0.46,92.31,0,0,0,0.88,1.09,0.04,4,0.14,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0.25,71.43,0,0.04,0,11.6,0.14,0.18,17.5,84.24,10.57,77.59,0,0,6.26,97.18,8.38,71.73,36.37,50.58,0,0,0,0,0,0,0,3.68,63.46,0.32,33.33,0.18,40,0.11,0,6.4,80.66,37,1.31,110,3.89,4,66.36,32.19,1.14,-4.81,-0.17,0,1.03,0.46
Kim Da-Sol,Anyang,Anyang,GK,36,2532,0,0,0,0,Korea Republic,1.11,0.07,0,0.33,77.78,0.04,0.04,0,1.07,1.27,0.04,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.07,50,0,0,0,8.89,0.11,0.15,14.52,77.81,9.63,70.77,0,0,4.41,94.12,7.23,59.49,36.42,49.17,0,0,0,0,0,0,0,1.78,47.92,0.07,50,0.11,0,0.04,0,5.89,69.81,33,1.22,113,4.19,3,70.8,33.58,1.24,0.58,0.021,0,1.78,0.33
Hwang In-Jae,Pohang Steelers,Pohang Steelers,GK,31,2529,0,0,0,0.01,Korea Republic,0.89,0.11,100,0.46,53.85,0,0,0,0.78,1.04,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0,0,0,14.2,0.21,0.11,19.89,81.57,13.06,73.3,0,0,6.19,97.7,10.28,66.78,36.68,49.63,0,0.04,0,0.04,0,0,0,2.67,53.33,0.18,0,0,0,0,0,8.22,77.49,25,0.89,103,3.67,8,75.73,32.82,1.17,7.82,0.278,0,1.71,0.46
