Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Aarón Escandell,Real Oviedo,La Liga,2025/2026,1199,13.32,12,Goalkeeper,,Man,Spain,30,26/09/95,185,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.3,0,0,0,0,0,0,0,0.23,0.08,0,6.68,2.2,0,2.33,0,0,,0,0,0,,0,,0,0,0.23,0.27,0,0,0,11.71,0,0,0,,0.08,0,0,25.45,71,7.43,21,46,4.2,12.01,18,56,-15,10.36,0.38,0.11,0.11,18.47,100,4.8,0.15,0,0,0,0,0,0,0,,0,,0,42,58,0,100,0,0,37.82,42.67,0.79,82,4.84,30.03,34.84,1.35,1.76,0.4,77,70,7,1.46,5.93,39,15.24,1.34,0.23,0.15,20.08,2,20,4,0.74,8,0.08,0.05,,,0.2,0.33
Abde Ezzalzouli,Real Betis,La Liga,2025/2026,610,6.78,8,Left Wing,,Man,Morocco,24,16/12/01,177,0.44,0.44,0.36,0.12,2.95,15,35,4,,0.58,0.29,0.28,1.33,0.29,0.28,1.33,0,0,0,0.74,0.64,4.28,0.1,3.1,1.62,1.47,52,4.13,0,3.1,4.28,0.29,0.29,1.03,1.21,22.86,12.54,0,7.23,50.58,4.57,7.37,1.33,1.62,47,1.88,2.17,0.59,38,1.47,50,1.47,0,21.09,25.32,5.75,3.83,1.33,52.73,12.54,59,3.39,88,0.15,0,0,34.51,80,1.03,13,70,1.47,1.03,23,81,1,61.88,3.83,0.57,0.95,38.5,85,5.99,13.13,0.59,0.59,0,0.44,5.16,5.75,0.15,25,0.44,20,0.74,12,64,24,13,56,30,14.54,13.85,0.99,101,-0.69,14.41,13.93,0,0,0,0,0,,0,0,,0,0,0,0,0,0,26,13,5,32,0.08,0.16,0.05,0.32,,0.6
Abdel Rahim Alhassane Bonkano,Real Oviedo,La Liga,2025/2026,844,9.38,11,Left Back,Left Wing Back,Man,Niger,24,31/12/01,184,0,0,0,,0,,,0,,0,0,0.04,0.64,0,0.04,0.64,0,0,0,0,0.04,0.64,-0.04,0.96,0.64,0.32,67,0.43,0,0.96,1.17,1.6,1.03,2.13,1.79,12.68,5.22,0.03,3.41,30.97,2.45,7.78,1.6,3.2,88,1.28,2.31,0.75,82,0.21,56,0.96,0,10.34,7.72,2.66,2.24,0.85,35.82,2.35,23,0.96,43,0,0,0,37.2,77,2.35,88,47,2.88,4.26,10,62,-16,50.52,2.56,0.2,0.22,31.55,93,4.28,8.42,1.71,1.49,0.21,0,0.21,1.71,0,25,0.53,22,0.11,23,61,16,11,58,30,19.6,16.72,0.92,97,-2.88,18.1,16.2,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,11,3.46,33,0.11,0.05,0.07,,,0.22
Abdelkabir Abqar,Getafe,La Liga,2025/2026,562,6.25,7,Right Centre Back,Left Centre Back,Man,Morocco,27,09/03/99,188,0,0,0.05,0.05,0.96,0,17,0,,0.08,0.16,0.05,0.16,0.16,0.05,0.16,0,0,0,0.16,0.09,1.12,0.07,0.16,0.16,0,100,2.4,0,0.16,0.32,0.8,0.79,2.72,2.15,16.81,8.8,0.06,7.04,30.1,2.88,12.33,2.56,3.36,84,1.82,2.61,1.76,82,0.48,79,1.76,0,12.49,10.94,5.28,2.72,0.8,33.1,2.08,17,0.96,35,0.64,0,0,27.86,72,5.44,10,56,4.16,8.32,16,53,-19,37.78,1.76,0.1,0.1,17.77,97,4.54,1.44,0,0,0,0.16,1.76,1.76,0,,0,,0.16,26,68,6,44,44,11,29.6,30.05,0.86,63,0.45,25.51,18.98,0,0,0,0,0,,0,0,,0,0,0,0,0,0,30,14,1.17,10,0.11,0.01,0.06,0.02,,0.2
Abderrahman Rebbach,Deportivo Alavés,La Liga,2025/2026,502,5.58,9,Left Midfielder,Left Centre Midfielder,Man,Algeria,27,10/08/98,176,0,0,0.11,0.05,2.33,0,38,3,,0.06,0,0.22,2.15,0,0.13,1.61,0,0.09,0.54,0,0.33,4.48,-0.33,3.23,1.43,1.79,44,1.79,0,2.33,3.77,1.43,1.76,0.18,0.21,25.1,9.68,0,5.38,51.61,5.74,8.61,1.79,3.23,71,2.15,3.91,3.23,20,0.72,42,0.9,0,20.08,23.43,5.02,5.02,1.08,52.89,11.3,56,3.95,79,0.36,0,0,33.71,70,2.15,16,44,0.54,4.48,22,73,3,60.43,4.3,0.25,0.43,36.22,84,6.15,12.37,2.51,1.43,1.08,0.18,2.33,3.77,0,36,1.26,39,0,15,75,10,20,70,10,18.75,15.24,0.93,105,-3.52,17.51,15.92,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,7,6.31,39,0.11,0.15,0.02,-0.06,,0.21
Abdón Prats,Mallorca,La Liga,2025/2026,107,1.19,6,Left Centre Forward,Right Centre Forward,Man,Spain,33,06/12/92,181,0,0,0.04,0.05,0.84,0,0,3,,0,0,0.1,1.69,0,0.1,1.69,0,0,0,0,0.14,2.53,-0.14,0.84,0.84,0,100,0.84,0,0.84,0.84,0,0,0.84,1.29,15.18,3.37,0,2.53,66.21,0.84,0.84,0,0,,0,0,2.53,,0,33,1.69,0,12.65,12.38,1.69,1.69,0.84,69.62,10.96,87,1.69,100,0,0,0,11.8,73,0,50,,0.84,0,53,63,-11,65.01,0.84,0.47,0.5,10.96,85,4.28,3.37,0,0,0,1.69,3.37,3.37,0,,0,0,0.84,13,73,13,0,100,0,12.99,13.63,0.9,97,0.64,11.68,13.26,0,0,0,0,0,,0,0,,0,0,0,0,0,0,40,20,3.79,14,-0.05,0.1,-0.01,-0.07,,-0.03
Abel Bretones Cruz,Osasuna,La Liga,2025/2026,984,10.93,10,Left Wing Back,Left Back,Man,Spain,25,20/08/00,188,0.09,0.09,0.03,0.05,0.55,17,50,1,,0.01,0,0.04,0.64,0,0.04,0.55,0,0,0.09,0.09,0.07,1.19,0.02,1.65,1.1,0.55,67,1.65,0.09,1.19,1.46,1.1,0.87,2.1,1.56,15.55,6.5,0.03,5.49,35.46,1.65,4.76,1.83,2.93,56,1.24,2.11,1.19,41,1.46,73,0.73,0,12.63,9.4,3.66,2.84,0.91,39.11,3.75,30,1.46,52,0.18,0,0.09,25.35,74,1.65,93,44,2.74,3.11,18,65,-9,55.26,3.57,0.2,0.21,25.35,91,5.08,7.05,1.01,0.55,0.46,0,0.91,1.46,0,45,0.46,36,0,26,61,13,16,65,19,19.27,17.03,0.91,91,-2.24,17.6,15.46,0,0,0,0,0,,0,0,,0,0,0,0,0,0,32,15,3.1,29,0.09,0.11,0.06,-0.02,,0.24
Abel Ruiz,Girona,La Liga,2025/2026,25,0.28,1,Left Wing,,Man,Spain,26,27/01/00,180,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,42.77,14.26,0,10.69,40.04,3.56,10.69,3.56,3.56,100,3.85,3.85,0,,0,50,3.56,0,39.21,42.4,10.69,0,0,41.63,10.69,27,0,,0,0,0,28.51,63,3.56,0,100,0,3.56,25,0,-63,59.15,0,0.38,0.38,17.82,100,8.29,7.13,0,0,0,0,3.56,3.56,0,,0,0,3.56,13,63,25,0,50,50,19.34,12.69,1.13,,-6.65,21.85,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,38,0,3.56,100,0.1,0.28,0.07,,,0.45
Abu Kamara,Getafe,La Liga,2025/2026,163,1.81,6,Right Midfielder,Right Centre Midfielder,Man,England,22,20/07/03,186,0,0,0.12,0.22,0.55,0,100,1,,0.09,0,0.02,0.55,0,0.02,0.55,0,0,0,0,0.14,1.1,-0.14,0,0,0,,1.1,0,1.65,3.31,2.21,0.49,0,0,28.67,20.4,0,10.47,56,4.41,5.51,1.65,3.86,60,1.32,1.8,0.55,33,1.1,25,1.1,0,26.46,11.24,8.27,4.41,2.21,55.92,14.89,56,3.31,75,0,0,0,19.85,68,0,86,0,0,0.55,35,54,-14,70.3,0.55,0.14,0.25,20.4,76,6.77,7.17,1.1,1.1,0,0,2.76,3.86,0,100,1.1,67,0.55,8,59,32,15,54,31,15.28,12.95,1.01,126,-2.33,15.43,16.29,0,0,0,0,0,,0,0,,0,0,0,0,0,0,41,11,2.09,35,-0.05,0.04,0.03,-0.07,,-0.04
Adam Boayar,Elche,La Liga,2025/2026,13,0.15,1,Right Centre Midfielder,,Man,Morocco,20,12/10/05,180,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53,20.53,0,100,0,0,13.69,6.84,0,0,0,0,20.53,13.69,0,0,33.48,0,6.84,0,0,,0,0,0,,0,,0,0,20.53,23.27,0,6.84,0,33.48,6.84,33,0,0,0,0,0,61.6,100,13.69,22,100,0,13.69,22,100,0,61.96,6.84,0.1,0.1,102.66,80,3.14,27.38,6.84,6.84,0,0,0,6.84,0,0,0,,0,0,89,11,0,100,0,21.02,14.82,1,100,-6.2,21.02,14.82,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,6.84,48,-0.09,-0.64,,,,-0.73
