"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Daniel Alonso Aceves Patiño";"LCB";"all";"all";"36343";"A. Aceves";"2001-03-28";"101.09";"24.24";"12";"0";"82";"100";"8.54";"0.46";"0";"18.29";"17.07";"1.22";"0";"0";"0";"0"
"Antonio Briseño Vázquez";"RCB";"all";"all";"16228";"A. Briseño";"1994-02-05";"103.02";"24.25";"9";"0";"35";"100";"5.71";"0.29";"0";"48.57";"45.71";"0";"0.08";"0.01";"2.86";"0"
"Alan Jhosué Cervantes Marín del Campo";"DM";"all";"all";"36136";"A. Cervantes";"1998-01-17";"99.79";"23.46";"5";"0";"96";"100";"7.29";"0.5";"0";"35.42";"34.38";"1.04";"0.29";"0.27";"4.17";"3.12"
"Alan Jhosué Cervantes Marín del Campo";"RM";"all";"all";"36136";"A. Cervantes";"1998-01-17";"101.66";"19.77";"6";"0";"141";"100";"7.8";"0.66";"0";"25.53";"21.99";"0";"0.12";"0.09";"1.42";"0.71"
"Aldo Jafid Cruz Sánchez";"LB";"all";"all";"34834";"A. Cruz";"1997-09-24";"100.02";"25.45";"10";"3";"141";"100";"14.89";"1.01";"0";"46.1";"38.3";"1.42";"0.38";"0.16";"4.96";"2.84"
"Aldo Jafid Cruz Sánchez";"LCB";"all";"all";"34834";"A. Cruz";"1997-09-24";"97.09";"23.89";"15";"0";"186";"100";"4.3";"0.4";"0";"48.39";"44.62";"0";"0.16";"0.13";"1.61";"1.08"
"Jesús Alonso Escoboza Lugo";"LWB";"all";"all";"23319";"A. Escoboza";"1993-01-22";"81.82";"18.89";"6";"0";"85";"100";"27.06";"1.7";"1.18";"40";"35.29";"4.71";"0.6";"0.54";"8.24";"7.06"
"André-Pierre Gignac";"CF";"all";"all";"754";"A. Gignac";"1985-12-05";"88.47";"21.49";"13";"0";"218";"100";"54.13";"3.74";"0.92";"35.32";"25.23";"7.8";"1.19";"0.61";"16.06";"8.26"
"Armando González Alba";"CF";"all";"all";"794762";"A. González";"2003-04-20";"86.27";"17.94";"5";"0";"139";"100";"72.66";"5.9";"0";"28.78";"12.23";"2.16";"2.03";"0.79";"20.86";"9.35"
"José Andrés Guardado Hernández";"LM";"all";"all";"819";"A. Guardado";"1986-09-28";"82.91";"17.58";"6";"0";"101";"100";"15.84";"0.85";"0";"37.62";"31.68";"0.99";"0.24";"0.19";"4.95";"3.96"
"Alexis Hazael Gutiérrez Torres";"LM";"all";"all";"36194";"A. Gutiérrez";"2000-02-26";"87.15";"22.56";"7";"0";"247";"100";"36.44";"2.16";"0.4";"30.77";"21.05";"2.43";"0.57";"0.33";"9.72";"5.67"
"Alexis Hazael Gutiérrez Torres";"LW";"all";"all";"36194";"A. Gutiérrez";"2000-02-26";"81.05";"22.26";"9";"0";"339";"100";"28.32";"2.11";"0.59";"25.66";"19.76";"2.36";"0.45";"0.26";"7.08";"3.54"
"Jesús Alejandro Gómez Molina";"LB";"all";"all";"33627";"A. Gómez";"2002-01-31";"88.79";"22.76";"7";"0";"149";"100";"21.48";"1.38";"0.67";"26.85";"24.16";"1.34";"0.32";"0.28";"7.38";"6.04"
"Jesús Alejandro Gómez Molina";"LCB";"all";"all";"33627";"A. Gómez";"2002-01-31";"93.25";"24.63";"11";"0";"130";"100";"16.92";"1.25";"0.77";"33.08";"29.23";"2.31";"0.33";"0.2";"4.62";"2.31"
"Jesús Alejandro Gómez Molina";"LM";"all";"all";"33627";"A. Gómez";"2002-01-31";"90.55";"18.1";"5";"0";"87";"100";"31.03";"2.42";"0";"37.93";"32.18";"1.15";"0.56";"0.4";"5.75";"4.6"
"Alberto Sebastian Herrera Rodríguez";"LW";"all";"all";"67776";"A. Herrera";"2001-02-23";"77.67";"12.85";"5";"0";"79";"100";"40.51";"2.14";"0";"34.18";"21.52";"3.8";"0.59";"0.3";"7.59";"3.8"
"Anthony Rubén Lozano Choco";"CF";"all";"all";"11652";"A. Lozano";"1993-04-25";"85.93";"16.82";"11";"0";"164";"100";"59.15";"4.24";"1.22";"28.05";"10.37";"1.83";"1.2";"0.31";"15.85";"4.27"
"Aldo López Vargas";"RB";"all";"all";"36331";"A. López";"2000-05-23";"102.92";"20.21";"6";"0";"119";"100";"10.08";"0.71";"0";"21.01";"16.81";"1.68";"0.17";"0.12";"4.2";"2.52"
"Aldo López Vargas";"RDM";"all";"all";"36331";"A. López";"2000-05-23";"90.67";"17.71";"9";"0";"124";"100";"24.19";"1.7";"0.81";"26.61";"21.77";"1.61";"0.3";"0.19";"3.23";"0.81"
"Manuel Alejandro Mayorga Almaráz";"LB";"all";"all";"36214";"A. Mayorga";"1997-05-29";"94.99";"14.24";"10";"1";"84";"100";"29.76";"2.12";"1.19";"30.95";"19.05";"4.76";"0.56";"0.26";"9.52";"3.57"
"Manuel Alejandro Mayorga Almaráz";"LWB";"all";"all";"36214";"A. Mayorga";"1997-05-29";"83.58";"14.75";"5";"0";"72";"100";"33.33";"1.7";"1.39";"44.44";"30.56";"2.78";"0.72";"0.32";"12.5";"5.56"
"Aarón Mejía Montoya";"RB";"all";"all";"695181";"A. Mejía";"2001-06-06";"94.01";"22.89";"9";"0";"193";"100";"15.54";"1.33";"0.52";"35.75";"30.05";"2.07";"0.38";"0.33";"4.66";"4.15"
"Alán Isidro Montes Castro";"RCB";"all";"all";"36364";"A. Montes";"2000-10-26";"100.08";"15.47";"12";"0";"42";"100";"4.76";"0.28";"0";"23.81";"23.81";"0";"0.01";"0.01";"0";"0"
"Adrián Mora Barraza";"LCB";"all";"all";"36180";"A. Mora";"1997-08-15";"97.96";"17.77";"5";"0";"35";"100";"2.86";"0.25";"0";"34.29";"34.29";"0";"0";"0";"0";"0"
