"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Gustavo Daniel Cabral Cáceres";"RCB";"all";"all";"4149";"G. Cabral";"1985-10-14";"101.05";"21.94";"9";"0";"78";"100";"35.9";"0.43";"0.16";"100";"124.36";"0.16";"35.9";"2.56";"0";"3.85";"1.28";"1.28"
"André-Pierre Gignac";"CF";"all";"all";"754";"A. Gignac";"1985-12-05";"88.47";"21.49";"13";"0";"88";"100";"69.32";"2.79";"2.11";"78.69";"140.91";"0.97";"54.55";"10.23";"1.14";"35.23";"27.27";"14.77"
"Sergio Ramos García";"LCB";"all";"all";"9765";"Sergio Ramos";"1986-03-30";"95.74";"20.6";"8";"0";"63";"100";"55.56";"0.73";"0.27";"88.57";"122.22";"0.21";"49.21";"3.17";"0";"6.35";"0";"0"
"José Andrés Guardado Hernández";"LM";"all";"all";"819";"A. Guardado";"1986-09-28";"82.91";"17.58";"6";"0";"65";"100";"52.31";"1.37";"0.64";"67.65";"140";"0.32";"35.38";"7.69";"0";"21.54";"12.31";"6.15"
"Pablo Edson Barrera Acosta";"RW";"all";"all";"8308";"P. Barrera";"1987-06-21";"87.41";"14.79";"17";"2";"175";"100";"68.57";"2";"1.38";"59.17";"149.71";"0.77";"40.57";"5.14";"0.57";"23.43";"14.29";"6.29"
"Julio César Domínguez Juárez";"RCB";"all";"all";"23374";"J. Domínguez";"1987-11-08";"95.47";"23.04";"17";"1";"237";"100";"52.74";"0.34";"0.09";"93.6";"124.47";"0.08";"49.37";"0.84";"0.42";"2.53";"0.42";"0.42"
"Héctor Alfredo Moreno Herrera";"LCB";"all";"all";"4239";"H. Moreno";"1988-01-17";"97.08";"24.48";"16";"0";"174";"100";"51.72";"0.72";"0.3";"87.78";"125.86";"0.22";"45.4";"0";"0";"8.62";"2.3";"1.72"
"Javier Hernández Balcázar";"CF";"all";"all";"4809";"Chicharito";"1988-06-01";"79.7";"18.8";"11";"0";"48";"100";"72.92";"2.68";"2.26";"62.86";"172.92";"1.3";"45.83";"8.33";"0";"45.83";"37.5";"22.92"
"Omar Israel Mendoza Martín";"RB";"all";"all";"23376";"O. Mendoza";"1988-10-28";"97";"16.49";"15";"1";"162";"100";"58.02";"0.66";"0.48";"69.15";"126.54";"0.2";"40.12";"2.47";"0";"7.41";"5.56";"2.47"
"Rafael De Souza Pereira";"DM";"all";"all";"34773";"Rafael Carioca";"1989-06-18";"96.44";"24.97";"5";"0";"57";"100";"54.39";"0.9";"0.44";"87.1";"138.6";"0.38";"47.37";"1.75";"0";"14.04";"5.26";"3.51"
"Rafael De Souza Pereira";"LDM";"all";"all";"34773";"Rafael Carioca";"1989-06-18";"91.12";"22.14";"6";"0";"64";"100";"56.25";"1.28";"0.64";"83.33";"118.75";"0.4";"46.88";"6.25";"0";"20.31";"10.94";"4.69"
"José Salomón Rondón Giménez";"CF";"all";"all";"5439";"S. Rondón";"1989-09-16";"100.5";"22.53";"25";"0";"198";"100";"69.19";"2.9";"2.06";"73.72";"143.43";"1.35";"51.01";"11.62";"2.02";"53.54";"40.91";"27.78"
"Brayan Alexis Angulo León";"LB";"all";"all";"1451";"B. Angulo";"1989-11-02";"99.62";"18.87";"7";"0";"93";"100";"60.22";"1.52";"1.06";"75";"145.16";"0.6";"45.16";"3.23";"1.08";"19.35";"13.98";"7.53"
"Brayan Alexis Angulo León";"LM";"all";"all";"1451";"B. Angulo";"1989-11-02";"89.31";"13.18";"5";"0";"42";"100";"61.9";"2.08";"1.72";"73.08";"169.05";"1.22";"45.24";"7.14";"2.38";"26.19";"21.43";"11.9"
"Brayan Alexis Angulo León";"LWB";"all";"all";"1451";"B. Angulo";"1989-11-02";"99.22";"16.38";"14";"0";"168";"100";"61.31";"1.39";"0.91";"66.99";"141.07";"0.47";"41.07";"4.76";"1.19";"20.83";"14.29";"7.74"
