"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"André-Pierre Gignac";"A. Gignac";"754";"1985-12-05";"CF";"Center Forward";"88.47";"47.77";"13";"0";"0.72";"1.39";"28.24";"29.22";"7297.39";"121.62";"1039.27";"451.18";"44.06";"135.74";"6.57";"586.93";"50.63";"75.17";"5.31";"55.65";"11.5";"3.0";"0.77"
"José Andrés Guardado Hernández";"A. Guardado";"819";"1986-09-28";"LM";"Midfield";"82.91";"45.76";"6";"0";"0.71";"1.68";"26.72";"26.96";"8581.0";"143.02";"1609.35";"506.73";"43.48";"111.0";"4.81";"617.74";"48.29";"94.18";"2.84";"70.36";"8.96";"1.31";"0.22"
"Brayan Alexis Angulo León";"B. Angulo";"1451";"1989-11-02";"LB";"Full Back";"99.62";"51.81";"7";"0";"0.69";"1.36";"29.39";"30.02";"7451.8";"124.2";"1117.22";"514.69";"51.62";"202.67";"9.26";"717.35";"60.88";"92.81";"6.12";"64.69";"12.74";"4.14";"0.83"
"Brayan Alexis Angulo León";"B. Angulo";"1451";"1989-11-02";"LWB";"Full Back";"99.22";"55.55";"14";"0";"0.63";"1.33";"28.83";"31.2";"7565.01";"126.08";"1128.2";"505.96";"48.76";"162.71";"7.33";"668.68";"56.09";"92.27";"7.02";"67.82";"12.81";"4.55";"1.08"
"Diego Antonio Reyes Rosales";"D. Reyes";"2724";"1992-09-19";"RCB";"Central Defender";"93.86";"52.65";"10";"0";"0.72";"null";"27.41";"28.36";"7248.09";"120.8";"849.29";"293.66";"26.1";"65.64";"2.39";"359.29";"28.49";"70.76";"2.85";"51.73";"4.67";"1.71";"0.0"
"Gustavo Daniel Cabral Cáceres";"G. Cabral";"4149";"1985-10-14";"RCB";"Central Defender";"101.05";"54.0";"9";"0";"0.74";"1.5";"27.43";"28.64";"7289.25";"121.49";"1012.28";"331.34";"29.01";"79.5";"3.83";"410.84";"32.84";"77.9";"4.07";"56.29";"5.93";"1.73";"0.37"
"Héctor Alfredo Moreno Herrera";"H. Moreno";"4239";"1988-01-17";"LCB";"Central Defender";"96.91";"52.77";"15";"0";"0.86";"null";"26.11";"27.48";"7182.03";"119.7";"919.65";"256.37";"21.3";"39.34";"0.91";"295.71";"22.21";"76.56";"2.88";"54.88";"5.91";"0.83";"0.15"
"James David Rodríguez Rubio";"J. Rodríguez";"4676";"1991-07-12";"AM";"Midfield";"89.71";"52.11";"5";"0";"0.95";"null";"25.3";"25.3";"7463.2";"124.39";"989.0";"233.03";"17.5";"63.55";"0.23";"296.58";"17.73";"72.53";"1.38";"58.72";"7.14";"0.23";"0.0"
"James David Rodríguez Rubio";"J. Rodríguez";"4676";"1991-07-12";"CF";"Center Forward";"94.26";"49.83";"5";"0";"0.83";"null";"25.36";"25.36";"7503.21";"125.05";"1150.71";"319.35";"26.73";"58.76";"1.69";"378.11";"28.42";"77.07";"5.3";"60.21";"8.67";"2.65";"0.48"
"Javier Ignacio Aquino Carmona";"J. Aquino";"4796";"1990-02-11";"RB";"Full Back";"101.23";"52.85";"31";"0";"0.69";"1.26";"28.5";"30.4";"8175.1";"136.25";"1365.09";"600.05";"55.52";"192.45";"10.07";"792.5";"65.59";"90.57";"6.41";"66.69";"12.09";"4.47";"1.28"
"Javier Hernández Balcázar";"Chicharito";"4809";"1988-06-01";"CF";"Center Forward";"77.12";"42.11";"10";"0";"0.77";"1.34";"28.94";"29.84";"7208.41";"120.14";"1003.01";"472.15";"49.44";"177.38";"9.12";"649.53";"58.56";"77.51";"5.41";"57.27";"11.83";"3.28";"1.28"
"Jesús Manuel Corona Ruíz";"J. Corona";"4992";"1993-01-06";"LW";"Wide Attacker";"73.45";"40.62";"8";"0";"0.76";"1.45";"28.51";"29.02";"8224.03";"137.07";"1488.41";"674.69";"65.73";"238.56";"13.48";"913.25";"79.21";"96.75";"5.54";"67.21";"13.48";"3.51";"1.66"
"Jhon Eduard Murillo Romaña";"J. Murillo";"5003";"1995-11-21";"RW";"Wide Attacker";"93.7";"49.12";"12";"0";"0.65";"1.18";"30.69";"32.14";"8082.44";"134.71";"1292.82";"551.25";"56.79";"261.78";"10.99";"813.03";"67.79";"81.53";"5.19";"57.81";"9.06";"3.16";"1.42"
"Jhonder Leonel Cádiz Fernández";"J. Cádiz";"5004";"1995-07-29";"CF";"Center Forward";"92.84";"49.64";"22";"0";"0.59";"1.21";"31.78";"33.66";"6889.72";"114.83";"913.32";"439.82";"49.72";"235.95";"10.11";"675.78";"59.83";"85.04";"7.64";"59.72";"16.37";"5.05";"2.03"
"Jonathan dos Santos Ramírez";"J. dos Santos";"5247";"1990-04-26";"LM";"Midfield";"79.85";"42.26";"5";"0";"0.76";"1.59";"28.24";"28.24";"9107.75";"151.8";"1668.96";"531.81";"48.55";"165.53";"5.68";"697.34";"54.23";"98.53";"6.25";"72.97";"11.93";"3.41";"0.57"
"José Salomón Rondón Giménez";"S. Rondón";"5439";"1989-09-16";"CF";"Center Forward";"100.76";"53.17";"26";"0";"0.71";"1.39";"29.3";"31.24";"7509.38";"125.16";"1055.26";"450.48";"47.57";"183.16";"9.07";"633.64";"56.64";"74.96";"4.99";"57.38";"10.16";"3.13";"0.74"
"Leonardo Bonatini Lohner Maia";"Léo Bonatini";"6141";"1994-03-28";"CF";"Center Forward";"76.89";"44.72";"12";"0";"0.67";"1.55";"27.7";"28.84";"7731.71";"128.86";"1120.66";"469.55";"40.69";"123.09";"4.81";"592.64";"45.5";"81.61";"5.25";"58.02";"11.4";"2.79";"1.01"
"Lucas Ariel Ocampos";"L. Ocampos";"6348";"1994-07-11";"LW";"Wide Attacker";"91.72";"50.67";"10";"0";"0.57";"1.35";"29.3";"29.88";"7515.33";"125.26";"1191.12";"660.98";"62.29";"284.78";"13.62";"945.77";"75.9";"82.42";"5.8";"56.25";"13.5";"4.5";"1.89"
"Matheus Dória Macedo";"Dória";"7147";"1994-11-08";"LCB";"Central Defender";"101.57";"51.97";"29";"0";"0.7";"1.51";"28.42";"30.7";"7444.68";"124.08";"1013.66";"377.37";"33.44";"114.85";"4.62";"492.22";"38.06";"82.13";"4.02";"61.11";"6.17";"1.95";"0.72"
"Óliver Torres Muñoz";"Óliver Torres";"8194";"1994-11-10";"LM";"Midfield";"82.24";"43.78";"7";"0";"0.69";"1.59";"26.36";"26.68";"9079.59";"151.33";"1783.46";"708.96";"53.26";"128.24";"5.87";"837.2";"59.13";"90.85";"2.74";"67.94";"9.79";"1.17";"0.39"
"Óliver Torres Muñoz";"Óliver Torres";"8194";"1994-11-10";"RM";"Midfield";"76.68";"43.89";"11";"0";"0.7";"null";"27.59";"28.74";"8915.49";"148.59";"1692.62";"590.6";"48.35";"144.91";"4.35";"735.51";"52.7";"83.27";"2.86";"63.38";"8.33";"1.24";"0.12"
"Oussama Idrissi";"O. Idrissi";"8290";"1996-02-26";"LW";"Wide Attacker";"92.25";"48.11";"27";"0";"0.65";"1.27";"28.09";"29.74";"8369.55";"139.49";"1627.57";"649.95";"58.2";"165.73";"8.13";"815.68";"66.33";"97.92";"5.54";"66.24";"12.93";"3.65";"1.15"
"Pablo Edson Barrera Acosta";"P. Barrera";"8308";"1987-06-21";"RW";"Wide Attacker";"88.12";"47.33";"18";"0";"0.64";"1.26";"29.06";"31.12";"8110.72";"135.18";"1453.1";"638.3";"63.88";"259.6";"11.83";"897.9";"75.71";"104.59";"7.89";"70.71";"16.62";"5.63";"2.04"
"João Paulo Dias Fernandes";"Paulinho";"8496";"1992-11-09";"CF";"Center Forward";"96.18";"53.02";"35";"0";"0.62";"1.23";"29.53";"31.52";"7524.72";"125.41";"1077.1";"513.78";"50.61";"227.68";"10.25";"741.46";"60.86";"79.64";"6.08";"58.43";"11.38";"3.69";"1.2"
"Rogelio Gabriel Funes Mori";"R. Funes Mori";"9206";"1991-03-05";"CF";"Center Forward";"73.71";"40.04";"13";"0";"0.79";"null";"28.55";"29.64";"8009.93";"133.5";"1302.89";"480.17";"45.64";"131.28";"5.99";"611.45";"51.64";"85.06";"5.07";"65.81";"10.6";"2.19";"0.23"
