Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
A.de María y Campos Moreno,Querétaro,Liga MX,2024/2025,278,Right Centre Forward,Mexico,11/04/04,0,0,0.12,0.12,0.97,0,33,2,,0.01,0,0.02,0.65,0,0.02,0.65,0,0,0,0,0.14,1.62,-0.14,1.29,0.65,0.65,50,0.65,0,2.26,3.23,0.65,0.11,0.65,0.07,37.81,22.3,0,4.2,53.05,2.59,2.91,0.32,0.97,25,0.37,0.47,1.62,25,0.97,37,3.23,0,35.88,10.36,3.88,4.52,0.65,53.52,19.72,55,4.2,93,0.32,0,0,14.54,71,0.65,17,67,0.65,0.97,40,48,-24,60.02,0.65,0.14,0.2,11.96,65,4.13,3.88,0,0,0,0.32,3.56,3.56,0,,0,,0.97,10,67,23,8,67,25,14.94,11.76,1.06,100,-3.18,15.78,11.79,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,8,1.03,11,-0.06,-0.04,0,-0.11,,-0.21
Aaron Mejía Montoya,Tijuana,Liga MX,2024/2025,2374,Right Back,Mexico,05/06/01,0,0,0.01,0.05,0.3,0,0,0,,0,0.08,0.06,0.57,0.08,0.06,0.45,0,0,0.11,0.08,0.08,0.87,0,0.45,0.27,0.19,58,1.33,0,0.95,1.29,1.18,1.54,2.27,2.73,16.68,8.57,0.02,4.21,38.69,1.93,7.05,1.29,2.46,67,1.5,3.04,1.67,53,0.64,57,1.14,0,13.95,17.02,3.15,2.81,0.23,42.92,5.16,37,1.74,62,0.11,0,0,35.11,86,1.36,22,58,2.69,1.93,17,78,-9,51.94,3.68,0.36,0.37,31.01,94,3.43,9.33,0.3,0.23,0.08,0.04,0.87,1.1,0,38,0.15,29,0.19,21,65,14,13,71,15,17.67,16.21,0.96,98,-1.45,17.01,15.92,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,12,3.83,28,0.02,0.02,0.02,-0.01,,0.05
Aarón Ángel,América,Liga MX,2024/2025,195,Right Defensive Midfielder,Mexico,28/02/03,0,0,0.03,0.02,1.38,0,0,1,,0,0.46,0.18,1.38,0.46,0.18,1.38,0,0,0,0.46,0.2,2.77,0.26,0.46,0.46,0,100,0.46,0,0,0,1.38,0.92,0,0,25.83,16.14,0.06,6.92,40.14,4.15,9.23,0.92,2.31,67,0.25,1.17,0.46,50,0.46,50,0.46,0,24.45,17.54,6,4.61,0.92,41.32,8.3,34,1.38,30,0,0,0,47.51,88,5.54,12,80,0,6.92,9,80,-8,44.66,7.38,0.72,0.74,41.97,99,4.62,8.76,1.38,1.38,0,0,0,1.38,0.46,33,0.46,100,0,19,76,6,16,79,5,23.14,16.84,1.01,100,-6.3,23.39,16.92,0,0,0,0,0,,0,0,,0,0,0,0,0,0,10,5,6.41,32,0.09,0.13,0.03,-0.05,,0.2
Adalberto Carrasquilla,Pumas UNAM,Liga MX,2024/2025,1289,Right Centre Midfielder,Panama,27/11/98,0.07,0,0.06,0.05,1.12,0,25,1,100,0.07,0.07,0.14,1.96,0.07,0.12,1.68,0,0.02,0.28,0.07,0.2,3.07,-0.13,2.3,1.54,0.77,67,1.54,0.07,1.96,2.3,0.7,0.6,0.21,0.15,17.8,9.29,0.02,2.65,47.46,4.47,7.47,0.98,1.68,61,0.68,1.28,1.82,50,0.63,45,0.35,0,15.01,12.19,2.16,4.05,0.49,47.4,6.56,44,2.23,55,0.28,0,0,37.56,79,3.35,19,62,1.26,4.4,26,79,0,55.8,6.63,0.34,0.43,37.36,89,5.17,11.66,1.96,1.33,0.63,0.21,1.33,2.65,0.49,7,0.21,50,0.28,19,71,11,23,74,3,20.02,17.98,0.93,97,-2.04,18.62,17.39,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,10,6.07,46,0.07,0.13,0,-0.01,,0.19
Adonis Frías,León,Liga MX,2024/2025,1056,Left Centre Back,Argentina,16/03/98,0.09,0,0.05,0.05,0.94,0,36,1,50,0.03,0.09,0.07,0.6,0.09,0.07,0.6,0,0,0,0.09,0.12,1.53,-0.03,0.51,0.26,0.26,50,0.77,0,0.26,1.02,0.85,1.16,2.64,2.42,13.64,6.39,0.04,2.47,36.98,2.64,8.52,1.19,2.05,58,1.36,2.52,1.02,33,0.85,73,1.62,0,11.42,11.77,1.62,2.22,0.26,42.5,4.26,37,0.85,38,0.26,0.09,0.09,41.43,90,4.01,8,75,2.98,5.03,11,81,-9,41.24,4.01,0.25,0.35,34.01,96,5.17,5.8,0.34,0.34,0,0.17,1.96,2.3,0,25,0.17,50,0.09,20,74,5,43,53,4,21.95,19.13,0.96,100,-2.82,21.11,19.11,0,0,0,0,0,,0,0,,0,0,0,0,0,0,11,8,4.3,28,0.01,0.06,0.05,-0.01,,0.11
Adonis Preciado,Querétaro,Liga MX,2024/2025,1362,Left Wing,Ecuador,22/03/97,0.26,0.26,0.1,0.09,1.12,24,41,2,,0.12,0.07,0.1,0.86,0.07,0.1,0.86,0,0,0,0.33,0.2,1.98,0.13,3.7,1.39,2.31,38,3.77,0.07,1.65,5.22,0.46,0.32,0.66,0.26,14.8,5.88,0.02,2.64,56.21,2.25,3.63,1.19,1.65,75,0.55,0.87,1.52,33,0.4,51,1.85,0,12.16,6.59,2.05,2.05,0.13,59.51,7.86,65,1.78,87,0.46,0,0,18.43,67,0.73,17,55,0.73,1.26,28,58,-9,67.1,2.64,0.24,0.36,25.1,76,7.75,7.13,0.79,0.79,0,0.53,3.9,4.69,0.13,42,0.73,34,0.79,12,68,20,16,65,19,16.35,13.39,1,109,-2.96,16.32,14.56,0,0,0,0,0,,0,0,,0,0,0,0,0,0,31,12,3.63,32,0.01,0.12,0.01,-0.01,,0.14
Adrián Mora,Atlas,Liga MX,2024/2025,1022,Left Centre Back,Mexico,14/08/97,0,0,0.03,0.07,0.44,0,20,0,,0.04,0,0,0,0,0,0,0,0,0,0,0.03,0.44,-0.03,0.09,0,0.09,0,0.44,0,0.09,0.26,1.32,0.97,4.4,3.36,14.8,7.22,0.08,6.25,23.65,1.06,7.84,2.55,3.88,91,2.14,3.12,1.23,86,0.26,68,2.2,0,11.1,8.39,3.61,1.5,0.26,29.06,1.67,15,0.44,29,0.18,0,0,30.48,78,1.76,68,34,5.37,4.14,14,63,-15,30.79,1.32,0.18,0.21,21.93,99,4.1,1.15,0.09,0,0.09,0,1.06,1.06,0,0,0,,0,34,60,6,46,38,15,24.95,26.16,0.87,86,1.21,21.71,22.62,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,11,1.7,13,0.02,0.01,0.1,-0.03,,0.1
Agustín Oliveros,Necaxa,Liga MX,2024/2025,2604,Left Centre Back,Uruguay,16/08/98,0,0,0.06,0.07,0.79,0,26,1,,0.05,0.03,0.02,0.28,0.03,0.02,0.28,0,0,0,0.03,0.08,1.07,-0.04,0.24,0.21,0.03,86,0.55,0,0.07,0.14,1.28,0.87,4.01,2.3,9.43,4.15,0.06,3.9,27.06,1.59,6.6,0.86,2.14,71,0.59,1.46,0.62,38,0.35,62,1.38,0,7.95,5.15,2.11,0.86,0.1,32.46,1.76,22,0.41,48,0.03,0,0,27.58,81,3.32,87,53,4.8,5.43,11,62,-19,37.44,2.66,0.26,0.32,20.94,99,4.79,3.04,0.31,0.31,0,0,1.24,1.56,0,33,0.1,30,0,31,65,5,40,57,3,25.37,26.27,0.9,91,0.89,22.93,23.98,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,8,2.9,18,0.07,0.03,0.01,-0.02,,0.09
Agustín Palavecino,Necaxa,Liga MX,2024/2025,3577,Right Defensive Midfielder,Argentina,08/11/96,0.2,0.2,0.14,0.05,2.94,7,29,3,,0.16,0.15,0.16,2.26,0.1,0.12,1.66,0.05,0.04,0.6,0.35,0.31,5.21,0.05,2.29,1.18,1.11,52,1.69,0.03,1.59,2.77,1.18,0.77,0.98,0.63,26.09,13.21,0.02,5.59,45.52,5.76,10.57,2.59,3.77,68,1.73,2.5,1.61,47,1.23,29,0.45,0.03,21.89,16.18,4.1,4.88,0.65,48.01,9.79,45,3.6,74,0.18,0,0,43.2,78,4.33,9,55,1.94,6.94,17,73,-5,54.76,8.3,0.52,0.64,42.58,91,4.49,13.54,1.79,1.11,0.68,0.1,2.14,3.25,0.18,31,0.7,42,0.18,26,66,7,30,64,6,21.65,19.18,0.92,97,-2.47,19.83,18.65,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,10,8.16,50,0.13,0.12,0.06,-0.05,,0.26
Aitor García,Juárez,Liga MX,2024/2025,501,Left Wing,Spain,24/03/94,0.18,0.18,0.15,0.04,3.59,5,35,4,,0.12,0.18,0.05,0.72,0.18,0.05,0.72,0,0,0,0.36,0.21,4.31,0.15,3.95,1.08,2.87,27,0.9,0,0.18,4.49,1.08,0.52,1.44,0.7,16.34,8.62,0,2.51,43.57,3.23,5.75,2.33,3.41,68,1.91,2.43,0.9,33,1.08,20,0.18,0,13.11,9.63,1.98,2.16,0,48.65,6.11,47,1.44,67,0,0,0,28.2,72,3.05,28,63,2.33,3.95,17,82,10,54.72,3.41,0.39,0.5,31.25,85,6.71,6.82,0.54,0.54,0,0.18,3.23,3.77,0.18,67,0.54,23,0.36,9,76,15,11,63,26,21.44,18.45,0.97,98,-2.99,20.71,18,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,9,3.88,23,-0.08,0.09,0.04,-0.11,,-0.06
