Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Aaron Mejía Montoya,Tijuana,Liga MX,2025/2026,274,3.04,5,Right Back,,Man,Mexico,24,05/06/01,169,0,0,0,,0,,,0,,0,0,0.01,0.33,0,0.01,0.33,0,0,0,0,0.01,0.33,-0.01,0.33,0.33,0,100,0,0,0,0,0.66,0.27,1.97,0.98,14.47,5.92,0.04,3.95,24.43,2.3,5.59,2.63,3.29,100,0.93,1.2,1.32,100,0,100,1.32,0,10.52,4.46,2.96,1.32,0,26.98,1.97,19,0.99,75,0,0,0,17.42,60,0.99,16,25,2.3,3.62,17,46,-14,47.08,1.64,0.13,0.14,12.49,100,2.85,1.97,0.99,0.33,0.66,0,0,0.33,0,0,0,,0,36,51,13,50,50,0,24.17,19.48,0.84,73,-4.69,20.27,14.23,0,0,0,0,0,,0,0,,0,0,0,0,0,0,37,12,2.27,26,0.06,0.01,0.1,,,0.17
Aaron Ramsey,Pumas UNAM,Liga MX,2025/2026,201,2.24,4,Centre Attacking Midfielder,Left Defensive Midfielder,Man,Wales,35,25/12/90,178,0.45,0.45,0.24,0.08,3.13,14,14,2,0,0.1,0,0.07,1.34,0,0.07,1.34,0,0,0,0.45,0.31,4.47,0.14,0.89,0,0.89,0,0.45,0,0.89,2.68,0,0,0.89,0.81,18.79,9.4,0,5.37,45.41,4.92,9.4,1.34,1.34,75,1.1,1.1,0.45,50,0.45,40,0.89,0,17,14.74,4.47,5.82,3.13,47.63,6.71,39,3.58,62,0.45,0,0,38.03,87,2.68,25,75,0.89,3.58,18,73,-14,52.08,3.13,0.71,0.98,36.24,91,3.64,10.29,1.34,1.34,0,0,4.47,5.82,0,33,0.45,50,0.89,13,67,20,17,74,9,18.46,12.71,0.98,97,-5.74,18.15,12.33,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,8,2.86,21,-0.05,0.04,0.02,-0.57,,-0.56
Adalberto Carrasquilla,Pumas UNAM,Liga MX,2025/2026,739,8.21,9,Centre Attacking Midfielder,Left Defensive Midfielder,Man,Panama,27,27/11/98,170,0,0,0.05,0.04,1.1,0,44,1,,0.02,0.37,0.14,1.34,0.24,0.11,0.73,0.12,0.02,0.61,0.37,0.18,2.44,0.18,1.22,0.85,0.37,70,2.68,0,1.58,2.07,1.1,0.92,0.24,0.24,14.26,7.19,0.01,2.92,51.32,2.8,5.6,0.49,1.58,50,0.76,1.68,1.58,0,0.49,20,0.12,0,12.18,13.77,2.44,3.66,0.37,54.55,7.07,58,2.56,70,0.37,0,0,36.19,81,3.53,19,66,1.1,4.51,26,83,2,57.46,7.55,0.53,0.65,37.16,91,4.05,14.13,1.95,1.22,0.73,0.24,2.8,4.02,0.37,13,0.24,33,0.85,15,78,7,16,75,9,20.7,17.16,0.96,99,-3.54,19.86,16.91,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,10,6.58,50,0.03,0.05,0,-0.02,,0.05
Adonis Frías,León,Liga MX,2025/2026,411,4.57,5,Left Centre Back,Centre Back,Man,Argentina,28,16/03/98,180,0,0,0.07,0.06,1.31,0,17,0,,0,0,0.01,0.22,0,0.01,0.22,0,0,0,0,0.08,1.53,-0.08,0.22,0.22,0,100,0.66,0,0,0.44,0.22,0.18,5.25,3.11,14.89,8.54,0.04,5.69,26.59,1.53,9.41,1.53,1.75,54,0.83,1.01,0.66,50,1.31,67,3.06,0.22,12.7,8.78,2.85,2.19,0.44,33.4,2.85,22,0.66,30,0,0,0,35.03,87,3.5,6,70,5.69,4.6,7,62,-25,32.38,1.09,0.13,0.15,27.36,98,5.07,1.75,0.22,0.22,0,0,1.97,2.19,0,0,0,,0,21,78,2,0,100,0,23.07,23.59,0.97,89,0.52,22.44,20.98,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,5,1.47,11,0,0.03,0.13,-0.07,,0.09
Adonis Preciado,Tijuana,Liga MX,2025/2026,637,7.08,9,Left Midfielder,Centre Forward,Man,Ecuador,29,22/03/97,177,0.14,0,0.17,0.1,1.69,0,25,4,50,0.08,0.14,0.13,0.85,0.14,0.13,0.85,0,0,0,0.14,0.29,2.54,-0.15,2.68,1.41,1.27,53,3.11,0.14,1.27,2.82,0.85,0.55,1.13,0.57,16.1,6.78,0.01,3.25,44.98,1.98,4.38,1.41,2.26,63,0.67,1.22,2.4,29,0.85,55,1.69,0,12.29,7.63,1.55,2.12,0.14,48.06,5.23,43,1.98,93,0.14,0,0,15.82,75,0.71,11,83,1.27,0.71,33,59,-16,64.92,1.55,0.25,0.53,19.63,82,7.44,6.92,0.56,0.56,0,0.71,5.08,5.65,0,0,0.42,23,0.56,8,69,22,14,63,22,16.62,14.26,1.05,102,-2.37,17.4,14.58,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,12,3.67,25,0,0.19,0.02,-0.07,,0.14
Adrián Mora,Atlas,Liga MX,2025/2026,629,6.99,6,Left Centre Back,Left Defensive Midfielder,Man,Mexico,28,14/08/97,190,0.29,0.29,0.1,0.1,1,29,43,0,,0.17,0,0,0,0,0,0,0,0,0,0.29,0.1,1,0.18,0,0,0,,0.29,0,0.29,0,0.86,0.5,3.15,1.83,12.73,6.15,0.06,5.29,26.4,0.72,6.15,0.86,1.72,86,0.76,1.26,1.86,67,0.14,41,1.29,0,10.01,5.73,3.43,1.14,0.14,31.06,1.72,17,0.43,38,0.29,0,0,21.74,76,2.29,78,41,4,4.72,13,52,-24,32.9,1.14,0.22,0.25,16.45,98,3.99,0.57,0.14,0,0.14,0,1.72,1.72,0.14,0,0,,0,36,62,2,0,100,0,25.63,23.26,0.86,98,-2.36,22,22.77,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,15,2.22,21,0.05,0.02,-0.06,0.04,,0.04
Agustín Oliveros,Necaxa,Liga MX,2025/2026,202,2.25,2,Left Centre Back,,Man,Uruguay,27,16/08/98,182,0,0,0.15,0.17,0.89,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.15,0.89,-0.15,0.44,0.44,0,100,1.78,0,0.44,0.44,0,0,4,4.32,8.45,4,0.08,3.11,33.7,1.33,8.89,0.44,0.44,50,0.34,0.34,0,50,0.44,60,1.33,0,8.01,9.27,1.78,1.33,0,37.53,1.33,17,0.89,67,0,0,0,46.7,84,3.56,94,42,4.89,7.56,15,81,-2,36.98,4.45,0.43,0.43,42.25,98,4.35,4,0.44,0.44,0,0,1.33,1.78,0,0,0,,0,25,72,3,44,56,0,26.19,23.4,0.89,113,-2.79,23.33,26.35,0,0,0,0,0,,0,0,,0,0,0,0,0,0,15,5,3.16,23,0.13,0.03,0.03,-0.11,,0.08
Agustín Palavecino,Necaxa,Liga MX,2025/2026,751,8.35,8,Centre Attacking Midfielder,Left Defensive Midfielder,Man,Argentina,29,08/11/96,179,0.12,0,0.1,0.04,2.52,0,38,2,100,0.11,0.12,0.21,2.64,0.12,0.14,1.44,0,0.07,1.2,0.12,0.31,5.15,-0.19,1.68,0.84,0.84,50,1.68,0,2.4,3,0.6,0.41,0.36,0.39,28.52,15.34,0.01,6.47,51.53,6.11,10.07,2.16,2.76,58,2.09,2.5,1.2,19,1.56,10,0.12,0,25.16,21.79,5.27,5.87,1.2,52.63,14.02,56,4.31,73,0.24,0,0,53.68,74,6.71,5,52,1.92,11.38,15,74,0,55.72,11.74,0.53,0.59,48.77,91,4.58,16.54,3.59,1.8,1.8,0,2.04,3.83,0.24,23,1.08,30,0.12,24,66,10,30,67,3,24.01,20.34,0.93,92,-3.67,22.32,18.73,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,10,9.02,58,0.19,0.07,0.03,-0.03,,0.26
Alan Cervantes,América,Liga MX,2025/2026,330,3.67,7,Left Defensive Midfielder,Right Defensive Midfielder,Man,Mexico,28,16/01/98,181,0,0,0.03,0.11,0.27,0,0,0,,0,0,0,0.54,0,0,0.54,0,0,0,0,0.04,0.82,-0.04,0.54,0.54,0,100,1.36,0,1.63,0.82,0.27,0.49,0,0,20.43,10.35,0.04,6.26,39.27,3.54,7.9,2.72,3,83,3.5,3.99,0.82,75,0.54,40,0.54,0,16.89,18.33,5.45,4.63,0.82,40.1,4.36,26,2.18,47,0,0,0,40.31,95,2.18,9,100,0,2.18,13,85,-10,46.56,3.54,0.4,0.4,35.41,96,4.51,5.99,0,0,0,0,1.09,1.09,0,,0,,0,11,78,11,9,82,9,17.36,13.42,1.02,108,-3.94,17.76,14.45,0,0,0,0,0,,0,0,,0,0,0,0,0,0,10,6,4.44,43,-0.05,0.07,0.01,-0.01,,0.02
Alan Medina,Pumas UNAM,Liga MX,2025/2026,185,2.05,4,Right Wing,Centre Forward,Man,Mexico,28,18/08/97,180,0.49,0.49,0.09,0.06,1.46,33,33,3,,0.27,0,0.03,0.49,0,0.03,0.49,0,0,0,0.49,0.12,1.95,0.37,1.46,0.97,0.49,67,1.46,0,2.44,3.41,1.95,2.02,0,0,12.67,3.41,0,3.9,52.32,3.9,5.36,0,1.95,,0,2.02,0.49,,0,40,0.97,0,12.19,16.53,3.41,1.46,0,58.77,8.29,68,1.46,100,0,0,0,23.4,76,0,9,0,0,0.97,30,80,4,66.24,1.95,0.45,0.51,26.81,82,7.58,10.24,0.49,0.49,0,0.49,2.92,3.41,0,0,0,0,0.49,14,72,14,24,62,14,14.19,10.45,0.9,98,-3.74,12.71,10.26,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,10,6.19,38,-0.03,0.03,0.11,0.01,,0.13
