"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"André-Pierre Gignac";"CF";"all";"all";"754";"A. Gignac";"1985-12-05";"88.47";"21.49";"13";"0";"165";"100";"22.42";"77.58";"77.58";"82.57";"66.06";"54.55";"14.55";"8.48";"58.33";"10.91";"6.67";"61.11"
"José Andrés Guardado Hernández";"LM";"all";"all";"819";"A. Guardado";"1986-09-28";"82.91";"17.58";"6";"0";"131";"100";"12.98";"87.02";"87.02";"87.04";"82.44";"71.76";"3.05";"1.53";"50";"9.16";"4.58";"50"
"Borja González Tomás";"CF";"all";"all";"1395";"Borja Bastón";"1992-08-25";"73.24";"15.91";"5";"0";"30";"100";"23.33";"76.67";"76.67";"89.47";"63.33";"56.67";"10";"6.67";"66.67";"13.33";"6.67";"50"
"Brayan Alexis Angulo León";"LB";"all";"all";"1451";"B. Angulo";"1989-11-02";"99.62";"18.87";"7";"0";"211";"100";"22.27";"77.73";"77.73";"80.77";"73.93";"59.72";"8.06";"4.74";"58.82";"19.43";"9.48";"48.78"
"Brayan Alexis Angulo León";"LM";"all";"all";"1451";"B. Angulo";"1989-11-02";"89.31";"13.18";"5";"0";"97";"100";"36.08";"63.92";"63.92";"68.97";"59.79";"41.24";"13.4";"8.25";"61.54";"20.62";"10.31";"50"
"Brayan Alexis Angulo León";"LWB";"all";"all";"1451";"B. Angulo";"1989-11-02";"99.22";"16.38";"14";"0";"354";"100";"25.14";"74.86";"74.86";"73.83";"72.32";"53.39";"6.78";"3.11";"45.83";"19.21";"9.6";"50"
"Diego Antonio Reyes Rosales";"RCB";"all";"all";"2724";"D. Reyes";"1992-09-19";"93.86";"21.77";"10";"0";"120";"100";"22.5";"77.5";"77.5";"80.77";"86.67";"70";"4.17";"4.17";"100";"17.5";"9.17";"52.38"
"Gustavo Daniel Cabral Cáceres";"RCB";"all";"all";"4149";"G. Cabral";"1985-10-14";"101.05";"21.94";"9";"0";"129";"100";"10.85";"89.15";"89.15";"90.35";"88.37";"79.84";"0";"0";"";"12.4";"8.53";"68.75"
"Héctor Alfredo Moreno Herrera";"LCB";"all";"all";"4239";"H. Moreno";"1988-01-17";"97.08";"24.48";"16";"0";"236";"100";"14.41";"85.59";"85.59";"85.78";"95.34";"81.78";"0.42";"0";"0";"15.25";"8.9";"58.33"
"James David Rodríguez Rubio";"AM";"all";"all";"4676";"J. Rodríguez";"1991-07-12";"89.71";"21.18";"5";"0";"139";"100";"23.74";"76.26";"76.26";"78.33";"86.33";"67.63";"13.67";"7.19";"52.63";"20.14";"8.63";"42.86"
"James David Rodríguez Rubio";"CF";"all";"all";"4676";"J. Rodríguez";"1991-07-12";"94.26";"18.73";"5";"0";"152";"100";"20.39";"79.61";"79.61";"80.65";"81.58";"65.79";"13.16";"7.24";"55";"17.11";"9.21";"53.85"
"Javier Ignacio Aquino Carmona";"RB";"all";"all";"4796";"J. Aquino";"1990-02-11";"101.23";"22.6";"31";"0";"828";"100";"23.91";"76.09";"76.09";"79.76";"81.76";"65.22";"3.86";"1.45";"37.5";"16.18";"7.49";"46.27"
"Javier Hernández Balcázar";"CF";"all";"all";"4809";"Chicharito";"1988-06-01";"79.7";"18.8";"11";"0";"90";"100";"37.78";"62.22";"62.22";"70";"55.56";"38.89";"13.33";"6.67";"50";"20";"10";"50"
"Jesús Manuel Corona Ruíz";"LW";"all";"all";"4992";"J. Corona";"1993-01-06";"73.49";"19.02";"9";"0";"296";"100";"29.39";"70.61";"70.61";"81.53";"53.04";"43.24";"8.45";"5.07";"60";"10.47";"6.08";"58.06"
"Jhon Eduard Murillo Romaña";"RW";"all";"all";"5003";"J. Murillo";"1995-11-21";"93.7";"18.03";"12";"0";"225";"100";"27.11";"72.89";"72.89";"77.33";"66.67";"51.56";"13.33";"4";"30";"17.33";"6.67";"38.46"
"Jhonder Leonel Cádiz Fernández";"CF";"all";"all";"5004";"J. Cádiz";"1995-07-29";"92.84";"20.62";"22";"0";"248";"100";"35.48";"64.52";"64.52";"62.5";"54.84";"34.27";"15.73";"8.06";"51.28";"20.16";"8.87";"44"
"Jonathan dos Santos Ramírez";"LM";"all";"all";"5247";"J. dos Santos";"1990-04-26";"79.85";"15.97";"5";"0";"142";"100";"10.56";"89.44";"89.44";"92.56";"85.21";"78.87";"5.63";"3.52";"62.5";"8.45";"4.93";"58.33"
"José Salomón Rondón Giménez";"CF";"all";"all";"5439";"S. Rondón";"1989-09-16";"100.5";"22.53";"25";"0";"405";"100";"33.58";"66.42";"66.42";"72.49";"56.54";"40.99";"18.27";"10.37";"56.76";"16.79";"7.65";"45.59"
"Leonardo Bonatini Lohner Maia";"CF";"all";"all";"6141";"Léo Bonatini";"1994-03-28";"76.89";"20.18";"12";"1";"173";"100";"30.06";"69.94";"69.94";"74.62";"75.14";"56.07";"17.92";"10.98";"61.29";"20.23";"8.67";"42.86"
"Lucas Ariel Ocampos";"LW";"all";"all";"6348";"L. Ocampos";"1994-07-11";"91.72";"21.01";"10";"0";"314";"100";"26.43";"73.57";"73.57";"74.74";"61.78";"46.18";"8.28";"2.55";"30.77";"13.69";"4.78";"34.88"
"Matheus Dória Macedo";"LCB";"all";"all";"7147";"Dória";"1994-11-08";"101.64";"19.36";"28";"0";"494";"100";"26.32";"73.68";"73.68";"76.62";"87.45";"67";"1.01";"0.2";"20";"19.64";"9.92";"50.52"
"Óliver Torres Muñoz";"LM";"all";"all";"8194";"Óliver Torres";"1994-11-10";"82.24";"18.77";"7";"0";"212";"100";"16.51";"83.49";"83.49";"86.89";"86.32";"75";"14.15";"8.49";"60";"18.87";"12.74";"67.5"
