Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
E. Basilio,Guingamp,Guingamp,GK,30,3454,0,0,0,0,France,1.22,0,0,0.29,90.91,0,0,0,1.22,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,33.33,0,0,0,11.1,0.18,0.08,18.16,84.22,11.18,75.76,0,0,5.71,99.09,7.79,68.56,30.09,43.23,0,0,0,0,0,0,0,1.17,53.33,0.05,50,0.08,66.67,0,0,6.25,70.42,46,1.2,163,4.25,11,71.78,48.98,1.28,2.98,0.078,0,1.2,0.29
A. Kashi,Annecy,Annecy,"LDMF, LCMF",36,3362,1,0.94,0,0.48,France,8.57,4.66,58.05,2.73,57.84,0.46,0.55,0.16,5.41,6.56,1.02,6,0.16,0,0,0.62,0.03,1,0.03,0.03,0,0,23,0.62,26.09,4.348,0,0.21,12.5,0.62,56.52,2.3,40.7,0.11,0.4,0.11,23.8,0.08,0.37,38.74,83.55,14.24,71.99,4.12,92.86,14.13,90.72,4.82,50.56,17.85,34.91,0.01,0.19,0,0,0.11,75,0.05,6.64,66.13,0.83,48.39,0.46,29.41,0.32,0.03,5.97,72.2,0,,0,,0,0,0,0,,,0.67,,
F. Escales,Annecy,Annecy,GK,29,3362,0,0,0,0,France,3.02,0.24,66.67,0.51,89.47,0,0,0,2.86,3.47,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0,11.06,0.11,0.13,20.08,78.27,12.8,69.25,0,0,6.37,95.38,8.54,54.55,33.36,49.3,0,0,0,0,0,0,0,3.48,45.38,0.21,0,0.11,0,0,0,5.62,70,43,1.15,124,3.32,16,65.32,34.65,0.93,-8.35,-0.224,0,1.69,0.51
J. Placide,Bastia,Bastia,GK,37,3354,0,0,0,0.41,France,1.45,0.03,100,0.4,93.33,0.03,0.04,0,1.4,2.03,0,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,66.67,0,0,0.03,13.28,0.24,0.11,20.77,81.14,12.64,70.91,0,0,7.11,97.74,9.26,61.16,33.39,49.29,0.01,0.03,0,0,0,0,0,2.87,39.25,0.35,15.38,0.35,7.69,0.03,0,6.14,77.73,37,0.99,118,3.17,12,68.64,34.68,0.93,-2.32,-0.062,0,1.29,0.4
G. Hein,Metz,Metz,"CF, RW, AMF",29,3329,12,10.33,5,9.87,France,2.89,2.43,64.44,0.81,33.33,0.16,0.25,0.03,1.16,1.76,0.35,5,0.14,0,0,3.38,0.32,6,0.16,0.28,0,0,65,1.76,47.69,18.462,0.14,2.73,38.61,2.24,54.22,7.27,39.78,2.49,3.68,0.78,38.39,1.81,1,48.1,88.42,12.36,83.37,12.27,94.27,15.73,87.97,3.65,80,18.25,39.43,0.27,2.3,0.19,0,0.35,76.92,0.73,6.43,86.97,3.54,64.89,0.46,70.59,1.73,1.03,7.54,87.81,0,,0,,0,0,0,0,,,0.14,,
Opa Sangante,Dunkerque,Dunkerque,RCB,34,3322,2,1.85,0,0.15,Guinea-Bissau,5.99,3.39,68.8,2.57,52.63,0.08,0.12,0.6,3.58,5.4,0.54,5,0.14,1,0.03,0.22,0.05,2,0.05,0.05,1,0.03,11,0.3,18.18,18.182,0,0.16,50,0.22,37.5,1.49,40,0.49,1.03,0.03,50.93,0.57,0.73,65.08,85.47,24.52,68.4,3.52,98.46,31.97,95.76,11.27,44.23,24.71,45.17,0,0.11,0,0.03,0,0,0.03,10.43,52.73,1.49,30.91,1.68,29.03,0.3,0.05,10.92,72.46,0,,0,,0,0,0,0,,,3.01,,
A. Georgen,Dunkerque,Dunkerque,RB,26,3316,0,0.16,0,1.77,France,9.36,6.32,62.23,3.45,43.31,0.54,0.8,0.3,4.89,7.21,0.98,5,0.14,0,0,1.63,0,0,0,0,0,0,8,0.22,0,0,0,2.23,39.02,0.95,74.29,3.88,50.35,0.73,2.28,0.35,32.87,1.49,0.84,47.06,86.1,16.01,77.63,8.22,96.37,16.47,90.61,3.83,58.87,18.81,32.99,0.05,0.71,0,0.03,0.16,33.33,0.27,5.54,76.96,2.58,57.89,0.65,54.17,0.87,0.81,8.17,76.08,0,,0,,0,0,0,0,,,1.63,,
J. Diaz,Brest,Troyes,"LCB, RCB",22,3310,0,2,1,1.2,France,7.86,4.08,68,4.38,57.76,0.35,0.4,0.68,4.73,5.3,0.57,6,0.16,0,0,0.38,0,0,0,0.05,0,0,12,0.33,25,0,0.03,0,0,0.41,66.67,1.5,52.73,0.38,1.09,0.05,33.77,0.27,0.95,45.11,89.09,16.99,77.6,1.82,97.01,23.27,97.31,5.38,61.11,22.49,43.64,0.03,0.14,0,0.05,0.03,100,0.11,5.17,73.68,0.35,46.15,0.38,57.14,0.16,0,7.53,68.23,0,,0,,0,0,0,0,,,1.47,,
R. Gurtner,Lens,Amiens SC,GK,38,3254,0,0,0,0,France,1.24,0.11,75,0.33,83.33,0.03,0.03,0,1.13,1.33,0,1,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.17,83.33,0,0,0,6.33,0.08,0.19,11.12,85.07,5.92,74.3,0.03,100,4.73,98.25,3.79,62.77,29.88,46.16,0,0,0,0,0,0,0,0.72,50,0.03,100,0,0,0,0,2.3,67.47,49,1.36,146,4.04,9,66.44,50.09,1.39,1.09,0.03,0.03,1.16,0.33
Y. Mvogo,,Lorient,GK,31,3249,0,0,0,0,Cameroon,1.14,0.11,100,0.19,71.43,0,0,0,1.02,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,21.3,0.33,0.08,29.03,89.98,12.52,78.98,0,0,15.4,98.74,7.53,66.91,27.01,41.52,0,0,0,0,0,0,0,1.61,46.55,0.11,0,0.11,50,0,0,4.76,68.6,29,0.8,97,2.69,13,70.1,28.56,0.79,-0.44,-0.012,0,0.86,0.19
A. Leautey,Reims,Amiens SC,"LAMF, LW, RAMF",29,3246,10,5.78,4,2.79,France,5.35,4.46,64.6,0.55,20,0.11,0.13,0.06,2.36,2.74,0.61,1,0.03,0,0,3.6,0.28,9,0.25,0.16,0,0,55,1.52,54.55,18.182,0.11,2.91,16.19,3.88,57.14,9.84,41.97,2.44,2.99,0.64,23.46,2.63,1.28,31.36,78.6,9.23,73.27,7.9,93.33,7.85,72.08,1.39,64,17.42,29.1,0.08,0.61,0.06,0.03,0.14,60,0.3,2.83,77.45,2.83,42.16,0.11,50,0.83,0.5,4.8,71.68,0,,0,,0,0,0,0,,,0.03,,
