Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Aaron Meijers,RKC Waalwijk,Eredivisie,2024/2025,815,9.06,17,Left Back,Centre Attacking Midfielder,Man,Netherlands,37,27/10/87,176,0,0,0.01,0.05,0.22,0,0,0,,0,0,0.04,0.77,0,0.04,0.66,0,0.01,0.11,0,0.05,0.99,-0.05,0,0,0,,1.21,0,0.22,0.33,1.55,0.94,1.77,1.39,15.02,7.84,0.03,3.75,33.72,2.76,6.51,1.21,2.76,39,0.54,1.49,0.66,40,1.88,68,1.88,0.11,13.14,8,2.43,2.76,0.11,37.18,3.31,25,1.55,56,0.11,0,0.11,35.22,74,2.43,91,40,2.76,5.08,12,59,-15,49.47,2.87,0.28,0.29,26.17,98,3.67,6.07,0.66,0.55,0.11,0,0.44,0.99,0.11,33,0.22,12,0,29,60,11,29,56,15,19.92,20.3,0.89,102,0.38,17.68,20.77,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,12,3.6,32,0.07,0.04,0.09,-0.01,,0.19
"Abdurrahman Burak Sayın	",Fortuna Sittard,Eredivisie,2024/2025,7,0.07,1,Centre Forward,,Man,Netherlands,,,,0,0,0,,0,,,0,,0,0,0.27,13.74,0,0.27,13.74,0,0,0,0,0.27,13.74,-0.27,0,0,0,,0,0,0,0,0,0,0,0,27.48,0,0,0,51.64,0,0,0,0,,0,0,0,,0,0,0,0,27.48,26.23,0,13.74,0,51.64,13.74,50,13.74,100,0,0,0,13.74,100,0,0,,0,0,0,,,78.64,0,0.27,0.27,13.74,100,1.35,13.74,0,0,0,0,0,0,0,,0,,0,0,100,0,0,100,0,13.56,,1,,,13.56,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,13.74,100,-0.05,-0.04,,,,-0.09
Adam Kaied,NAC Breda,Eredivisie,2024/2025,525,5.83,16,Left Centre Midfielder,Right Back,Man,Sweden,23,01/03/02,177,0.17,0.17,0.08,0.06,1.37,13,25,2,,0.16,0,0.05,1.03,0,0.05,1.03,0,0,0,0.17,0.13,2.4,0.04,2.57,1.37,1.2,53,0.17,0,2.57,2.57,1.03,0.8,1.03,1.06,25.03,12.86,0,4.29,42.52,4.46,7.72,2.74,3.77,84,2.66,3.46,0.86,70,0.51,38,0.51,0.17,21.43,17.4,3.26,4.46,0.51,44.69,8.4,39,3.26,73,0,0,0,29.84,77,0.69,10,50,1.2,1.2,28,73,-4,56.48,3.26,0.35,0.41,30.69,84,5.91,8.23,0.34,0.34,0,0.69,3.6,3.94,0,50,0.17,25,0.69,17,68,14,13,65,23,14.91,14.08,0.94,97,-0.84,13.96,13.69,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,14,4.32,27,0,0.13,-0.01,0,,0.13
Adamo Nagalo,PSV Eindhoven,Eredivisie,2024/2025,183,2.04,6,Left Centre Back,Right Centre Back,Man,Burkina Faso,22,21/09/02,185,0,0,0.04,0.08,0.49,0,0,0,,0,0,0.05,0.49,0,0.05,0.49,0,0,0,0,0.09,0.98,-0.09,0.49,0.49,0,100,0.98,0,0,0.49,1.96,3.29,4.91,7.9,14.24,7.37,0.06,5.89,37.45,3.44,15.23,2.95,4.91,100,5.17,8.46,1.96,,0,62,3.93,0,9.33,16.01,3.44,2.46,0.98,45.27,4.42,47,1.96,80,0,0,0,81.04,94,5.4,19,69,6.39,6.39,12,80,-14,42.96,9.82,1.13,1.18,68.76,100,4.5,14.24,0.98,0.98,0,0,2.46,3.44,0.49,0,0,,0.49,27,69,4,41,55,3,21.52,23.11,0.95,108,1.6,20.5,24.92,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,8,5.21,21,0.16,0.05,0.14,-0.05,,0.31
Adi Nalic,Almere City,Eredivisie,2024/2025,777,8.63,22,Centre Attacking Midfielder,Centre Forward,Man,Bosnia and Herzegovina,27,30/11/97,190,0.12,0.12,0.11,0.06,1.85,6,25,2,,0.13,0,0.03,0.58,0,0.03,0.58,0,0,0,0.12,0.14,2.43,-0.03,2.78,1.51,1.27,54,1.16,0,1.85,4.4,1.51,0.89,0.35,0.23,31.41,15.42,0.01,5.22,51.06,3.25,7.77,1.51,3.01,81,1.31,2.2,1.51,25,0.35,26,1.16,0,28.51,18.17,4.52,4.64,0.58,52.62,16.23,57,3.48,75,0.23,0,0,27.59,73,1.62,2,56,0.93,2.32,23,67,-6,54.81,3.25,0.1,0.2,30.48,81,5.88,7.77,0.58,0.46,0.12,0.12,3.71,4.17,0,20,0.23,17,0.35,13,71,17,16,70,13,18.18,15.13,1,117,-3.05,18.11,17.7,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,8,2.5,28,-0.08,0.02,0.02,-0.01,,-0.05
Adrian Blake,FC Utrecht,Eredivisie,2024/2025,569,6.33,17,Left Wing,Right Wing Back,Man,England,19,14/07/05,173,0.47,0.47,0.14,0.06,2.53,19,38,4,,0.36,0.32,0.32,1.9,0.32,0.32,1.9,0,0,0,0.79,0.46,4.43,0.33,2.21,1.42,0.79,64,2.06,0,1.74,2.37,0.63,0.54,0.32,0.36,19.29,7.75,0,3.48,45.73,2.85,6.64,2.21,2.85,82,2.4,2.94,0.79,67,0.47,0,0,0,16.28,16.78,2.85,3.48,0.32,47.42,7.43,46,2.06,59,0.16,0,0,24.34,74,1.9,15,67,0.47,2.69,19,83,9,63.07,3.48,0.5,0.63,30.04,87,6.63,10.28,2.06,2.06,0,0.79,3.64,5.69,0.16,23,0.79,31,0.79,18,70,12,18,71,11,19.51,16.39,0.99,101,-3.12,19.3,16.59,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,13,4.81,26,0.09,0.15,0.03,0.03,,0.3
Ahmetcan Kaplan,Ajax,Eredivisie,2024/2025,601,6.68,8,Left Centre Back,Right Centre Back,Man,Turkey,22,15/01/03,189,0,0,0.06,0.07,0.75,0,20,0,,0.09,0,0.02,0.6,0,0.02,0.6,0,0,0,0,0.08,1.35,-0.08,0.3,0.3,0,100,1.2,0,1.2,0,1.05,1.46,3.29,4.49,15.86,7.78,0.05,4.19,35.76,3.44,9.43,2.54,3.59,89,3.49,4.95,2.24,71,0.3,50,1.8,0,11.07,14.52,2.09,2.24,0.3,44.04,4.49,41,1.5,67,0.3,0,0,75.42,92,4.34,88,64,4.34,5.69,12,87,-5,41.28,7.78,0.48,0.5,65.24,98,4.82,9.58,0.6,0.6,0,0,1.5,2.09,0,0,0,0,0.15,22,75,3,27,72,2,19.48,19.72,0.96,101,0.24,18.79,19.99,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,12,5.58,32,0.05,0.11,0.15,-0.03,,0.28
Alec Van Hoorenbeeck,Twente,Eredivisie,2024/2025,1258,13.98,21,Left Centre Back,Centre Attacking Midfielder,Man,Belgium,26,29/12/98,187,0.14,0.14,0.08,0.13,0.64,22,33,0,,0.14,0,0.02,0.29,0,0.02,0.21,0,0,0.07,0.14,0.1,0.93,0.04,0.21,0.14,0.07,67,0.57,0,0.36,0.14,1.57,1.9,4.51,4.87,9.15,4.51,0.05,4.15,27.12,2.57,11.44,1.22,2.79,85,1.28,3.18,0.64,78,0.21,52,2.79,0,7.3,7.92,2.36,1.29,0.29,34.12,1.72,24,0.5,39,0.07,0,0.07,58.93,88,4.93,50,56,5.72,7.65,11,68,-20,37.32,5.29,0.53,0.58,46.77,99,5.55,6.51,0.29,0.29,0,0.14,1.57,1.86,0.07,0,0,0,0.21,26,70,4,27,70,2,23.13,23.53,0.92,94,0.4,21.27,22.03,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,7,4.93,31,0.09,0.06,0.08,-0.03,,0.19
Alen Halilović,Fortuna Sittard,Eredivisie,2024/2025,1847,20.52,27,Right Wing,Centre Attacking Midfielder,Man,Croatia,28,17/06/96,169,0.1,0.1,0.15,0.07,2.05,5,31,3,0,0.18,0.15,0.11,1.22,0.1,0.05,0.54,0.05,0.06,0.68,0.24,0.26,3.26,-0.02,1.51,0.97,0.54,65,1.56,0,1.66,1.46,0.58,0.34,0.24,0.13,16.81,7.7,0,2.48,49.57,3.7,5.46,1.36,1.95,56,0.87,1.21,0.49,29,1.07,12,0.19,0,14.96,10.28,2.1,3.02,0.29,50.91,7.45,50,2.34,77,0.1,0,0,27.43,79,3.56,86,57,1.07,5.41,19,81,1,56.25,3.9,0.42,0.48,27.77,89,5.73,7.26,1.56,0.73,0.83,0.05,2.1,2.83,0.1,22,0.39,30,0.15,11,71,18,19,69,11,21.21,17.64,0.93,97,-3.57,19.65,17.07,0,0,0,0,0,,0,0,,0,0,0,0,0,0,15,6,5.1,37,0.1,0.06,0.02,-0.04,,0.14
Alessio Da Cruz,Fortuna Sittard,Eredivisie,2024/2025,1272,14.13,18,Centre Forward,Right Wing,Man,Cape Verde Islands,28,17/01/97,186,0.28,0.28,0.32,0.17,1.84,15,38,4,,0.24,0.07,0.05,0.28,0.07,0.05,0.28,0,0,0,0.35,0.37,2.12,-0.02,0.85,0.35,0.5,42,1.56,0,1.27,2.97,0.35,0.28,0.21,0.13,24.2,12.1,0.01,3.11,60.85,2.34,3.47,0.64,0.99,56,0.5,0.78,1.98,30,0.5,32,2.12,0.07,21.58,17.63,2.69,3.96,0.57,62.08,14.72,68,3.75,95,0.35,0,0,13.52,77,0.42,8,55,0.42,0.57,30,62,-16,60.57,0.92,0.3,0.57,13.87,77,5.77,4.74,0,0,0,0.35,5.02,5.02,0,,0.14,22,0.71,10,60,30,4,69,27,14.62,14.54,0.94,86,-0.07,13.67,12.45,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,10,1.49,11,0,0.01,0,-0.04,,-0.03
