Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Age,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Kodai Sano,NEC,Eredivisie,2025/2026,2757,Right Defensive Midfielder,Japan,22,24/09/03,0.1,0.1,0.06,0.07,0.85,12,27,1,,0.07,0.2,0.11,1.18,0.16,0.08,1.01,0.03,0.03,0.16,0.29,0.17,2.02,0.13,2.68,1.6,1.08,60,1.44,0,1.47,2.06,0.98,1.21,1.96,2.26,20.11,9.3,0.03,8.16,44.65,8.33,16.75,2.32,3.3,74,2.71,3.92,1.31,56,0.82,50,1.01,0.13,16.49,19.57,6.04,5.75,2.38,49.78,8.62,52,3.98,69,0.1,0,0,47.31,80,2.68,19,53,2.32,4.73,14,73,-8,53.7,6.53,0.62,0.65,40.29,92,5.47,13.81,1.73,1.53,0.2,0.36,1.57,3.1,0.07,13,0.33,28,0.49,23,66,11,25,67,8,19.3,15.97,0.94,99,-3.33,18.2,15.74,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,8,6.86,36,0.06,0.12,0.06,0,,0.24
Joël Drommel,Sparta Rotterdam,Eredivisie,2025/2026,2729,Goalkeeper,Netherlands,29,15/11/96,0,0,0,0.01,0.03,0,0,0,,0,0,0,0.07,0,0,0.03,0,0,0.03,0,0,0.1,0,0,0,0,,0.1,0,0,0.03,0,0,0,0,0.13,0.03,0,6.7,2.5,0,4.35,0,0,,0,0,0.03,100,0,,0,0,0.1,0.09,0.07,0,0,6.24,0,0,0,,0.03,0,0,35.39,67,11.54,21,45,6.5,19.26,20,53,-14,12.32,2.21,0.24,0.24,28.83,100,4.9,1.29,0.13,0.07,0.07,0,0,0.07,0.03,0,0,,0,50,50,0,92,8,0,45.78,50.98,0.77,78,5.2,35.31,39.81,1.45,1.51,0.06,71,70,1,1.33,5.01,34,14.61,1.55,0.1,0.03,17.83,1,24,3,2.28,16,0.21,0.08,0,,0.07,0.36
Tobias Lauritsen,Sparta Rotterdam,Eredivisie,2025/2026,2720,Centre Forward,Norway,28,29/08/97,0.36,0.26,0.25,0.13,1.99,13,35,4,100,0.28,0.1,0.1,1.22,0.1,0.1,1.19,0,0,0.03,0.36,0.35,3.21,0.02,0.3,0.17,0.13,56,1.99,0,0.76,1.92,0.17,0.13,1.03,0.87,19.99,9.03,0.01,5.2,67.36,2.38,4.07,0.43,0.6,48,0.4,0.53,0.83,24,0.46,58,6.98,0,18.73,15.65,4.53,3.77,0.79,71.79,16.41,88,3.31,88,0.13,0,0,20.09,61,0.3,15,56,1.16,0.4,45,48,-13,60.18,1.29,0.47,0.6,10.46,82,3.22,5.76,0.46,0.46,0,0.3,6.02,6.49,0.13,0,0,0,0.76,19,64,17,16,64,20,14.56,14.39,0.97,92,-0.17,14.15,13.3,0,0,0,0,0,,0,0,,0,0,0,0,0,0,49,14,3.6,25,-0.09,0,0.01,-0.01,,-0.09
Joris van Overeem,SC Heerenveen,Eredivisie,2025/2026,2713,Left Defensive Midfielder,Netherlands,31,31/05/94,0.07,0.07,0.07,0.14,0.46,14,29,0,,0.09,0.23,0.14,1.46,0.2,0.12,1.19,0.03,0.02,0.27,0.3,0.2,1.92,0.1,0.83,0.6,0.23,72,1.09,0,1.36,1.06,1.59,1.62,1.76,1.7,17.12,10.35,0.01,6.57,39.9,6.27,13.87,1.66,3.25,70,1.56,3.18,1.49,59,0.7,58,1.29,0.03,14.07,13.4,5.08,3.38,1.39,44.21,6.01,43,1.89,56,0.13,0,0,52.82,78,4.55,13,51,3.05,7.63,17,67,-10,48.06,7,0.61,0.66,43.46,95,4.23,12.77,1.79,1.26,0.53,0.27,1.73,2.99,0.13,13,0.3,30,0.53,27,67,5,33,64,4,22.17,18.79,0.93,98,-3.38,20.51,18.47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,10,7,42,0.13,0.09,0.04,0.04,,0.3
Jari De Busser,Go Ahead Eagles,Eredivisie,2025/2026,2712,Goalkeeper,Belgium,26,20/10/99,0,0,0,,0,,,0,,0,0,0,0.07,0,0,0.07,0,0,0,0,0,0.07,0,0.03,0.03,0,100,0.3,0,0,0,0,0,0,0,0,0.03,0,7.86,2.1,0,3.95,0,0,0,0,0,0,0,0.07,,0,0.07,0,0,0,0,0,,0,,0,,0,0,0,32.32,64,7.43,8,35,6.01,15.4,24,57,-7,11.27,0.83,0.17,0.18,26.01,100,4.45,0.5,0.1,0.07,0.03,0,0,0.07,0,0,0,,0,55,45,0,93,7,0,42.54,44.31,0.71,72,1.77,30.32,32.02,1.29,1.56,0.26,75,70,5,1.52,5.14,31,16.66,1.49,0.1,0.1,18.25,0,32,5,1.61,12,0.15,0.07,-0.03,,0.14,0.32
Casper Ludvig Widell,Excelsior,Eredivisie,2025/2026,2711,Right Centre Back,Sweden,23,04/05/03,0,0,0.03,0.09,0.33,0,10,0,,0,0,0.02,0.23,0,0.02,0.23,0,0,0,0,0.05,0.56,-0.05,0.03,0.03,0,100,0.27,0,0.07,0.17,0.93,0.73,5.08,4.26,8.77,4.38,0.07,4.55,24.09,2.89,13.45,1,1.93,71,0.69,1.42,0.8,58,0.4,67,3.12,0.03,7.01,5.96,3.25,1.36,0.63,29.45,1.36,19,0.53,39,0.07,0,0,46.75,81,5.81,15,66,6.41,7.54,17,72,-9,37.92,3.12,0.42,0.43,30.41,99,4.63,3.62,0.13,0.13,0,0.1,1.06,1.2,0.03,25,0.03,50,0.13,26,70,4,45,52,3,25.73,23.72,0.96,100,-2.01,24.76,23.83,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,8,3.22,24,0.07,0.03,0.1,-0.03,,0.17
Kayne van Oevelen,FC Volendam,Eredivisie,2025/2026,2707,Goalkeeper,Netherlands,22,06/08/03,0,0,0,0.09,0.03,0,0,0,,0,0,0.01,0.07,0,0,0.03,0,0.01,0.03,0,0.01,0.1,-0.01,0.03,0.03,0,100,0.53,0,0,0,0,0,0.03,0.01,0.1,0.03,0,8.78,2.59,0,4.55,0,0,,0,0,0,,0,0,0,0.07,0.1,0.11,0.07,0,0,6.08,0,0,0,,0.03,0,0,35.01,59,8.84,12,33,8.74,18.25,27,49,-10,11.44,2.56,0.18,0.18,28.16,100,4.63,1.33,0.17,0.1,0.07,0,0.07,0.17,0.07,0,0,,0,59,41,0,90,10,0,47.96,51.83,0.69,73,3.86,32.97,37.61,1.4,1.47,0.07,73,72,1,1.58,5.19,31,16.52,1.55,0.07,0.07,17.47,5,30,5,1.75,15,0.21,0.09,0,,-0.01,0.29
Thijmen Blokzijl,FC Groningen,Eredivisie,2025/2026,2697,Right Centre Back,Netherlands,21,24/02/05,0.03,0.03,0.02,0.06,0.33,10,10,0,,0.03,0.03,0.02,0.23,0.03,0.02,0.2,0,0.01,0.03,0.07,0.04,0.57,0.02,0.17,0.13,0.03,80,0.6,0,0.1,0.17,1.13,1.12,3.94,3.63,10.01,4.31,0.07,4.31,29.73,3.44,13.52,1,2.14,83,1.06,2.17,0.73,69,0.2,52,2.64,0.07,8.34,8.13,2.87,1.27,0.57,36.82,2.67,32,0.63,50,0.1,0,0,53.5,88,3.67,12,76,4.87,3.9,15,71,-17,40.76,4.31,0.48,0.48,38.98,99,5.66,5.64,0.4,0.37,0.03,0,0.27,0.63,0.07,0,0,0,0.07,25,71,4,36,62,2,20.89,20.86,0.99,102,-0.03,20.65,21.25,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,10,4.79,27,0.04,0.06,0.09,0.01,,0.19
Joris Kramer,Go Ahead Eagles,Eredivisie,2025/2026,2661,Left Centre Back,Netherlands,29,01/08/96,0.03,0.03,0.06,0.11,0.51,7,20,0,,0.06,0.1,0.04,0.51,0.1,0.04,0.51,0,0,0,0.14,0.09,1.01,0.04,0.24,0.24,0,100,0.34,0,0.27,0.1,0.91,0.82,5.88,5.2,8.32,3.72,0.07,4.13,26.32,2.77,11.67,0.91,1.83,73,0.9,1.72,0.54,53,0.34,63,2.27,0.03,6.87,6.85,2.57,1.32,0.61,38.3,2.16,32,0.68,51,0.03,0,0,57.29,87,5.58,78,63,7.27,7.41,14,78,-9,38.71,5.28,0.45,0.47,44.68,99,4.75,6.93,0.57,0.57,0,0.03,1.52,2.1,0.03,18,0.1,23,0.14,22,73,5,33,64,3,22.58,22.04,0.95,100,-0.54,21.52,22.08,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,8,4.31,32,0.04,0.06,0.18,-0.02,,0.27
Timon Wellenreuther,Feyenoord,Eredivisie,2025/2026,2642,Goalkeeper,Germany,30,02/12/95,0,0,0,,0,,,0,,0,0,0.01,0.07,0,0.01,0.07,0,0,0,0,0.01,0.07,-0.01,0.03,0,0.03,0,0.37,0,0,0.07,0,0,0.03,0.05,0.03,0,0,5.28,3.16,0.07,4.39,0,0,,0,0,0.03,100,0,,0,0.03,0,0,0,0,0,,0,,0,,0.17,0,0,32.67,72,8.45,19,45,5.28,13.52,23,65,-7,14.97,1.6,0.34,0.34,26.98,100,4.99,1.02,0.03,0.03,0,0,0,0.03,0.03,0,0,,0,47,53,0,80,20,0,38.7,41.12,0.77,76,2.42,29.96,31.14,1.26,1.13,-0.13,65,68,-4,0.96,3.58,36,9.85,1.65,0.1,0.1,26.34,2,26,7,1.99,11,0.11,0.08,-0.01,,-0.19,-0.01
