Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
A. Sutton,Carolina Core,Carolina Core,GK,25,2377,0,0,0,0.26,United States,1.62,0.08,0,0.32,87.5,0,0,0,1.62,1.9,0,1,0.04,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0.16,75,0,0,0,22.38,0.28,0.2,30.53,82.51,14.79,66.04,0,0,14.79,98.13,10.16,53.31,32.02,50.35,0.01,0.04,0,0,0,0,0.04,3.56,41.11,0.24,16.67,0.63,43.75,0,0,6.96,59.09,33,1.3,90,3.56,5,63.33,24.9,0.98,-8.1,-0.32,0,1.7,0.32
D. Chica,Carolina Core,Carolina Core,"RCB, CB",23,2308,0,0.76,1,0.12,United States,8.69,7.1,72.99,3.06,52,0.12,0.14,0.29,3.38,3.98,1.1,4,0.16,0,0,0.77,0,0,0,0.03,0,0,12,0.49,50,0,0.04,0.12,33.33,0.65,75,2.85,57.14,0.37,0.94,0.16,28.95,0.86,1.1,40.7,88.68,15.05,73.98,4.61,98.23,17.45,98.13,4.57,51.79,21.92,42.65,0,0.08,0.04,0.04,0,0,0.12,5.14,70.63,0.41,50,0.12,66.67,0.04,0.04,6.85,67.86,0,,0,,0,0,0,0,,,2.2,,
F. Sar-Sar Cairo,Chattanooga,Chattanooga,"RCB, LCB",26,2272,1,1.51,0,0.77,United States,9.32,5.84,65.96,2.53,55.74,0.58,0.64,0.58,4.89,5.38,0.66,5,0.2,0,0,0.17,0.04,1,0.04,0.06,1,0.04,8,0.33,25,12.5,0,0.08,50,0.08,50,1.04,24,0.99,0.66,0.04,25.9,0.25,0.25,38.66,87.57,14.46,75.93,2.57,98.39,18.65,97.33,3.19,51.95,21.59,35.98,0.03,0.21,0,0.04,0,0,0.04,3.36,74.07,0.25,50,0.17,0,0.17,0.04,6.13,57.43,0,,0,,0,0,0,0,,,1.57,,
E. Jakupović,Chattanooga,Chattanooga,GK,40,2272,0,0,0,0,Bosnia and Herzegovina,2.69,0.08,100,0.29,85.71,0.04,0.05,0,2.57,2.83,0,2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,100,0,0,0,17.82,0.17,0.21,26.56,84.24,12.93,69.23,0,0,12.68,98.69,9.78,61.44,33.61,50.93,0,0,0,0,0,0,0.04,4.81,55.17,0.5,16.67,0.37,44.44,0.08,0,6.75,77.3,33,1.37,124,5.14,6,73.39,38.27,1.59,5.27,0.218,0,1.04,0.29
T. Reid-Brown,Orlando City B,Orlando City B,LB,19,2265,2,0.68,0,0.42,United States,7.95,6.32,64.15,1.23,54.84,0.36,0.45,0.36,3.54,4.43,0.52,5,0.2,0,0,1.39,0.08,2,0.08,0.03,0,0,8,0.32,50,25,0,0.83,23.81,2.15,48.15,6.79,45.03,0.4,1.43,0.24,32.34,0.6,1.55,39.97,86.38,13.67,77.03,6.48,95.71,12.64,90.88,2.46,46.77,17.89,36.45,0.02,0.08,0,0.04,0.08,0,0.04,4.13,68.27,0.99,28,0.2,20,0.16,0.2,5.52,63.31,0,,0,,0,0,0,0,,,0.44,,
C. Cilley,St. Louis City II,St. Louis City II,"LB, LCB",24,2226,2,1.48,1,1.74,United States,8.45,7.4,57.92,3.15,48.72,0.4,0.63,0.28,3.76,5.81,1.74,4,0.16,0,0,1.33,0.08,2,0.08,0.06,0,0,17,0.69,47.06,11.765,0.04,1.17,20.69,1.37,52.94,3.6,48.31,1.05,1.66,0.24,36.31,0.97,0.77,49.41,85.68,18.32,75.72,5.9,97.95,19.41,92.29,4.45,51.82,20.12,38.7,0.07,0.49,0.04,0,0.04,100,0.36,6.39,72.15,2.1,32.69,0.4,30,0.65,0.32,9.02,77.58,0,,0,,0,0,0,0,,,1.54,,
M. O'Neill,Vancouver Whitecaps II,Vancouver Whitecaps II,"RCB, LCB",23,2218,6,3.59,1,0.63,United States,10.55,5.56,62.77,3.45,61.18,0.45,0.48,1.18,6.61,7.17,1.14,4,0.16,0,0,1.3,0.24,6,0.24,0.15,3,0.12,24,0.97,54.17,25,0.04,0.12,33.33,1.06,69.23,2.52,59.68,1.46,1.91,0.28,32.75,0.37,1.01,46.79,89.51,19.52,82.74,3,95.95,21.42,96.02,7.43,70.49,22.45,44.24,0.03,0.12,0.08,0,0.04,0,0.08,6.82,75,0.69,41.18,0.53,46.15,0.28,0.04,8.03,76.77,0,,0,,0,0,0,0,,,1.99,,
N. Pariano,Philadelphia Union,Philadelphia Union II,"LCMF, RCMF, RB",22,2204,4,3.34,0,2.69,United States,7.23,5.31,64.62,1.14,42.86,0.08,0.11,0.08,3.72,4.95,0.78,4,0.16,0,0,1.88,0.16,2,0.08,0.14,0,0,25,1.02,32,16,0,1.55,50,1.06,65.38,3.35,51.22,0.61,1.39,0.29,28.26,0.2,0.98,44.1,79.72,18.78,68.26,5.39,95.45,13.92,88.56,5.59,51.82,19.19,34.36,0.11,0.82,0.04,0.08,0.12,66.67,0.37,9.76,70.29,3.06,58.67,0.98,33.33,0.98,0.82,10.29,80.56,0,,0,,0,0,0,0,,,0.65,,
G. Mikina,St. Louis City II,St. Louis City II,RCB,24,2190,3,3.6,0,0.28,Canada,7.97,5.26,63.28,3.21,62.82,0.25,0.37,0.74,4.4,6.65,1.36,8,0.33,0,0,0.66,0.12,3,0.12,0.15,0,0,17,0.7,47.06,17.647,0,0.25,33.33,0.53,46.15,1.44,45.71,1.07,0.78,0.08,36.41,0.25,1.11,51.33,88.39,22.11,81.23,4.36,99.06,21.25,94,6.08,61.49,22.27,43.68,0.01,0.12,0.04,0,0,0,0,7.23,70.45,0.82,40,0.45,18.18,0.25,0.12,10.6,78.29,0,,0,,0,0,0,0,,,3.25,,
J. Juarez,Carolina Core,Carolina Core,"LWB, LB",22,2168,1,1.54,0,1.78,United States,5.14,4.57,67.62,0.57,38.46,0.04,0.05,0.09,2,2.35,0.48,2,0.08,0,0,4.57,0.04,1,0.04,0.07,0,0,22,0.96,54.55,4.545,0,2.66,34.43,4.53,69.23,7.97,56.28,2.13,2.79,0.35,25.99,3.22,1.48,33.13,83.97,9.32,74.3,7.88,96.69,10.75,85.02,2.96,64.71,19.06,31.43,0.08,0.74,0.09,0,0.09,0,0.44,3.66,76.19,2.48,49.12,0.52,50,0.87,1.04,6.53,76,0,,0,,0,0,0,0,,,0.35,,
