Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
E. Chanis,CD Universitario,CD Universitario,"RCB, LCB",26,1985,2,0.96,1,0.57,Panama,8.39,5.44,69.17,3.9,56.98,0.63,0.94,0.5,3.99,5.89,0.73,4,0.18,0,0,0.36,0.09,2,0.09,0.04,1,0.05,20,0.91,20,10,0.05,0.05,0,0.18,100,0.86,63.16,0.82,0.32,0.05,19.27,0.41,0.23,32.78,84.51,14.96,76.06,1.86,95.12,14.06,94.19,7.75,66.67,26.09,43.08,0.03,0.14,0,0,0,0,0.05,4.08,60,0.45,40,0.18,75,0.23,0,8.3,72.68,0,,0,,0,0,0,0,,,1.5,,
A. Machado,Alianza,Alianza,"RCB, LCB",40,1971,0,0.08,0,0.85,Panama,7.85,4.02,68.18,3.74,56.1,0.23,0.3,0.55,4.89,6.39,0.59,5,0.23,0,0,0.23,0,0,0,0,0,0,2,0.09,0,0,0,0.37,62.5,0,0,0.68,26.67,0.09,0.18,0,12.56,0.14,0.37,26.21,79.09,14.98,70.12,1,95.45,9,92.89,6.53,60.14,24.85,35.46,0.04,0.91,0.05,0,0,0,0.09,3.84,64.29,0.27,50,0.18,50,0.05,0.18,7.53,70.91,0,,0,,0,0,0,0,,,0.78,,
J. Guerra,Tauro,Tauro,GK,30,1964,0,0,0,0,Panama,1.51,0.09,50,0.32,85.71,0,0,0,1.47,2.25,0.05,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,100,0,0,0,13.56,0.23,0.14,22.82,88.35,11.73,80.08,0,0,10.59,97.4,6.69,63.7,32.14,51.83,0,0,0,0,0,0,0,2.98,66.15,0.05,0,0.27,66.67,0,0,5.27,79.13,24,1.1,99,4.54,4,75.76,28.74,1.32,4.74,0.217,0,1.28,0.32
Rodrigo Tello,Sporting San Miguelito,Sporting San Miguelito,"DMF, RCMF, RDMF",22,1961,4,1.85,1,0.88,Panama,6.15,4.86,64.15,2.43,41.51,0.14,0.21,0.28,2.89,4.32,1.01,5,0.23,0,0,1.42,0.18,4,0.18,0.08,2,0.09,29,1.33,34.48,13.793,0.05,0.6,38.46,1.06,65.22,5.37,47.86,0.41,1.15,0.05,22.86,0.37,1.47,35.25,75.91,16.98,65.41,2.34,86.27,11.06,88.38,7.76,47.93,21.37,37.92,0.04,0.5,0,0,0.32,14.29,0.37,9.64,60.48,2.52,43.64,1.84,32.5,0.87,0.23,8.9,81.96,0,,0,,0,0,0,0,,,0.18,,
M. De Leon,Sporting San Miguelito,Sporting San Miguelito,GK,27,1927,0,0,0,0,Panama,3.27,0.19,25,1.35,93.1,0.05,0.07,0,3.18,4.59,0.09,2,0.09,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0.47,70,0,0,0,8.45,0.09,0.61,18.73,86.03,9.06,74.74,0,0,8.92,96.34,5.6,60,33.87,49.6,0,0,0,0,0,0,0,2.9,62.9,0.14,0,0.09,50,0,0,4.48,78.13,15,0.7,58,2.71,11,74.14,13.03,0.61,-1.97,-0.092,0,2.66,1.35
J. Vargas,Tauro,Tauro,"LCB, RCB, CB",30,1913,0,0.74,0,0.02,Panama,8.28,3.81,72.84,6.02,61.72,0.09,0.13,0.52,5.41,7.57,0.61,0,0,0,0,0.38,0,0,0,0.03,0,0,7,0.33,42.86,0,0,0,0,0.24,100,0.99,57.14,0.42,0.19,0,22.96,0.19,0.47,38.01,86.51,19.01,77.72,1.74,86.49,15.1,97.51,6.4,58.09,23.2,37.53,0,0.05,0,0.09,0,0,0,4.09,60.92,0.28,33.33,0.24,40,0.09,0,7.81,72.89,0,,0,,0,0,0,0,,,1.18,,
R. Rodríguez,Tauro,Tauro,"RCB, RB",26,1907,0,1.35,0,0.03,Panama,8.26,5.66,61.67,3.21,45.59,0.24,0.33,0.57,4.53,6.34,0.94,3,0.14,0,0,0.38,0,0,0,0.06,0,0,7,0.33,42.86,0,0,0.33,42.86,0.19,50,1.75,40.54,0.47,0.85,0,24.35,0.61,0.71,37.57,83.79,16.8,73.6,2.69,100,14.96,93.69,5.95,49.21,21.48,34.83,0,0.09,0,0,0,0,0,4.44,50,0.66,35.71,0.42,22.22,0.14,0.14,7.41,70.06,0,,0,,0,0,0,0,,,1.46,,
J. Emmons,Veraguas,Veraguas,"LCB, RCB",23,1877,2,0.78,0,0,Panama,10.02,7.19,64,4.32,56.67,0.1,0.13,0.96,5.32,7.15,1.49,6,0.29,0,0,0.14,0.1,2,0.1,0.04,2,0.1,9,0.43,22.22,22.222,0,0,0,0.19,25,1.34,46.43,0.53,0.14,0,10.45,0.29,0.77,24.07,80.08,13.71,73.43,0.77,87.5,7,90.41,5.08,54.72,20.93,32.9,0,0,0,0,0,0,0,2.49,55.77,0.29,0,0.1,0,0,0,5.42,58.41,0,,0,,0,0,0,0,,,0.58,,
Jhojan Amaya,Tauro,Tauro,CF,19,1859,6,5.87,2,2.19,Colombia,2.81,2.13,56.82,4.21,40.23,0.05,0.07,0.15,1.55,2.23,0.77,4,0.19,0,0,1.98,0.29,6,0.29,0.28,2,0.1,54,2.61,37.04,11.111,0.1,0.82,41.18,1.07,50,6.25,29.46,2.52,0.92,0.05,17.67,1.79,0.92,22.08,83.77,5.08,69.52,6.63,92.7,6.39,84.85,1.36,67.86,16.75,28.4,0.11,1.02,0.1,0.05,0.15,100,0.48,2.76,73.68,1.55,53.13,0.19,25,0.97,0.39,3.05,79.37,0,,0,,0,0,0,0,,,0.19,,
G. Torres,Tauro,Tauro,CF,36,1858,5,4.92,3,3.25,Panama,2.23,3.15,41.54,1.45,33.33,0.05,0.07,0.05,0.87,1.24,1.7,5,0.24,0,0,1.89,0.24,4,0.19,0.24,0,0,32,1.55,43.75,15.625,0.15,1.02,28.57,1.55,56.25,7.07,34.25,1.89,0.53,0.05,13.71,2.33,1.7,17.73,69.4,5.28,56.88,2.86,86.44,6.2,72.66,1.84,50,18.42,32.04,0.16,1.45,0.1,0,0.1,50,0.63,3.2,60.61,1.84,39.47,0.44,44.44,1.02,0.24,2.81,75.86,0,,0,,0,0,0,0,,,0,,
