Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Aarón Spetale,Atlético Tembetary ,"División Profesional, Paraguay",2025,1235,13.72,17,Centre Forward,Left Centre Forward,Man,Argentina,25,27/05/00,187,0.22,0.15,0.22,0.11,1.97,7,30,3,50,0.21,0,0.02,0.58,0,0.02,0.58,0,0,0,0.15,0.24,2.55,-0.1,1.02,0.36,0.66,36,1.68,0,1.75,4.3,0.51,0.45,0.87,0.81,30.9,14.14,0.01,5.17,63.83,2.62,4.37,0.66,1.17,47,0.58,1.03,1.68,31,0.73,34,3.5,0,28.57,25.26,4.52,5.32,0.51,65.86,23.25,81,5.03,95,0.22,0,0,20.7,69,0.58,11,53,1.09,0.87,39,61,-8,60.01,1.31,0.27,0.37,19.17,75,4.44,5.9,0.15,0.15,0,0.29,5.98,6.12,0,50,0.22,21,0.44,11,68,21,6,73,21,14.42,12.82,1,105,-1.61,14.35,13.52,0,0,0,0,0,,0,0,,0,0,0,0,0,0,36,12,2.14,16,-0.08,-0.04,-0.01,-0.02,,-0.15
Aarón Troche,Libertad,"División Profesional, Paraguay",2025,371,4.12,5,Right Back,,Man,Paraguay,21,02/05/04,,0,0,0,,0,,,0,,0,0,0.04,0.73,0,0.04,0.73,0,0,0,0,0.04,0.73,-0.04,0.48,0.48,0,100,0.73,0,0.73,0.48,1.45,1.73,3.39,3.75,21.82,10.91,0.02,8.49,29.71,1.7,10.43,2.91,4.36,67,3.56,5.28,0.73,40,1.45,43,0.73,0.24,18.18,20.87,5.82,2.91,1.21,33.28,3.64,20,1.45,50,0,0,0,31.28,63,1.21,18,23,4.12,4.61,18,52,-12,44.51,0.97,0.22,0.23,21.34,95,2.69,4.36,0.97,0.73,0.24,0.24,0.48,1.21,0,75,0.97,44,0.24,28,62,11,6,83,11,21.79,16.4,0.87,103,-5.38,19.01,16.9,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,9,2.64,22,0.08,0.03,0.02,,,0.13
Abel Luciatti,Cerro Porteño,"División Profesional, Paraguay",2025,208,2.31,2,Left Centre Back,,Man,Argentina,32,17/03/93,180,0,0,0.08,0.09,0.87,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.08,0.87,-0.08,0.43,0,0.43,0,0,0,0,0.43,0,0,3.47,5.43,3.47,2.6,0,2.6,15.97,1.3,8.67,0.87,0.87,100,1.36,1.36,0,100,0,50,1.73,0,2.6,4.07,0.87,1.73,0.43,20.25,0,0,0,0,0,0,0,65.02,89,5.2,83,60,6.07,6.07,17,73,-16,38.05,3.9,0.46,0.46,55.92,99,4.4,4.33,0,0,0,0,1.3,1.3,0,,0,,0,24,73,3,40,60,0,22.7,29.85,0.92,81,7.15,20.99,24.22,0,0,0,0,0,,0,0,,0,0,0,0,0,0,14,8,2.77,27,0.04,0.11,-0.03,-0.06,,0.06
Adrián Alcaraz Torales,Olimpia,"División Profesional, Paraguay",2025,347,3.85,5,Centre Forward,Left Centre Forward,Man,Paraguay,26,27/09/99,181,0.26,0.26,0.22,0.06,3.9,7,47,7,,0.43,0,0.03,1.04,0,0.03,1.04,0,0,0,0.26,0.25,4.93,0.01,1.04,0.52,0.52,50,0.78,0,2.08,1.82,0,0,0,0,18.18,4.67,0.05,3.12,63.62,3.9,4.93,0.52,0.52,50,0.92,0.92,2.08,33,0.52,61,5.97,0,15.58,26.94,1.82,5.71,0.26,63.59,11.95,77,5.19,91,0,0,0,18.7,76,0.26,12,100,0,0.26,37,71,-5,63.16,1.82,0.61,0.67,15.06,76,6.11,7.53,0.26,0.26,0,0.52,9.35,9.61,0.26,0,0,0,1.56,11,72,17,7,69,24,12.52,11.71,0.96,98,-0.8,12.03,11.49,0,0,0,0,0,,0,0,,0,0,0,0,0,0,32,14,4.57,25,-0.1,0.02,0.08,0.03,,0.03
Adrián Alcaraz Torales,Libertad,"División Profesional, Paraguay",2025,595,6.61,15,Left Midfielder,Right Wing,Man,Paraguay,26,27/09/99,181,0,0,0.27,0.11,2.42,0,31,4,,0.1,0.3,0.17,1.97,0.3,0.17,1.97,0,0,0,0.3,0.44,4.39,-0.14,2.12,0.76,1.36,36,2.27,0,1.36,3.48,0.76,0.51,0.91,0.98,21.18,10.44,0.01,3.18,47.92,2.87,5.75,2.12,2.87,61,2.5,3.02,1.82,50,1.36,70,5.75,0,17.25,19.47,2.57,3.18,0.15,51.06,9.23,54,2.72,86,0.15,0,0,24.21,65,0.61,18,50,1.36,0.76,37,58,-7,61.11,2.57,0.47,0.81,20.12,79,6.54,8.32,1.06,1.06,0,1.06,7.26,8.32,0.15,14,0.45,38,1.21,11,79,11,7,82,11,16.08,17.37,0.98,92,1.29,15.81,16.02,0,0,0,0,0,,0,0,,0,0,0,0,0,0,37,9,4.52,38,0.02,0.06,0.01,-0.04,,0.05
Agustín Da Silveira Muñoa,Sportivo Trinidense,"División Profesional, Paraguay",2025,1026,11.4,12,Right Centre Back,Left Centre Back,Man,Uruguay,25,10/12/00,180,0,0,0.03,0.07,0.44,0,20,0,,0,0.09,0.01,0.26,0.09,0.01,0.26,0,0,0,0.09,0.04,0.7,0.05,0.26,0.18,0.09,67,0.7,0,0.18,0.35,1.93,1.85,6.49,5.46,12.28,5.26,0.03,4.83,25.05,1.23,9.21,1.49,3.42,68,1.19,3.04,0.97,50,0.7,64,3.33,0,10,8.32,2.02,1.23,0,28.28,0.88,9,0.44,36,0.44,0.09,0.09,25.18,77,2.72,6,52,7.28,4.48,18,72,-6,34.98,2.28,0.16,0.17,17.81,98,5.46,2.28,0.18,0.09,0.09,0,0.88,0.97,0,50,0.09,100,0,38,59,3,58,38,4,25.22,18.94,0.93,101,-6.28,23.51,19.21,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,13,2.62,16,0.05,0.04,0.01,-0.02,,0.08
Agustín Manzur,Club Guaraní,"División Profesional, Paraguay",2025,2023,22.48,23,Right Defensive Midfielder,Left Centre Midfielder,Man,Palestine,25,28/09/00,169,0.09,0.09,0.03,0.02,1.51,6,26,1,0,0.04,0.09,0.06,0.85,0.04,0.04,0.53,0.04,0.02,0.31,0.18,0.09,2.36,0.09,1.38,0.76,0.62,55,1.74,0,1.02,1.6,0.67,0.58,0.93,0.77,19.27,10.01,0.02,4.98,44.17,3.34,8.63,0.98,1.65,54,0.84,1.42,1.16,30,0.85,36,0.4,0,17.13,15.51,3.96,4.36,0.76,45.49,6.85,40,2.76,63,0.09,0,0,46.85,77,4.4,4,45,2.09,8.54,19,76,0,49.4,6.01,0.37,0.44,41.69,94,3.75,8.63,1.74,0.85,0.89,0,0.49,1.33,0.27,5,0.09,10,0.04,23,68,9,32,61,7,22.38,19.16,0.89,92,-3.22,19.84,17.58,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,12,6,48,0.07,0.07,0.02,-0.04,,0.12
Alan Benítez,Cerro Porteño,"División Profesional, Paraguay",2025,1608,17.86,18,Right Back,Right Wing Back,Man,Paraguay,31,24/01/94,177,0.17,0.17,0.07,0.08,0.9,19,44,1,,0.13,0.22,0.14,1.23,0.22,0.14,1.23,0,0,0,0.39,0.21,2.13,0.18,1.23,0.56,0.67,45,0.28,0,0.84,1.29,0.95,1.29,2.18,2.85,12.93,5.65,0.01,3.81,37.28,3.53,9.07,1.96,2.91,74,2.7,3.99,0.56,65,0.67,47,0.9,0.06,10.41,14.39,2.46,2.24,0.28,42.39,3.64,35,1.74,78,0.22,0,0,38.62,81,2.46,4,63,2.8,3.3,14,72,-9,54.53,3.86,0.46,0.55,34.31,94,4.33,11.7,1.01,0.95,0.06,0.62,2.97,3.92,0.06,33,0.9,48,0.62,21,65,14,14,74,12,19.15,17.51,0.95,103,-1.64,18.23,18.01,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,11,6.15,34,0.17,0.07,0.05,0.01,,0.29
Alan Cano,Sportivo Trinidense,"División Profesional, Paraguay",2025,25,0.27,1,Centre Forward,,Man,Paraguay,20,17/04/05,182,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3.65,0,0,3.65,2,54.8,18.27,0,3.65,47.83,3.65,7.31,7.31,7.31,100,4.01,4.01,7.31,100,0,0,0,0,40.19,22.04,3.65,14.61,0,49.88,18.27,45,10.96,75,3.65,0,0,21.92,29,0,50,,3.65,0,14,100,71,54.14,0,0,0,18.27,80,1.56,0,0,0,0,0,0,0,0,,0,,0,29,43,29,,,,11.19,9.75,1.12,100,-1.43,12.51,9.75,0,0,0,0,0,,0,0,,0,0,0,0,0,0,86,14,,,-0.15,-0.05,-0.01,,,-0.2
Alan Gabriel Paredes González,Atlético Tembetary ,"División Profesional, Paraguay",2025,1046,11.62,15,Left Back,,Man,Paraguay,24,24/05/01,175,0.09,0.09,0.11,0.13,0.86,10,40,1,,0.14,0,0.04,0.6,0,0.04,0.6,0,0,0,0.09,0.15,1.46,-0.07,0.69,0.17,0.52,25,0.52,0,0.26,1.12,0.77,0.76,1.98,1.96,11.45,5.25,0.02,3.53,38.64,3.44,9.47,0.86,1.64,56,0.79,1.56,0.52,33,0.69,42,1.12,0,10.07,9.66,2.07,2.58,0.26,47.53,4.39,44,2.32,90,0,0,0,27.37,71,1.2,83,31,2.67,3.18,12,64,-7,52.67,4.39,0.27,0.3,21.17,93,4.82,7.4,1.46,0.86,0.6,0.26,1.89,2.75,0,35,0.77,35,0.26,35,58,7,34,58,8,20.4,19.93,0.88,94,-0.47,18.04,18.69,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,14,3.7,26,0.13,0.03,0.09,0.03,,0.28
