Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Age,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
A.Balbuena Otazú,Club Sportivo Luqueño,"División Profesional, Paraguay",2026,739,Left Back,Paraguay,20,09/03/06,0.12,0.12,0.03,0.12,0.24,50,50,0,,0.08,0,0,0,0,0,0,0,0,0,0.12,0.03,0.24,0.09,0.61,0.24,0.37,40,0.85,0.12,0.97,0.97,0.61,0.4,2.56,2.29,14.62,6.58,0.04,6.82,27.57,9.63,2.44,2.07,2.68,85,1.84,2.24,1.34,50,0.37,58,1.71,0,11.21,10.61,5,2.68,0.85,31.81,1.95,17,0.73,27,0.24,0,0.12,33.14,69,2.32,88,35,4.14,5.12,17,48,-21,43.23,3.17,0.15,0.17,25.59,94,4.98,3.53,0.49,0.49,0,0,0.49,0.97,0,25,0.12,8,0,34,61,5,28,66,7,23.39,22.54,0.87,87,-0.85,20.41,19.57,0,0,0,0,0,,0,0,,0,0,0,0,0,0,30,8,3.14,22,0.03,0.14,0.03,0.03,,0.23
Abel Paredes,Sportivo Ameliano,"División Profesional, Paraguay",2026,2622,Left Back,Paraguay,29,26/05/97,0.07,0.03,0.03,0.02,1.34,3,21,1,100,0.03,0.07,0.09,1.17,0.03,0.08,0.96,0.03,0.01,0.21,0.1,0.12,2.51,-0.02,0.72,0.45,0.27,62,0.21,0,0.69,0.72,1.17,1.21,2.37,2.67,12.42,5.9,0.03,5.35,32.57,10.06,2.47,1.24,2.4,75,1.32,2.53,0.65,37,0.41,44,0.82,0,10.54,11.44,4.08,2.44,0.96,36.62,2.68,25,1.44,59,0.14,0,0,40.39,74,3.53,82,44,3.36,7.1,13,61,-13,48.57,4.74,0.31,0.37,32.88,96,4.1,7.96,1.72,1.17,0.55,0.1,0.65,1.82,0,46,0.93,38,0.14,33,57,10,31,57,12,22.54,19.28,0.89,89,-3.26,20.16,17.21,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,9,5.63,38,0.2,0.06,0.06,-0.04,,0.29
Adrián Alcaraz,Olimpia,"División Profesional, Paraguay",2026,1122,Centre Forward,Paraguay,27,27/09/99,0.56,0.4,0.52,0.13,3.93,10,33,8,100,0.51,0.08,0.1,1.04,0.08,0.1,1.04,0,0,0,0.48,0.62,4.97,-0.14,2.17,1.04,1.12,48,1.77,0,1.93,2.89,0.16,0.23,0.64,0.92,17.01,6.5,0.03,4.01,63.25,4.89,3.85,0.4,0.56,71,0.44,0.68,2.09,0,0.16,53,4.65,0,14.52,16.43,3.37,2.97,0.72,66.75,11.79,81,2.73,92,0.32,0,0,15.89,64,0.24,15,50,0.8,0.32,40,52,-12,66.28,1.68,0.49,0.7,15.97,73,6.71,6.34,0.64,0.64,0,0.48,9.07,9.71,0,13,0.24,38,0.96,11,70,19,10,72,18,13.85,12.66,0.99,97,-1.19,13.65,12.25,0,0,0,0,0,,0,0,,0,0,0,0,0,0,38,10,4.2,24,-0.01,0.07,0.01,0.04,,0.11
Agustín Da Silveira Muñoa,Sportivo Trinidense,"División Profesional, Paraguay",2026,2312,Right Centre Back,Uruguay,26,10/12/00,0.04,0.04,0.02,0.07,0.27,14,57,0,,0.03,0,0,0.12,0,0,0.12,0,0,0,0.04,0.02,0.39,0.02,0.62,0.43,0.19,69,0.7,0,0.31,0.35,1.36,0.87,5.64,3.79,10.35,5.37,0.07,5.96,24.31,11.17,1.87,1.56,2.92,73,1.09,1.96,0.74,48,0.58,50,2.69,0.08,8.14,5.83,3.46,1.25,0.58,30.21,1.01,12,0.35,28,0.23,0,0,31.26,74,2.72,5,42,6.81,5.26,16,55,-19,37,1.91,0.17,0.18,22.81,98,4.46,1.99,0.12,0.12,0,0.04,0.7,0.82,0,33,0.04,50,0.08,31,65,4,37,59,4,25.17,25.22,0.89,88,0.05,22.36,22.17,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,9,2.99,20,0.02,0.04,0.13,0.02,,0.21
Agustín Manzur,Club Guaraní,"División Profesional, Paraguay",2026,722,Right Centre Midfielder,Palestine,26,28/09/00,0,0,0.03,0.02,1.37,0,9,1,,0,0,0.11,2,0,0.03,1.12,0,0.08,0.87,0,0.14,3.37,-0.14,1,0.5,0.5,50,1.37,0.12,0.87,1.12,0.87,0.99,0.75,0.67,13.1,5.74,0.01,3.62,50.01,9.35,3.99,1.12,2,56,1.02,2,1.62,33,0.87,25,0.12,0,10.35,10.74,2.12,3.99,1.25,54.19,6.74,65,2.99,75,0.25,0.12,0,47.64,75,7.23,10,53,1.62,12.85,11,71,-4,50.3,6.36,0.31,0.35,40.53,95,4.51,9.6,2.87,1.5,1.37,0,0.75,2.25,0,9,0.62,38,0.12,23,64,13,44,52,4,24.3,20.04,0.89,99,-4.26,21.53,19.82,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,8,6.62,47,0.05,0.05,0.02,-0.04,,0.07
Agustín Manzur,Libertad,"División Profesional, Paraguay",2026,334,Centre Attacking Midfielder,Palestine,26,28/09/00,0,0,0.1,0.05,2.16,0,0,2,,0,0,0.15,1.35,0,0.1,0.81,0,0.05,0.54,0,0.25,3.51,-0.25,1.08,0.54,0.54,50,1.62,0,1.08,2.97,0.27,0.17,0.27,0.39,15.38,6.75,0,7.56,62.73,5.4,3.51,0.54,0.81,67,0.77,0.94,0.81,0,0.27,0,0,0,14.03,18.24,7.29,5.4,2.97,66.52,10.52,75,4.05,75,0.27,0,0,43.98,77,4.86,6,56,0.54,8.36,12,77,0,56.79,6.75,0.59,0.74,40.21,93,3.7,14.03,1.62,0.54,1.08,0.27,2.43,2.97,0,0,0,0,0.27,19,65,16,25,58,17,20.43,16.2,0.92,110,-4.23,18.89,17.83,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,9,6.88,41,-0.04,0.03,-0.01,-0.1,,-0.11
Alan Benítez,Libertad,"División Profesional, Paraguay",2026,1236,Right Back,Paraguay,32,24/01/94,0.15,0.15,0.09,0.15,0.58,25,63,1,,0.23,0.22,0.11,1.31,0.22,0.11,1.24,0,0,0.07,0.36,0.2,1.89,0.17,0.36,0.36,0,100,0.15,0.07,0.8,0.58,0.58,0.79,1.09,1.44,11.43,6.12,0.02,4.52,43.04,8.96,3.64,1.31,1.89,60,1.58,2.37,0.51,33,0.87,50,0.29,0,9.61,11.55,3.5,1.6,0.58,45.7,4.15,43,1.02,64,0.07,0,0,42.6,82,2.18,5,50,1.46,4.01,14,69,-13,54.66,3.57,0.56,0.6,34.3,97,4.41,11.8,0.36,0.22,0.15,0.66,3.28,3.5,0.07,40,0.36,19,0.95,17,68,16,10,69,21,18.71,15.64,0.95,102,-3.06,17.68,15.91,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,12,6.44,37,0.05,0.08,0.01,0.05,,0.19
Alan Gómez,Club 2 de Mayo,"División Profesional, Paraguay",2026,1396,Right Midfielder,Paraguay,24,28/08/02,0.13,0.13,0.12,0.07,1.68,8,38,2,,0.15,0.13,0.09,1.16,0.06,0.07,0.97,0.06,0.02,0.19,0.26,0.22,2.84,0.04,2.51,1.55,0.97,62,1.29,0,1.93,3.74,0.39,0.3,0.45,0.44,15.02,7.35,0.01,4.45,53.38,5.67,2.64,0.71,1.1,42,0.68,0.99,1.1,17,0.97,39,0.84,0,13.22,12.14,3.67,3.35,1.22,54.22,7.09,54,2.45,73,0.19,0,0,26.11,72,1.74,21,53,0.9,2.84,25,65,-7,60.92,3.93,0.36,0.5,27.08,82,6.56,8.64,1.29,1.03,0.26,0.32,3.35,4.38,0.06,25,0.39,27,0.52,15,73,12,16,71,13,18.29,16.14,0.94,104,-2.15,17.22,16.73,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,11,3.66,33,-0.01,0.04,0,-0.01,,0.02
Alan Rodríguez,Olimpia,"División Profesional, Paraguay",2026,1836,Left Back,Paraguay,26,14/08/00,0.05,0.05,0.02,0.03,0.74,7,20,0,,0.01,0.15,0.13,1.86,0.15,0.1,1.32,0,0.03,0.54,0.2,0.15,2.6,0.05,0.39,0.25,0.15,63,0.83,0,0.34,0.49,0.83,1,2.5,3.44,7.89,4.56,0.01,3.82,32.01,7.26,2.75,1.27,2.11,65,1.71,2.71,0.49,52,0.69,78,1.03,0,6.18,8.02,2.3,1.81,0.74,35.93,1.52,25,0.74,41,0.05,0,0,39.66,78,4.61,89,56,3.38,7.4,10,80,1,51.53,5.05,0.42,0.49,32.65,98,3.07,10.3,2.75,1.57,1.18,0.15,0.44,2.01,0.05,48,1.47,48,0.1,28,61,11,31,57,12,22.54,19.53,0.94,101,-3.01,21.13,19.68,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,9,7.5,39,0.23,0.03,0,-0.02,,0.25
Alberto Cirilo Contrera Giménez,Sportivo Ameliano,"División Profesional, Paraguay",2026,356,Centre Attacking Midfielder,Paraguay,34,13/02/92,0.25,0,0.08,0.06,1.26,0,20,1,100,0,0,0.12,1.77,0,0.09,1.26,0,0.02,0.51,0,0.2,3.04,-0.2,0.25,0,0.25,0,1.01,0,1.52,0.51,0.25,0.35,0.51,0.6,17.71,8.85,0.05,6.83,50.58,7.84,3.79,1.01,1.26,67,1.27,1.62,1.26,0,0.51,25,0.25,0,15.43,17.99,6.32,5.31,2.53,54.51,9.61,62,4.55,86,0,0,0,39.21,69,5.57,75,58,1.01,9.11,13,79,10,54.51,6.07,0.21,0.29,32.38,94,3.66,12.9,2.28,1.77,0.51,0,1.52,3.29,0,33,0.76,43,0.25,23,64,13,31,55,14,24.12,16.84,0.91,103,-7.29,22.05,17.42,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,9,9.01,48,0.01,0.09,0.01,-0.06,,0.06
