Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
P. Aquino,Santos Laguna,Alianza Lima,"LCMF, RCMF",30,34,0,0,0,0,Peru,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,
L. Abram,Sporting Cristal,Sporting Cristal,"LCB, DMF",29,222,1,1.1,0,0,Peru,4.86,1.22,100,4.46,54.55,0,0,0.41,3.65,6.14,0,0,0,0,0,0.81,0.41,1,0.41,0.45,0,0,3,1.22,66.67,33.333,0,0,0,0,0,0.41,0,1.22,0.41,0,33.65,0.41,0,44.59,85.45,12.16,53.33,2.84,85.71,25.54,98.41,4.86,8.33,23.89,46.52,0,0,0,0,0,0,0,3.24,37.5,0.81,0,0.81,0,0,0,2.84,42.86,0,,0,,0,0,0,0,,,2.03,,
S. Peña,Alianza Lima,Alianza Lima,"RCMF, CF, LCMF",29,224,1,0.81,0,0.06,Peru,4.42,4.02,80,1.61,0,0,0,0,1.21,1.8,0.4,1,0.4,1,0.4,1.21,0.4,0,0,0.32,0,0,3,1.21,33.33,33.333,0,1.61,50,0.8,0,4.82,33.33,0.8,0,0,46.21,1.21,1.21,58.26,84.83,14.46,69.44,9.24,95.65,28.53,90.14,6.43,68.75,21.61,37.46,0.03,0.4,0,0,0,0,0.4,9.64,75,2.41,33.33,0.8,50,0,0.8,7.23,83.33,0,,0,,0,0,0,0,,,0,,
S. González,Sporting Cristal,Sporting Cristal,"RAMF, RW, RWF",26,1349,4,4.66,2,3.75,Argentina,2.94,4.4,43.94,1,33.33,0.13,0.24,0.07,0.87,1.57,1.6,4,0.27,0,0,4.4,0.27,4,0.27,0.31,1,0.07,32,2.13,37.5,12.5,0.13,5.2,28.21,3.87,50,7.67,41.74,3.74,2.07,0.4,18.35,2.87,1.2,23.68,67.04,6.2,66.67,4.67,87.14,8.87,56.39,1.2,38.89,19,30.15,0.25,1.6,0,0,0.2,100,0.6,1.93,58.62,5.27,43.04,0.2,33.33,1.53,1.47,4.67,88.57,0,,0,,0,0,0,0,,,0.07,,
M. Trauco,Alianza Lima,Alianza Lima,LB,33,1594,0,0.25,0,1.38,Peru,8.02,6.55,62.07,2.99,45.28,0.4,0.64,0.06,3.56,5.74,0.96,2,0.11,0,0,1.64,0,0,0,0.01,0,0,8,0.45,12.5,0,0,2.65,42.55,0.62,72.73,2.77,44.9,0.79,0.79,0,31.73,2.65,0.28,44.49,80.33,21.17,76,4.46,93.67,13.32,81.36,8.53,56.29,20.78,38.51,0.08,0.62,0,0,0.11,0,0.4,8.02,59.86,3.22,45.61,2.03,38.89,0.85,0.85,11.57,83.41,0,,0,,0,0,0,0,,,0.56,,
J. Lora,Sporting Cristal,Sporting Cristal,RB,24,1132,0,0.15,0,0.2,Peru,6.68,5.8,56.16,2.94,40.54,0.56,1.11,0.08,2.86,5.68,1.51,2,0.16,0,0,1.27,0,0,0,0.01,0,0,2,0.16,50,0,0,2.94,35.14,0.56,28.57,1.99,36,0.64,1.43,0.32,24.57,2.78,0.64,31.96,79.85,10.81,72.06,6.04,93.42,11.61,82.88,4.77,63.33,22.75,35.34,0.02,0.16,0,0.08,0.08,0,0.16,3.34,83.33,2.31,58.62,0.24,33.33,0.24,1.11,8.9,75.89,0,,0,,0,0,0,0,,,0.8,,
A. Santamaría,Universitario,Universitario,"CB, LCB, RCB",33,592,1,0.24,0,0.02,Peru,7.3,4.41,62.07,3.19,61.9,0.91,1.34,0.3,3.65,5.37,1.22,2,0.3,0,0,0.46,0.15,1,0.15,0.04,0,0,2,0.3,50,50,0,0.15,100,0.15,100,1.06,57.14,0.61,0.76,0.15,13.38,0.15,0.46,23.87,84.71,10.03,71.21,0.76,80,10.95,98.61,3.34,63.64,20.48,41.91,0,0.15,0,0,0,0,0.15,2.58,70.59,0.46,66.67,0.3,50,0.3,0.15,4.71,70.97,0,,0,,0,0,0,0,,,0.46,,
A. Polo,Universitario,Universitario,"RB, RWB",30,2083,1,1.18,2,5.91,Peru,5.01,3.5,59.26,0.73,41.18,0,0,0,2.94,4.44,0.43,0,0,0,0,3.11,0.04,1,0.04,0.05,0,0,28,1.21,21.43,3.571,0.09,4.15,32.29,2.77,53.13,5.23,42.15,1.99,4.06,0.56,33.74,3.59,0.39,43.03,80.12,13.26,75.9,7.78,91.11,14.04,82.15,4.8,61.26,19.58,34.42,0.26,1.81,0.13,0.13,0.04,100,0.78,6.65,77.27,3.2,37.84,0.6,42.86,0.56,1.21,9.25,83.64,0,,0,,0,0,0,0,,,0.26,,
J. Concha,Universitario,Universitario,"LCMF, RCMF",26,1551,6,2.34,6,3.79,Peru,7.66,5.4,58.06,1.1,57.89,0.41,0.6,0.23,4.12,6.07,0.41,2,0.12,0,0,3.89,0.35,6,0.35,0.14,0,0,35,2.03,40,17.143,0.35,2.26,56.41,3.02,51.92,8.88,43.79,1.22,1.16,0.12,30.23,1.16,2.38,41.2,83.52,13.52,75.54,4.87,92.86,16.65,84.67,5.69,63.27,20.74,32.36,0.22,2.32,0,0.12,0.41,57.14,1.04,9.28,76.25,4.29,52.7,1.16,45,1.22,1.22,9.05,89.74,0,,0,,0,0,0,0,,,0.06,,
A. Cantero,Alianza Lima,Alianza Lima,"AMF, CF, LAMF",27,810,2,4.62,1,0.41,Argentina,3.78,3.67,63.64,2.33,33.33,0.22,0.36,0,1.22,1.95,0.78,0,0,0,0,4.44,0.22,2,0.22,0.51,0,0,28,3.11,53.57,7.143,0.11,0.44,0,5,53.33,17.78,40,3.11,2.22,0.22,17.44,0.78,3.67,24.22,83.94,5.67,78.43,5.89,98.11,8.11,76.71,0.89,50,16.2,11.13,0.05,0.67,0.22,0,0.33,33.33,0.44,2.67,83.33,1.33,50,0.44,25,0.78,0,2.33,80.95,0,,0,,0,0,0,0,,,0,,
R. Ureña,Universitario,Universitario,"DMF, RCMF",32,1682,0,0.12,3,1.72,Chile,8.51,4.76,70.79,1.61,63.33,1.18,1.71,0.32,3.96,5.74,0.86,3,0.16,0,0,0.8,0,0,0,0.01,0,0,10,0.54,0,0,0.16,1.02,68.42,0.27,40,2.46,52.17,0.11,0.11,0,29.54,0.27,1.28,43.82,80.71,16.64,67.85,2.51,89.36,18.57,89.63,10.33,58.55,22.69,38.55,0.09,1.07,0.05,0.16,0,0,0.32,11.34,65.57,2.3,55.81,1.07,50,0.7,0.7,9.79,82.51,0,,0,,0,0,0,0,,,0.21,,
L. Guzmán,Melgar,Melgar,"RW, AMF, RAMF",25,1351,3,2.15,0,1.94,Argentina,3.73,3.33,50,1.8,22.22,0.47,0.8,0,1.6,2.74,0.8,5,0.33,0,0,4.6,0.2,3,0.2,0.14,0,0,33,2.2,42.42,9.091,0,3.13,27.66,5.2,48.72,13.06,43.37,3,2.4,0.13,21.52,2.2,2.46,27.65,76.14,7.66,67.83,5.6,92.86,8.86,72.93,0.87,38.46,16.9,15.25,0.13,1.47,0,0.07,0.33,80,0.4,3.46,71.15,3.73,50,0.4,83.33,1.47,0.8,4.33,75.38,0,,0,,0,0,0,0,,,0.07,,
M. Araujo,Sporting Cristal,Sporting Cristal,RCB,30,346,2,0.41,0,0,Peru,8.84,2.6,90,2.86,45.45,0.26,0.43,1.82,6.24,10.29,0.52,1,0.26,0,0,0.52,0.52,2,0.52,0.11,2,0.52,2,0.52,100,100,0,0,0,0,0,1.04,75,0.78,2.08,0,28.61,0.52,0.52,38.76,94.63,15.09,89.66,3.38,100,16.39,100,3.38,61.54,20.38,30.79,0,0,0,0,0,0,0,4.68,83.33,0,0,0,0,0.26,0,6.24,87.5,0,,0,,0,0,0,0,,,1.56,,
N. Quagliata,Melgar,Melgar,"LCMF, AMF",26,210,0,0.15,1,1.05,Uruguay,3,3,57.14,0.43,0,0,0,0,1.29,2.73,0,0,0,0,0,5.14,0,0,0,0.07,0,0,6,2.57,33.33,0,0.43,3,57.14,3.86,66.67,10.71,44,3,2.14,0,25.29,2.14,0.86,35.57,87.95,7.71,83.33,6.86,93.75,17.57,92.68,2.14,80,21.05,15.98,0.45,3,0,0,0,0,0.86,6,92.86,3.86,88.89,0.43,100,3.43,1.29,7.71,100,0,,0,,0,0,0,0,,,0,,
R. Garcés,Alianza Lima,Alianza Lima,LCB,29,1899,0,1.58,0,0.2,Peru,7.39,4.45,72.34,4.17,61.36,0.19,0.31,0.52,3.98,6.48,0.71,5,0.24,2,0.09,0.38,0,0,0,0.07,0,0,10,0.47,20,0,0,0,0,0.33,71.43,1.9,57.5,0.81,0.85,0.05,20.81,0.24,0.85,33.27,91.6,13.51,84.91,0.95,95,15.78,96.7,3.51,67.57,20.24,37.71,0.01,0.09,0,0,0.19,25,0.05,3.13,81.82,0.24,0,0.24,0,0.09,0,5.26,74.77,0,,0,,0,0,0,0,,,0.66,,
G. Chávez,Alianza Lima,Alianza Lima,"RCB, LCB",27,957,0,1.12,0,0.35,Peru,7.62,4.42,74.47,4.42,55.32,0.66,1.15,0.38,3.67,6.39,0.85,1,0.09,0,0,0.66,0,0,0,0.11,0,0,6,0.56,50,0,0,0.19,100,0.19,100,1.22,76.92,1.41,0.85,0,27.84,0.75,0.85,39.78,91.49,14.29,85.53,2.26,83.33,19.75,95.71,2.73,62.07,19.78,33.42,0.03,0.19,0.09,0,0,0,0,2.54,81.48,0.47,40,0.28,0,0.19,0.19,5.45,65.52,0,,0,,0,0,0,0,,,1.32,,
K. Cabrera,Melgar,Melgar,"LW, LAMF",22,1398,6,4.13,1,3.25,Japan,4.83,3.99,58.06,2.77,37.21,0.45,0.73,0,2.06,3.36,0.58,3,0.19,0,0,4.44,0.39,4,0.26,0.27,0,0,25,1.61,52,24,0.06,2.7,40.48,4.12,57.81,9.85,45.1,2.32,2.7,0.64,27.49,3.35,1.93,34.44,77.57,9.27,65.28,6.12,91.58,13.2,79.51,3.61,57.14,18.86,35.86,0.21,1.93,0,0,0.32,40,0.97,4.89,64.47,4.12,54.69,0.77,33.33,1.35,1.09,6.63,83.5,0,,0,,0,0,0,0,,,0.06,,
J. Castillo,Universitario,Universitario,"DMF, RCMF",24,230,0,0.05,1,0.45,Peru,7.04,7.04,38.89,1.17,66.67,0.78,1.33,0,3.52,6,2.35,2,0.78,0,0,1.57,0,0,0,0.02,0,0,2,0.78,50,0,0.39,1.17,66.67,0.78,0,2.35,16.67,0.78,0.39,0,34.04,0.78,0.78,43.43,82.88,13.7,68.57,6.26,93.75,17.22,90.91,4.3,54.55,21.88,32.73,0.18,1.17,0,0,0.78,50,1.17,10.17,69.23,1.57,50,1.17,33.33,0.39,0.78,9,78.26,0,,0,,0,0,0,0,,,0.39,,
J. Vélez,Universitario,Universitario,"LCMF, RCMF",30,731,3,0.92,0,1.72,Ecuador,6.89,6.65,62.96,2.59,42.86,0.25,0.42,0,2.46,4.17,1.85,5,0.62,1,0.12,3.69,0.37,3,0.37,0.11,1,0.12,20,2.46,30,15,0,1.97,31.25,4.06,54.55,11.82,36.46,2.46,1.85,0.49,25.49,1.6,1.85,36.07,83.62,9.6,73.08,7.88,98.44,9.23,84,2.83,65.22,16.15,21.54,0.21,1.23,0.37,0,0.25,50,0.37,3.69,73.33,3.82,58.06,0.49,50,1.85,0.74,4.43,72.22,0,,0,,0,0,0,0,,,0.12,,
P. Reyna,Universitario,Universitario,"LB, LWB",23,406,0,0.14,1,0.45,Peru,6.43,7.32,57.58,1.33,50,0.67,0.99,0,1.55,2.31,2,0,0,0,0,1.11,0,0,0,0.03,0,0,2,0.44,50,0,0.22,2.22,40,0.44,0,1.77,37.5,1.77,0.44,0,19.51,1.11,0.44,24.38,82.73,9.75,77.27,3.1,92.86,7.09,84.38,2.44,54.55,16.34,24.45,0.1,0.89,0,0,0,0,0.22,4.43,70,2.22,70,0.22,0,0.67,0.89,5.99,92.59,0,,0,,0,0,0,0,,,0,,
J. Castillo,Alianza Lima,Alianza Lima,"LDMF, DMF, RCMF",29,884,0,0.08,0,0.17,Peru,13.24,6.92,58.82,3.05,46.67,1.22,2.03,0.51,7.94,13.22,1.43,3,0.31,0,0,0.61,0,0,0,0.01,0,0,2,0.2,0,0,0,0.2,50,0.61,83.33,2.95,48.28,0.1,0.61,0.1,24.13,0.31,1.32,37.87,91.94,12.73,85.6,3.46,91.18,15.48,95.39,2.04,65,17.01,19.13,0.02,0.61,0.1,0,0,0,0,5.7,85.71,0.31,100,0.2,50,0.31,0.1,6.21,85.25,0,,0,,0,0,0,0,,,0.31,,
Á. Campos,Alianza Lima,Alianza Lima,GK,32,499,0,0,0,0,Peru,1.26,0.36,0,0,0,0,0,0,1.26,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,100,0,0,0,7.03,0,0.18,12.63,81.43,8.66,77.08,0,0,3.79,90.48,5.95,63.64,36,49.52,0,0,0,0,0,0,0,1.8,40,0,0,0,0,0,0,4.33,83.33,4,0.72,18,3.25,3,77.78,4.12,0.74,0.12,0.022,0,1.26,0
K. Quevedo,Alianza Lima,Alianza Lima,"LAMF, LW, RAMF",28,1157,3,3.14,2,0.53,Peru,3.27,3.42,47.73,2.33,43.33,0.16,0.25,0,1.48,2.34,1.01,3,0.23,1,0.08,2.72,0.23,3,0.23,0.24,0,0,32,2.49,34.38,9.375,0.16,1.48,10.53,4.36,35.71,10.42,35.82,3.34,2.18,0.23,18.2,2.57,1.09,22.32,79.09,5.91,69.74,4.82,93.55,6.46,74.7,0.54,57.14,15.02,11.48,0.04,0.54,0.08,0,0.39,40,0.39,2.8,80.56,1.63,42.86,0.39,40,1.17,0.23,2.57,72.73,0,,0,,0,0,0,0,,,0,,
N. Cabanillas,Melgar,Melgar,LB,25,706,0,0.02,2,0.6,Peru,9.5,6.01,67.44,2.24,25,0.14,0.21,0.28,5.31,8.09,0.84,2,0.25,0,0,1.82,0,0,0,0,0,0,1,0.14,0,0,0.28,3.21,30.43,1.54,54.55,5.03,50,0.7,0.7,0,20.12,2.93,1.4,29.49,73.46,10.34,70.27,2.8,90,12.86,71.74,3.35,54.17,20.06,25.47,0.08,0.56,0,0,0,0,0.42,3.63,69.23,3.77,33.33,0.42,0,0.7,0.84,7.83,66.07,0,,0,,0,0,0,0,,,0.14,,
C. Neira,Cienciano,Cienciano,"RWB, RB",24,1075,1,0.82,2,1.79,Peru,4.79,5.15,63.16,0.45,0,0.09,0.19,0,1.45,3.06,1.36,1,0.08,0,0,3.98,0.08,1,0.09,0.07,0,0,13,1.17,46.15,7.692,0.18,2.8,22.58,4.61,54.9,12.11,47.76,2.35,3.7,0.45,29.46,3.25,1.63,37.23,84.47,9.4,81.73,9.22,93.14,11.48,81.89,1.45,50,17.96,18.17,0.16,1.45,0.09,0,0.54,50,0.54,3.52,82.05,3.07,55.88,0.54,16.67,1.36,0.54,4.52,82,0,,0,,0,0,0,0,,,0.27,,
G. Dulanto,ADT,ADT,"LCB, CB",29,1110,0,0.5,0,0.17,Peru,9.41,4.54,82.14,3.81,72.34,0.73,1.14,0.65,4.95,7.75,0.41,1,0.08,1,0.08,0.73,0,0,0,0.04,0,0,9,0.73,55.56,0,0,0.73,33.33,0.16,50,0.65,25,0.49,0.89,0,30.73,0.89,0.57,44.76,84.6,21.32,76.05,2.11,100,18.65,92.61,10.62,65.65,28.47,44.15,0.01,0.08,0.08,0,0.08,0,0.08,10.3,68.5,2.27,46.43,1.14,50,0.81,0.24,12.97,81.88,0,,0,,0,0,0,0,,,1.22,,
