Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
K. Trelowski,Raków Częstochowa,Raków Częstochowa,GK,21,3391,0,0,0,0,Poland,0.88,0.05,100,0.4,93.33,0,0,0,0.82,1.24,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,12.1,0.29,0.13,18.15,87.13,8.52,75.08,0.03,0,8.36,98.41,5.6,63.03,28.88,44.6,0,0,0,0,0,0,0,1.57,59.32,0.11,0,0.05,0,0,0,4.01,73.51,23,0.61,106,2.81,17,78.3,32.21,0.85,9.21,0.244,0,1.14,0.4
R. Gikiewicz,Widzew Łódź,Widzew Łódź,GK,37,3339,0,0,0,0.11,Poland,1.37,0.22,75,0.3,100,0.03,0.04,0,1.19,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,22.78,0.19,0.08,33.13,89.26,14.2,77.61,0.03,100,18.01,98.5,8.54,62.15,26.2,41.74,0,0.03,0,0,0,0,0.03,1.24,43.48,0.11,0,0.11,0,0,0,6.09,65.04,49,1.32,158,4.26,8,68.99,48.66,1.31,-0.34,-0.009,0.03,1.19,0.3
B. Mrozek,Lech Poznań,Lech Poznań,GK,25,3333,0,0,0,0,Poland,1.51,0,0,0.32,83.33,0,0,0,1.51,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,18.12,0.35,0.14,25.17,88.41,10.72,76.83,0,0,12.8,97.47,5.27,51.28,25.01,44.35,0,0,0,0,0,0,0,1.03,36.84,0.24,22.22,0.05,50,0.05,0,3.73,50.72,31,0.84,146,3.94,14,78.77,36.15,0.98,5.15,0.139,0,1.13,0.32
F. Plach,Piast Gliwice,Piast Gliwice,GK,33,3329,0,0,0,0.13,Slovakia,1.46,0.08,33.33,0.35,100,0,0,0.03,1.43,1.79,0,1,0.03,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,66.67,0.11,50,0,0,0,16.46,0.19,0.11,22.36,82.35,13.6,72.56,0.03,0,8.16,98.01,11.71,67.44,36.96,49.41,0,0.03,0,0,0,0,0.03,3.57,59.09,0.22,12.5,0.24,22.22,0.03,0,8.57,78.86,36,0.97,124,3.35,11,70.97,38.26,1.03,2.26,0.061,0,1.11,0.35
V. Cojocaru,Pogoń Szczecin,Pogoń Szczecin,GK,29,3307,0,0,0,0,Romania,2.45,0.03,100,0.87,78.13,0,0,0,2.42,3.65,0,2,0.05,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.38,100,0,0,0,17.36,0.35,0.46,26.15,84.5,12.27,70.07,0.03,100,13.01,97.7,8.36,56.68,30.71,46.8,0,0,0.03,0.03,0,0,0,2.18,42.5,0.27,30,0.19,14.29,0.05,0,5.33,63.27,40,1.09,142,3.86,14,71.83,37.77,1.03,-2.23,-0.061,0,2.15,0.87
A. Jędrych,Katowice,Katowice,CB,33,3294,4,3.96,0,0.24,Poland,8.52,3.42,66.4,4.92,67.22,0.22,0.28,0.82,6.04,7.77,0.46,3,0.08,0,0,0.41,0.11,2,0.05,0.11,1,0.03,23,0.63,39.13,17.391,0,0.27,30,0.11,75,0.74,37.04,1.42,0.19,0,29.37,0.25,0.33,47.68,86.7,15.57,70.18,1.99,91.78,25.11,97.17,5.52,49.01,21.56,43.85,0.01,0.05,0.03,0.03,0,0,0.05,3.91,55.94,0.36,23.08,0.22,12.5,0.25,0.08,6.89,62.3,0,,0,,0,0,0,0,,,1.39,,
D. Kudła,Katowice,Katowice,GK,33,3294,0,0.04,0,0,Poland,1.07,0.08,100,0.63,86.96,0.03,0.04,0,0.96,1.23,0,2,0.05,0,0,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0.03,0,0.03,100,0.08,100,0.03,0,0,12.08,0.14,0.05,18.85,85.8,11.39,78.42,0,0,6.5,97.06,7.43,68.38,31.26,46.85,0,0,0,0,0,0,0,1.42,65.38,0.05,0,0.03,0,0,0,6.12,72.77,47,1.28,165,4.51,9,71.52,50.04,1.37,3.04,0.083,0,1.8,0.63
R. Leszczyński,Wisła Płock,Śląsk Wrocław,GK,33,3239,0,0,1,0.1,Poland,1.42,0.08,66.67,0.5,94.44,0.03,0.04,0,1.33,1.81,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.25,66.67,0,0,0,13.81,0.11,0.31,21.84,81.17,13.53,71.46,0,0,7.7,96.75,9.06,60.43,35.32,51.28,0,0.03,0,0.03,0,0,0.03,2.92,48.57,0.22,0,0.19,42.86,0.03,0,7.11,75.39,51,1.42,165,4.58,4,69.09,50.36,1.4,-0.64,-0.018,0,1.5,0.5
D. Piła,Cracovia Kraków,Lechia Gdańsk,RB,24,3224,1,1.34,1,2.8,Poland,11.7,10.13,61.16,2.51,44.44,0.53,0.69,0.31,4.97,6.46,1.06,3,0.08,0,0,2.21,0.03,1,0.03,0.04,0,0,18,0.5,11.11,5.556,0.03,2.37,36.47,1.81,70.77,4.55,49.08,0.92,1.67,0.28,23.95,1.28,0.61,35.48,76.55,14.99,70.58,5.28,92.59,9.3,75.98,4.52,47.53,18.43,35.4,0.08,0.56,0.03,0,0.14,0,0.25,5.22,72.19,2.65,42.11,0.5,55.56,0.47,0.81,7.54,67.78,0,,0,,0,0,0,0,,,0.7,,
A. Ławniczak,Zagłębie Lubin,Zagłębie Lubin,"LCB, RCB",26,3223,2,2.83,0,0.64,Poland,9.16,4.24,75.66,6.2,63.96,0.06,0.07,0.98,5.89,7.46,0.7,1,0.03,0,0,0.5,0.06,2,0.06,0.08,2,0.06,28,0.78,21.43,7.143,0,0.2,28.57,0.36,76.92,1.17,73.81,1.26,0.36,0,21.53,0.25,0.45,36.72,82.51,17.09,72.88,2.15,89.61,13.6,94.66,5.14,51.09,20.74,36.32,0.02,0.08,0.03,0,0.03,0,0.08,4.38,67.52,0.5,38.89,0.2,28.57,0.17,0.06,7.96,59.65,0,,0,,0,0,0,0,,,1.31,,
B. Källman,Hannover 96,Cracovia Kraków,"CF, LWF, LW",27,3215,18,14.39,6,4.11,Finland,3.44,2.8,50,5.93,40.57,0.08,0.11,0.11,1.96,2.5,1.18,3,0.08,0,0,2.07,0.5,13,0.36,0.4,4,0.11,67,1.88,59.7,26.866,0.17,0.9,28.13,2.3,30.49,7.7,29.09,4.06,1.51,0.25,9.63,1.85,1.2,12.77,68.64,3.02,61.11,2.58,88.04,3.42,71.31,0.42,40,14.72,10.66,0.11,0.92,0,0.03,0.03,0,0.28,1.4,62,0.64,65.22,0.03,0,0.73,0.25,1.26,80,0,,0,,0,0,0,0,,,0,,
B. Wolski,Motor Lublin,Motor Lublin,RCMF,28,3212,2,2.94,6,7.18,Poland,5.66,3.87,65.94,0.92,48.48,0.08,0.11,0.5,3.03,3.85,0.45,2,0.06,0,0,2.44,0.06,1,0.03,0.08,0,0,31,0.87,25.81,6.452,0.17,2.61,40.86,1.4,68,5.52,44.67,0.98,1.46,0.06,27.32,0.5,0.92,39,79.31,13.14,66.74,6.64,93.25,13.28,82.91,3.56,47.24,18.47,34.25,0.2,1.93,0.11,0.08,0.5,38.89,0.34,6.42,69,4.06,46.9,0.84,30,0.98,1.04,6.75,79.67,0,,0,,0,0,0,0,,,0.2,,
G. Berggren,Raków Częstochowa,Raków Częstochowa,RCMF,27,3148,2,2.25,5,2.22,Sweden,7,5.06,59.89,2.57,46.67,0.11,0.17,0.37,3.86,5.71,1.46,9,0.26,1,0.03,1.34,0.06,2,0.06,0.06,0,0,27,0.77,29.63,7.407,0.14,0.23,50,1.37,72.92,3.6,58.73,0.86,1.29,0.26,18.75,0.09,0.77,30.68,84.72,9.95,72.41,4.15,94.48,11.75,90.27,2.52,45.45,17.79,33.05,0.06,0.51,0.09,0,0.03,0,0.34,4.83,71.01,1.17,46.34,0.17,0,0.57,0.11,4.75,77.11,0,,0,,0,0,0,0,,,0.43,,
O. Repka,Raków Częstochowa,Katowice,"LCMF, RCMF",26,3111,8,6.27,1,1.66,Poland,6.89,3.47,55,5.79,49.5,0.23,0.3,0.55,4.74,6.08,0.61,6,0.17,1,0.03,1.04,0.23,8,0.23,0.18,3,0.09,52,1.5,28.85,15.385,0.03,0.26,44.44,0.87,53.33,5.35,41.08,1.68,0.75,0.06,27.71,0.58,1.1,42.27,82,15.36,65.54,5.96,96.6,14.58,91.07,5.32,51.63,18.79,34.48,0.05,0.55,0.06,0,0.03,100,0.09,6.57,62.56,1.36,42.55,0.72,36,0.69,0.09,7.43,70.43,0,,0,,0,0,0,0,,,0.61,,
E. Olsson,Lechia Gdańsk,Lechia Gdańsk,LCB,22,3111,1,1.18,0,0.18,Sweden,8.39,5.29,69.95,3.73,55.04,0.32,0.41,0.87,4.37,5.65,0.72,5,0.14,0,0,0.09,0.03,1,0.03,0.03,1,0.03,7,0.2,28.57,14.286,0,0.09,0,0.03,100,0.43,46.67,0.46,0.43,0.03,26.88,0.32,0.29,39.52,85.94,17.65,75.57,1.48,96.08,17.42,96.35,6.31,49.54,21.26,36.44,0.01,0.12,0,0,0,0,0.03,4.31,67.11,0.43,20,0.17,50,0.12,0,6.94,64.17,0,,0,,0,0,0,0,,,1.07,,
M. Żyro,Widzew Łódź,Widzew Łódź,RCB,26,3099,2,1.66,0,0.3,Poland,7.55,3.92,65.93,3.02,54.81,0.35,0.45,0.81,4.62,5.96,0.55,4,0.12,1,0.03,0.44,0.06,2,0.06,0.05,1,0.03,12,0.35,41.67,16.667,0,0.35,58.33,0.15,60,0.61,61.9,0.55,1.45,0.03,37.38,0.17,0.29,51.61,87.17,18.18,73.96,3.02,92.31,24.28,95.93,8.86,53.44,22.1,41.81,0.01,0.03,0.03,0,0,0,0.03,7.38,65.35,0.99,23.53,0.64,13.64,0.12,0.17,8.28,67.72,0,,0,,0,0,0,0,,,2.32,,
L. Koutris,Pogoń Szczecin,Pogoń Szczecin,LB,29,3061,0,1.07,5,4.28,Brazil,8.03,5.17,59.09,2.09,46.48,0.18,0.26,0.18,4.79,7.19,0.47,3,0.09,0,0,2,0,0,0,0.03,0,0,18,0.53,27.78,0,0.15,3.32,30.97,1.44,51.02,3.38,50.43,0.88,1.18,0.21,33.84,1.79,1.06,45.49,78.22,16.67,64.73,8.59,97.6,14.5,82.35,5.47,46.77,20.99,34.74,0.13,0.88,0,0,0.21,42.86,0.29,6.82,60.34,4.12,42.86,0.71,29.17,0.94,0.97,9.53,72.53,0,,0,,0,0,0,0,,,1.5,,
M. Trojak,Ulsan Hyundai,Korona Kielce,"RCB, LCB",31,3052,1,1.88,1,0.84,Poland,8.02,4.42,68.67,3.36,62.28,0.29,0.4,0.41,4.69,6.29,0.77,9,0.27,0,0,0.71,0.03,1,0.03,0.06,1,0.03,20,0.59,25,5,0.03,0.41,42.86,0.44,73.33,1.74,59.32,0.97,0.88,0.15,30.34,0.27,0.62,46.09,81.19,23.59,72.38,2.24,89.47,17.04,92.21,8.35,51.59,23.16,42.52,0.02,0.12,0.03,0,0.12,50,0.09,8.88,62.13,1.44,32.65,0.71,37.5,0.38,0.18,11.56,75.77,0,,0,,0,0,0,0,,,1.33,,
S. Abramowicz,Jagiellonia Białystok,Jagiellonia Białystok,GK,21,3040,0,0,0,0,Poland,1.33,0.03,0,0.41,92.86,0.03,0.04,0,1.3,1.88,0.03,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,100,0,0,0.03,11.52,0.21,0.24,19.1,88.84,8.08,76.56,0,0,9.71,98.17,4.97,61.9,26.88,43.08,0,0,0,0,0,0,0,1.04,42.86,0.12,25,0.12,25,0,0,3.43,65.52,36,1.07,136,4.03,10,73.53,38.9,1.15,2.9,0.086,0,1.51,0.41
L. Wahlqvist,Pogoń Szczecin,Pogoń Szczecin,RB,28,3035,2,4.25,1,3.46,Sweden,8.48,5.84,63.45,3.97,55.22,0.27,0.4,0.36,4.51,6.8,1.1,6,0.18,0,0,1.01,0.06,2,0.06,0.13,2,0.06,26,0.77,30.77,7.692,0.03,1.39,48.94,0.24,37.5,1.72,27.59,2.08,0.42,0.03,29.71,1.22,0.47,39.05,83.07,14.12,73.32,6.7,96.02,13.2,87.64,3.38,45.61,18.89,35.31,0.1,0.86,0.03,0,0.06,0,0.36,4.33,69.18,1.81,45.9,0.12,25,0.71,0.53,7.12,72.92,0,,0,,0,0,0,0,,,0.89,,
R. Kapič,Lechia Gdańsk,Lechia Gdańsk,"RCMF, RDMF",30,3018,4,2.5,5,5.97,Bosnia and Herzegovina,6.77,3.64,60.66,0.75,24,0.12,0.16,0.33,4.44,5.87,0.33,7,0.21,0,0,2.12,0.12,3,0.09,0.07,0,0,29,0.86,31.03,13.793,0.15,1.34,46.67,1.7,54.39,4.53,36.84,1.04,1.07,0.03,39.99,0.83,0.36,55.68,85.38,17.83,73.75,8.65,93.1,19.77,92.01,5.07,68.24,18.28,35.48,0.18,1.64,0.06,0.15,0.45,66.67,0.21,8.41,74.82,3.16,62.26,0.83,57.14,1.55,0.63,8.98,81.06,0,,0,,0,0,0,0,,,0.6,,
M. Kikolski,Widzew Łódź,Radomiak Radom,GK,21,3003,0,0,0,0,Poland,1.38,0.06,0,0.78,100,0,0,0,1.38,1.85,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,33.33,0,0,0,11.81,0.12,0.21,18.91,82.88,9.35,68.59,0.03,0,8.96,97.66,7.73,63.57,31.55,43.92,0,0,0,0.03,0,0,0,1.74,48.28,0.06,0,0.09,33.33,0,0,5.24,70.86,44,1.32,134,4.02,5,67.16,41.88,1.26,-2.12,-0.064,0,1.65,0.78
Jean Carlos,Raków Częstochowa,Raków Częstochowa,"LWB, RWB",29,2986,5,3.47,1,4.15,Brazil,6.96,4.64,62.34,2.83,48.94,0.15,0.23,0.03,3.92,5.95,0.84,4,0.12,0,0,5.85,0.15,5,0.15,0.1,2,0.06,39,1.18,41.03,12.821,0.03,3.77,40.8,5.91,62.24,11.15,47.57,1.96,2.89,0.33,25.35,1.51,1.21,35.32,81.4,7.11,69.49,10.28,96.48,11.27,78.34,2.53,55.95,18.01,32.49,0.13,1.12,0,0.09,0.24,62.5,0.51,1.9,66.67,3.8,55.56,0.3,50,1.09,1.57,5.82,75.65,0,,0,,0,0,0,0,,,0.51,,
M. Maigaard,Cracovia Kraków,Cracovia Kraków,LCMF,29,2961,6,3,3,4.87,Denmark,7.11,3.59,60.17,1.61,43.4,0.12,0.16,0.4,4.83,6.28,0.4,3,0.09,0,0,1.98,0.18,6,0.18,0.09,0,0,45,1.37,33.33,13.333,0.09,2.04,41.79,1.16,55.26,3.95,46.15,1.06,1.28,0.12,31.31,0.46,0.94,48.33,84.09,14.56,73.49,9.39,96.12,16.35,88.1,4.5,53.38,18.17,32.66,0.15,1.55,0.09,0.06,0.06,50,0.43,7.14,75.74,2.89,55.79,0.55,27.78,0.88,0.82,7.69,75.49,0,,0,,0,0,0,0,,,0.36,,
