"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Alan de Souza Guimarães";"AM";"all";"all";"95613";"Alan";"2000-03-08";"87";"18.16";"17";"0";"456";"100";"32.46";"2.15";"0.22";"34.43";"25.66";"4.39";"0.55";"0.37";"7.89";"5.04"
"Alfonso Trezza Hernández";"AM";"all";"all";"38128";"A. Trezza";"1999-06-22";"100";"22.24";"5";"0";"196";"100";"40.31";"2.72";"1.02";"33.16";"19.9";"6.12";"0.81";"0.38";"13.78";"5.61"
"Daniel dos Santos Penha";"AM";"all";"all";"31819";"Daniel Penha";"1998-10-17";"72.57";"15.88";"6";"0";"218";"100";"27.06";"1.93";"0.46";"31.19";"23.85";"4.59";"0.59";"0.32";"6.88";"4.59"
"Francisco António Machado Mota de Castro Trincão";"AM";"all";"all";"16014";"Francisco Trincão";"1999-12-29";"92.84";"26.08";"5";"0";"234";"100";"31.2";"2.67";"0.85";"27.35";"20.09";"5.56";"0.7";"0.41";"8.97";"4.27"
"Fábio Samuel Amorim da Silva";"AM";"all";"all";"35985";"Samu";"1996-04-21";"75.4";"17.45";"5";"0";"170";"100";"33.53";"2.23";"0";"25.88";"17.06";"1.76";"0.43";"0.21";"5.29";"2.94"
"Gustavo Filipe Alves Freitas Azevedo Sá";"AM";"all";"all";"182823";"Gustavo Sá";"2004-11-11";"83.82";"18.89";"21";"1";"475";"100";"31.37";"1.98";"0.42";"33.47";"23.16";"4";"0.58";"0.37";"9.26";"5.68"
"Gustavo Lucas Domingues Piazón";"AM";"all";"all";"6367";"L. Piazón";"1994-01-20";"91.8";"17.48";"9";"0";"247";"100";"37.25";"2.43";"0";"27.13";"15.79";"2.83";"0.66";"0.17";"8.5";"2.43"
"Ivo Tiago dos Santos Rodrigues";"AM";"all";"all";"4569";"Ivo Rodrigues";"1995-03-30";"82.77";"20.4";"5";"0";"126";"100";"28.57";"2";"0";"36.51";"26.98";"1.59";"0.71";"0.5";"9.52";"5.56"
"João Sabino  Mendes Neto Saraiva";"AM";"all";"all";"16249";"João Mendes";"1994-10-21";"87.92";"20.9";"8";"0";"289";"100";"26.3";"1.87";"0.35";"30.1";"23.88";"2.42";"0.38";"0.29";"4.84";"3.81"
"Kanya Fujimoto";"AM";"all";"all";"33650";"K. Fujimoto";"1999-07-01";"80.42";"18.17";"9";"0";"284";"100";"20.42";"1.54";"0.35";"31.34";"20.42";"2.11";"0.48";"0.27";"6.34";"3.17"
"Morlaye Sylla";"AM";"all";"all";"116577";"M. Sylla";"1998-07-27";"84.22";"19.17";"7";"0";"180";"100";"23.33";"1.75";"0";"32.22";"22.78";"3.33";"0.58";"0.3";"6.11";"2.78"
"Ole Pohlmann";"AM";"all";"all";"60508";"O. Pohlmann";"2001-04-05";"74.73";"16.96";"7";"0";"183";"100";"27.87";"1.93";"0";"31.15";"18.58";"2.19";"0.47";"0.18";"6.56";"2.73"
"Pablo Gozálbez Gilabert";"AM";"all";"all";"24585";"Pablo Gozálbez";"2001-04-30";"79.12";"16.67";"5";"0";"146";"100";"42.47";"3.11";"0.68";"33.56";"21.92";"5.48";"0.92";"0.51";"13.01";"7.53"
"Ricardo Jorge Luz Horta";"AM";"all";"all";"8983";"Ricardo Horta";"1994-09-15";"92.46";"27.35";"14";"0";"535";"100";"51.59";"3.24";"0.56";"29.72";"19.44";"2.24";"0.82";"0.42";"11.78";"5.79"
"Rodrigo Mora Carvalho";"AM";"all";"all";"735644";"Rodrigo Mora";"2007-05-05";"79.74";"22.5";"10";"0";"333";"100";"38.74";"2.48";"1.5";"29.13";"21.62";"5.11";"0.65";"0.42";"9.31";"6.01"
"Rodrigo Zalazar Martínez";"AM";"all";"all";"29708";"Rodrigo Zalazar";"1999-08-12";"89.42";"20.86";"6";"0";"201";"100";"21.89";"1.51";"0.5";"32.84";"20.4";"1.99";"0.49";"0.26";"7.96";"4.48"
"Aderllan Leandro de Jesus Santos";"CB";"all";"all";"223";"Aderllan Santos";"1989-04-09";"96.68";"18.71";"14";"0";"32";"100";"3.12";"0.23";"0";"18.75";"15.62";"0";"0.01";"0";"0";"0"
"Cláudio Falcão Santos";"CB";"all";"all";"16102";"Cláudio Falcão";"1994-07-03";"101.08";"15.19";"12";"0";"73";"100";"1.37";"0.2";"0";"20.55";"17.81";"0";"0.04";"0.03";"0";"0"
