"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Ânderson Miguel da Silva";"CF";"all";"all";"29234";"Nenê";"1983-07-28";"81.01";"16.47";"7";"0";"44";"100";"59.09";"1.61";"0.74";"69.23";"168.18";"0.51";"40.91";"9.09";"0";"22.73";"11.36";"9.09"
"José Miguel da Rocha Fonte";"CB";"all";"all";"5396";"José Fonte";"1983-12-22";"93.32";"18.64";"23";"0";"171";"100";"54.39";"0.32";"0.14";"91.4";"125.15";"0.08";"49.71";"0.58";"0";"2.34";"0.58";"0"
"Rúben Miguel  Marques dos Santos Fernandes";"LCB";"all";"all";"9336";"Rúben Fernandes";"1986-05-06";"98.84";"23.05";"27";"0";"527";"100";"44.21";"0.39";"0.17";"85.41";"139.09";"0.1";"37.76";"0.57";"0.19";"2.28";"0.95";"0"
"Luís Carlos Rocha Rodrigues";"CB";"all";"all";"486533";"Luís Rocha";"1986-08-13";"98.26";"17.46";"26";"1";"172";"100";"50.58";"0.32";"0.13";"86.21";"129.65";"0.07";"43.6";"0.58";"0";"4.07";"0.58";"0"
"João Filipe Iria Santos Moutinho";"RDM";"all";"all";"5071";"João Moutinho";"1986-09-08";"89.75";"23.3";"10";"0";"119";"100";"53.78";"1.03";"0.47";"85.94";"131.09";"0.29";"46.22";"4.2";"0.84";"11.76";"5.04";"2.52"
"Hugo Miguel Almeida Costa Lopes";"CB";"all";"all";"7564";"Miguel Lopes";"1986-12-19";"91.93";"18.39";"7";"1";"46";"100";"43.48";"0.27";"0.06";"100";"128.26";"0.06";"43.48";"0";"0";"0";"0";"0"
"Iván Marcano Sierra";"LCB";"all";"all";"4537";"Iván Marcano";"1987-06-23";"98.05";"26.05";"8";"0";"165";"100";"45.45";"0.61";"0.28";"81.33";"129.7";"0.2";"36.97";"0.61";"0";"4.85";"1.82";"1.21"
"Nicolás Hernán Otamendi";"LCB";"all";"all";"8029";"N. Otamendi";"1988-02-12";"98.6";"26.09";"15";"0";"225";"100";"49.78";"0.54";"0.28";"80.36";"134.22";"0.13";"40";"0.89";"0";"7.11";"2.22";"1.33"
"Ángel Fabián di María Hernández";"RF";"all";"all";"875";"Á. Di María";"1988-02-14";"84.42";"25.22";"5";"0";"110";"100";"62.73";"2.22";"1.42";"69.57";"173.64";"0.83";"43.64";"5.45";"0.91";"40";"24.55";"12.73"
"Aderllan Leandro de Jesus Santos";"CB";"all";"all";"223";"Aderllan Santos";"1989-04-09";"96.68";"18.71";"14";"0";"102";"100";"42.16";"0.23";"0.14";"76.74";"122.55";"0.03";"32.35";"0.98";"0";"0.98";"0.98";"0"
