"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Aderllan Leandro de Jesus Santos";"Aderllan Santos";"223";"1989-04-09";"CB";"Central Defender";"96.6";"50.69";"13";"0";"0.77";"1.54";"29.32";"30.44";"7719.71";"128.66";"1004.09";"391.24";"41.52";"154.69";"8.01";"545.93";"49.53";"81.12";"4.1";"59.46";"9.01";"2.0";"0.64"
"Aderllan Leandro de Jesus Santos";"Aderllan Santos";"223";"1989-04-09";"LCB";"Central Defender";"94.31";"49.91";"10";"0";"0.79";"1.72";"29.12";"30.02";"7603.69";"126.73";"992.99";"363.77";"37.27";"141.01";"7.69";"504.79";"44.96";"78.62";"3.85";"58.18";"8.78";"2.04";"0.24"
"Adrián Marín Gómez";"Adrián Marín";"252";"1997-01-09";"LB";"Full Back";"92.23";"49.77";"6";"0";"0.78";"1.54";"28.18";"28.5";"7850.53";"130.84";"1201.61";"490.81";"45.81";"135.81";"8.24";"626.62";"54.04";"93.22";"4.62";"67.7";"10.45";"3.21";"0.6"
"André Geraldes de Barros";"André Geraldes";"728";"1991-05-02";"RWB";"Full Back";"93.68";"48.36";"9";"0";"0.65";"1.22";"30.19";"31.6";"7971.56";"132.86";"1242.46";"453.95";"48.11";"182.79";"10.06";"636.74";"58.17";"88.36";"5.93";"63.27";"9.93";"3.72";"1.52"
"Ángel Fabián di María Hernández";"Á. Di María";"875";"1988-02-14";"RF";"Wide Attacker";"82.04";"46.32";"7";"0";"0.78";"1.61";"27.59";"27.88";"8372.43";"139.54";"1480.15";"564.19";"51.26";"146.74";"6.48";"710.93";"57.73";"92.89";"4.81";"69.02";"10.55";"2.59";"0.74"
"Ángel Fabián di María Hernández";"Á. Di María";"875";"1988-02-14";"RW";"Wide Attacker";"83.37";"45.42";"9";"0";"0.65";"1.45";"28.37";"29.16";"8325.83";"138.76";"1511.42";"655.39";"65.32";"208.73";"11.89";"864.11";"77.21";"98.49";"6.16";"72.07";"13.06";"4.4";"1.17"
"Armindo Tué Na Bangna";"Bruma";"1484";"1994-10-24";"LF";"Wide Attacker";"97.52";"51.93";"7";"0";"0.62";"1.37";"28.76";"29.34";"8516.64";"141.94";"1593.93";"638.43";"55.95";"172.98";"9.08";"811.41";"65.03";"91.44";"5.61";"66.19";"12.05";"4.13";"1.49"
"Armindo Tué Na Bangna";"Bruma";"1484";"1994-10-24";"LW";"Wide Attacker";"81.99";"46.21";"8";"0";"0.67";"1.38";"29.09";"29.84";"8304.35";"138.41";"1497.78";"634.46";"57.62";"213.92";"9.25";"848.39";"66.87";"88.78";"4.71";"66.87";"11.2";"3.41";"0.81"
"Bruno Miguel Boialvo Gaspar";"Bruno Gaspar";"1501";"1993-04-21";"RB";"Full Back";"94.51";"46.56";"10";"0";"0.64";"1.2";"29.36";"30.56";"8422.34";"140.37";"1560.2";"773.78";"67.39";"250.63";"12.89";"1024.41";"80.28";"101.41";"7.86";"69.32";"14.95";"5.8";"2.32"
"David  Martins Simão";"David Simão";"2492";"1990-05-15";"LDM";"Midfield";"85.99";"43.47";"12";"0";"0.74";"null";"25.82";"27.24";"9733.8";"162.23";"2154.48";"580.03";"41.75";"67.97";"2.53";"648.0";"44.28";"97.76";"1.27";"73.27";"7.82";"0.35";"0.0"
