"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Ânderson Miguel da Silva";"CF";"all";"all";"29234";"Nenê";"1983-07-28";"81.01";"16.47";"7";"0";"98";"100";"38.78";"61.22";"61.22";"69.64";"57.14";"39.8";"3.06";"2.04";"66.67";"11.22";"6.12";"54.55"
"José Miguel da Rocha Fonte";"CB";"all";"all";"5396";"José Fonte";"1983-12-22";"93.32";"18.64";"23";"0";"403";"100";"20.1";"79.9";"79.9";"83.09";"86.6";"71.96";"0.25";"0";"0";"12.41";"6.45";"52"
"Rúben Miguel  Marques dos Santos Fernandes";"LCB";"all";"all";"9336";"Rúben Fernandes";"1986-05-06";"98.84";"23.05";"27";"0";"628";"100";"19.9";"80.1";"80.1";"82.08";"95.06";"78.03";"0.32";"0";"0";"21.18";"12.26";"57.89"
"Luís Carlos Rocha Rodrigues";"CB";"all";"all";"486533";"Luís Rocha";"1986-08-13";"98.26";"17.46";"26";"1";"428";"100";"19.39";"80.61";"80.61";"84.36";"91.12";"76.87";"0.23";"0";"0";"11.92";"6.54";"54.9"
"João Filipe Iria Santos Moutinho";"RDM";"all";"all";"5071";"João Moutinho";"1986-09-08";"89.75";"23.3";"10";"0";"332";"100";"11.75";"88.25";"88.25";"88.33";"90.36";"79.82";"1.51";"0.3";"20";"10.24";"6.33";"61.76"
"Hugo Miguel Almeida Costa Lopes";"CB";"all";"all";"7564";"Miguel Lopes";"1986-12-19";"91.93";"18.39";"7";"1";"76";"100";"13.16";"86.84";"86.84";"91.8";"80.26";"73.68";"0";"0";"";"7.89";"6.58";"83.33"
"Iván Marcano Sierra";"LCB";"all";"all";"4537";"Iván Marcano";"1987-06-23";"98.05";"26.05";"8";"0";"194";"100";"18.56";"81.44";"81.44";"83.8";"92.27";"77.32";"2.06";"0.52";"25";"20.62";"10.31";"50"
"Nicolás Hernán Otamendi";"LCB";"all";"all";"8029";"N. Otamendi";"1988-02-12";"98.6";"26.09";"15";"0";"340";"100";"15.29";"84.71";"84.71";"85.53";"93.53";"80";"1.76";"1.18";"66.67";"14.41";"8.53";"59.18"
"Ángel Fabián di María Hernández";"RF";"all";"all";"875";"Á. Di María";"1988-02-14";"84.42";"25.22";"5";"0";"174";"100";"25.29";"74.71";"74.71";"77.95";"72.99";"56.9";"17.82";"10.92";"61.29";"21.84";"11.49";"52.63"
"Aderllan Leandro de Jesus Santos";"CB";"all";"all";"223";"Aderllan Santos";"1989-04-09";"96.68";"18.71";"14";"0";"240";"100";"21.67";"78.33";"78.33";"80.57";"87.92";"70.83";"0";"0";"";"14.58";"9.17";"62.86"
"Aderllan Leandro de Jesus Santos";"LCB";"all";"all";"223";"Aderllan Santos";"1989-04-09";"94.31";"20.22";"10";"0";"151";"100";"25.83";"74.17";"74.17";"80.92";"86.75";"70.2";"0";"0";"";"13.25";"7.28";"55"
