Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
João Bravim,União de Leiria,Alverca,GK,27,3390,0,0,0,0,Brazil,1.27,0.03,0,0.88,93.94,0,0,0,1.27,1.73,0.05,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,50,0,0,0.03,9.37,0.29,0.24,15.37,82.9,8.1,71.8,0,0,6.03,96.04,5.84,59.09,29.55,45.88,0,0,0,0,0,0,0,1.19,40,0.19,14.29,0.08,0,0.03,0,4.3,67.28,32,0.85,137,3.64,11,76.64,38.12,1.01,6.12,0.162,0,2.12,0.88
Bernardo,Tondela,Tondela,GK,23,3386,0,0,0,0,Brazil,1.36,0.08,66.67,0.4,100,0,0,0,1.3,1.69,0,2,0.05,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.24,66.67,0,0.03,0.03,8.8,0.13,0.19,15.34,81.28,8.45,68.87,0.03,0,6.09,96.94,5.79,55.05,34.38,55.39,0,0,0,0,0,0,0,2.84,48.6,0.37,14.29,0.35,23.08,0.05,0,4.23,72.96,35,0.93,119,3.16,10,70.59,33.73,0.9,-1.27,-0.034,0,1.73,0.4
Javi Vázquez,Torreense,Torreense,"LWB, LB",24,3366,4,2.5,6,5.16,Spain,5.59,4.04,62.25,1.9,53.52,0.11,0.18,0.05,2.97,5,0.7,4,0.11,0,0,2.33,0.11,4,0.11,0.07,0,0,42,1.12,21.43,9.524,0.16,4.57,28.65,1.36,52.94,2.91,40.37,1.28,1.04,0.05,22.27,2.11,0.61,30.16,68.53,11.1,61.93,5.64,90.52,9.33,66.48,5.4,45.05,23.63,40.54,0.14,1.34,0.03,0.08,0.05,100,0.4,4.95,56.76,4.14,42.58,0.37,57.14,0.67,1.28,8.02,75,0,,0,,0,0,0,0,,,0.43,,
João Miguel,Penafiel,Penafiel,"RCB, LCB",31,3299,0,0.85,0,0.15,Portugal,7.94,3.46,71.65,5.51,63.37,0.03,0.04,0.76,5.43,7.63,0.57,1,0.03,1,0.03,0.08,0,0,0,0.02,0,0,7,0.19,14.29,0,0,0.14,0,0.08,66.67,0.44,62.5,0.44,0.16,0,16.97,0.19,0.38,29.11,82.1,14.1,72.92,0.93,94.12,11.59,91.06,5.05,52.43,22.24,38.56,0,0.11,0,0.03,0,0,0.03,3.25,62.18,0.35,23.08,0.33,33.33,0.14,0,6.6,61.57,0,,0,,0,0,0,0,,,0.57,,
Ricardo Alves,Chaves,Tondela,LCB,34,3267,4,2.38,0,0.25,Portugal,5.95,3.66,72.18,5.15,57.22,0.06,0.07,0.41,3.25,4.2,0.72,4,0.11,0,0,0.36,0.11,3,0.08,0.07,2,0.06,10,0.28,80,40,0,0.33,16.67,0.11,75,0.83,53.33,0.44,0.94,0.03,22.56,0.3,0.8,33.42,82.77,16.83,75.29,1.71,87.1,12.42,92.9,5.29,54.17,22.07,39.14,0.01,0.08,0,0.03,0.06,0,0.06,5.32,59.59,0.88,28.13,0.3,36.36,0.19,0.11,7.55,71.9,0,,0,,0,0,0,0,,,0.88,,
Bruno Rodrigues,Chaves,Chaves,RCB,24,3237,1,1.94,1,0,Portugal,7.65,4.87,69.14,3.73,63.43,0.08,0.12,0.5,4.2,6.02,0.7,6,0.17,0,0,0.33,0.03,1,0.03,0.05,1,0.03,17,0.47,41.18,5.882,0.03,0.11,50,0.11,75,0.78,57.14,0.53,0.7,0.03,24.55,0.31,0.53,38.95,85.01,17.35,71.63,2.42,98.85,16.68,96.17,6.59,56.96,22.22,37.67,0,0.03,0,0.03,0,0,0,4.87,63.43,0.47,11.76,0.39,64.29,0.03,0.03,7.31,63.5,0,,0,,0,0,0,0,,,2.2,,
Bruno Pinto,Ararat-Armenia,Felgueiras 1932,GK,33,3191,0,0,0,0,Portugal,0.99,0.08,66.67,0.54,100,0,0,0,0.93,1.55,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,100,0,0,0,9.17,0.25,0.34,14.27,80.63,8.86,71.66,0,0,5.05,96.65,7.08,64.94,41.08,55.52,0,0,0,0,0,0,0,3.02,58.88,0.31,18.18,0.14,20,0.03,0,5.64,80.5,34,0.96,111,3.13,11,69.37,33.48,0.94,-0.52,-0.015,0,1.58,0.54
P. Kieszek,Pogoń Grod. Mazowiecki,União de Leiria,GK,41,3183,0,0,0,0,Poland,1.53,0.11,50,0.28,90,0.03,0.04,0,1.44,2.12,0,3,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,0.25,0.08,17.98,86.64,9.67,76.9,0.03,100,7.44,98.48,5.74,64.04,29.22,47.36,0,0,0,0.03,0,0,0,1.36,41.67,0.11,25,0.06,50,0.03,0,4.64,70.73,34,0.96,126,3.56,10,73.02,36.6,1.03,2.6,0.074,0.03,1.07,0.28
Vózinha,Chaves,Chaves,GK,39,3143,0,0,0,0,Cape Verde Islands,1.78,0.09,100,0.69,91.67,0.03,0.04,0,1.66,2.38,0.03,3,0.09,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,80,0,0,0,13.57,0.14,0.37,21.93,86.55,12.03,78.81,0,0,9.16,96.88,7.67,67.91,31.87,47.3,0,0,0,0,0,0,0,1.86,41.54,0.11,0,0.09,0,0,0,5.93,68.6,31,0.89,122,3.49,11,74.59,32.75,0.94,1.75,0.05,0,1.75,0.69
João Afonso,Tondela,Tondela,"CB, RCB",35,3123,0,1.84,1,0.08,Portugal,6.17,2.68,70.97,4.99,56.07,0.17,0.22,0.49,4.09,5.22,0.43,6,0.17,0,0,0.2,0,0,0,0.05,0,0,13,0.37,30.77,0,0.03,0.14,20,0.06,100,0.32,54.55,1.04,0.09,0,16.48,0.17,0.2,28.7,87.05,11.1,76.1,1.33,95.65,13.75,95.81,3.69,53.91,21.25,39.09,0,0.09,0,0,0,0,0.03,1.87,50.77,0.26,33.33,0.03,0,0.23,0.03,4.24,63.95,0,,0,,0,0,0,0,,,0.89,,
