Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Andrés Prieto,Ponferradina,Ponferradina,GK,31,3939,0,0,0,0,Spain,1.35,0.07,66.67,0.14,83.33,0,0,0.02,1.3,1.83,0.02,3,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,100,0,0,0,11.54,0.34,0.11,17.91,83.04,11.13,75.36,0,0,6.37,96.42,8.66,68.87,36.65,49.01,0,0,0,0,0,0,0,3.63,60.38,0.23,10,0.09,25,0.05,0,5.71,83.6,44,1.01,181,4.14,12,75.69,42.84,0.98,-1.16,-0.027,0,0.96,0.14
G. Gazzaniga,Real Murcia,Real Murcia,GK,31,3816,0,0,1,0,Argentina,1.72,0.09,25,0.31,84.62,0,0,0,1.7,2.16,0.02,5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0.24,50,0.02,0,0,9.72,0.09,0.17,17.83,81.22,11.06,71.64,0,0,6.18,96.95,6.65,58.16,33.61,49.34,0,0,0,0,0,0,0,1.93,46.34,0.26,9.09,0.17,0,0.02,0,5.17,73.52,33,0.78,137,3.23,15,75.91,36,0.85,3,0.071,0,1.72,0.31
I. Martínez,Unionistas de Salamanca,Unionistas de Salamanca,GK,23,3728,0,0,0,0,Spain,1.88,0.07,0,0.24,90,0.02,0.03,0,1.86,2.3,0,3,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,71.43,0,0,0.02,12.05,0.19,0.17,20.62,82.32,13.25,74.5,0.05,100,6.47,97.01,11.56,70.56,38.71,51.43,0,0,0,0,0,0,0,3.94,64.42,0.17,14.29,0.29,33.33,0.02,0,8.62,82.35,46,1.11,149,3.6,11,69.13,38.68,0.93,-7.32,-0.177,0.05,1.76,0.24
Rubén Gálvez,Teruel,Recreativo Huelva,GK,32,3721,0,0,0,0,Spain,1.57,0.07,33.33,0.15,83.33,0,0,0,1.55,2.13,0.02,3,0.07,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,66.67,0.27,90.91,0,0,0,14.63,0.15,0.31,23.32,83.61,14.32,75,0.02,0,8.01,98.49,10.62,67.2,36.21,50.79,0,0,0,0,0,0,0,3.39,51.43,0.24,0,0.12,20,0.02,0,8.37,79.19,51,1.23,168,4.06,11,69.64,46.64,1.13,-4.36,-0.105,0,1.02,0.15
Alberto González,Real Murcia,Real Murcia,"LCB, RCB",32,3710,2,2.19,1,0,Spain,5.53,3.37,66.19,3.95,57.67,0.1,0.12,0.58,3.2,4.02,0.87,7,0.17,1,0.02,0.24,0.05,2,0.05,0.05,1,0.02,14,0.34,35.71,14.286,0.02,0.12,20,0.07,100,0.46,47.37,0.61,0.78,0.02,23.34,0.17,0.19,36.51,84.85,16.79,73.7,1.36,98.21,15.5,94.99,8.47,62.46,24.08,39.36,0,0,0,0,0.02,100,0.02,5,63.11,0.29,50,0,0,0.1,0,8.05,75.9,0,,0,,0,0,0,0,,,1.02,,
Miguel Bañuz,Cultural Leonesa,Cultural Leonesa,GK,31,3703,0,0,0,0,Spain,1.94,0.1,50,0.36,100,0.02,0.03,0,1.87,2.61,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.07,0,0,0,0,13.34,0.17,0.07,22.77,87.41,11.79,77.11,0.02,100,9.89,99.02,6.51,60.45,29.5,48.54,0,0,0,0,0,0,0,1.75,50,0.17,14.29,0.02,0,0.02,0,4.69,67.36,43,1.05,136,3.31,9,68.38,38.38,0.93,-4.62,-0.112,0.02,1.65,0.36
Lucas Díaz,Fuenlabrada,Fuenlabrada,GK,29,3693,0,0.01,0,0,Switzerland,1.54,0.02,100,0.29,91.67,0,0,0,1.51,1.82,0,1,0.02,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0.07,100,0,0,0,9.33,0.24,0.1,16.06,76.33,11.45,69.36,0.02,100,4.36,94.97,9.38,62.34,42.31,55.35,0,0,0,0,0,0,0,4.41,60.22,0.27,9.09,0.22,11.11,0.02,0,7.19,77.29,48,1.17,188,4.58,8,74.47,43.36,1.06,-4.64,-0.113,0.02,1.51,0.29
Iván Martínez,Cacereño,Yeclano,GK,29,3645,0,0,0,0,Spain,2.02,0.02,0,0.27,90.91,0,0,0,2.02,2.79,0,3,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,80,0,0,0,7.7,0.15,0.17,15.58,84.31,10.3,78.18,0,0,5.04,99.02,7.68,74.6,39.5,51.03,0,0,0.02,0,0,0,0,3.41,67.39,0.07,0,0,0,0,0,6.42,84.23,32,0.79,112,2.77,12,71.43,28.12,0.69,-3.88,-0.096,0,1.98,0.27
Iván Pérez,Alcorcón,Antequera,"LCB, RCB",32,3643,1,1.49,0,0.87,Spain,8.82,4.79,68.04,3.24,50.38,0.35,0.55,0.49,5.21,8.34,0.69,4,0.1,0,0,0.35,0.02,1,0.02,0.04,0,0,9,0.22,44.44,11.111,0,0.15,50,0.22,66.67,1.36,41.82,0.62,0.79,0.07,36.12,0.2,0.72,51.61,85.83,23.42,76.05,3.43,95.68,20.97,95.05,7.66,47.42,23.68,45.34,0.02,0.17,0.02,0,0.05,50,0.02,8.65,62,0.79,25,0.52,14.29,0.22,0.05,10.72,76.96,0,,0,,0,0,0,0,,,2.92,,
Juan Palomares,Mirandés,Mérida AD,GK,25,3625,0,0,0,0,Spain,1.37,0.07,33.33,0.25,90,0,0,0,1.34,1.77,0,4,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,100,0.1,50,0,0,0,11.5,0.2,0.02,19.09,79.58,12.76,70.62,0,0,5.74,98.7,9.41,61.21,36.94,51.77,0,0,0,0,0,0,0,3.43,52.17,0.2,0,0.25,20,0,0,7.05,76.06,48,1.19,144,3.58,10,66.67,45.71,1.13,-2.29,-0.057,0,1.51,0.25
Carlos Abad,Hércules,Hércules,GK,30,3555,0,0.03,0,0,Spain,1.22,0.08,33.33,0.28,90.91,0,0,0,1.19,1.69,0.03,2,0.05,0,0,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0.03,100,0.15,66.67,0.03,0,0.03,10.03,0.25,0.15,15.82,81.44,9.22,70.88,0,0,5.87,96.55,7.04,63.31,34.63,48.41,0,0,0,0,0,0,0,1.34,41.51,0.15,0,0.05,0,0,0,5.29,68.42,43,1.09,146,3.7,9,70.55,42.24,1.07,-0.76,-0.019,0,1.39,0.28
Gabri Clemente,Marbella,Yeclano,"LCB, RCB",26,3534,1,2.32,1,1.18,Spain,8.12,5.3,75.96,5.17,47.78,0.08,0.1,0.28,4.02,5.48,0.87,5,0.13,0,0,0.46,0.03,1,0.03,0.06,1,0.03,14,0.36,35.71,7.143,0.03,0.36,50,0.2,62.5,1.1,53.49,0.71,1.2,0.1,10.34,0.36,1.25,24.02,70.73,13.57,60.79,1.6,93.65,7.21,83.04,6.6,48.26,24.96,39.56,0.03,0.36,0,0,0.05,50,0.13,6.24,53.47,1.15,24.44,0.36,7.14,0.36,0.13,7.41,69.76,0,,0,,0,0,0,0,,,0.79,,
Juan Rodríguez,Lugo,Lugo,RCB,30,3514,3,2.44,0,0.42,Spain,7.2,4.87,66.32,4.28,56.89,0.26,0.32,0.44,3.71,4.69,1.05,12,0.31,0,0,0.2,0.08,3,0.08,0.06,2,0.05,12,0.31,58.33,25,0,0.08,0,0.1,25,0.9,42.86,0.41,0.36,0,21.85,0.23,0.36,37.09,81.84,19.11,72.39,1.72,95.52,13.68,92.88,7.79,50.33,23.27,36.5,0.01,0.08,0,0.05,0,0,0.03,5.28,57.77,0.64,20,0.31,50,0.13,0,8.35,69.02,0,,0,,0,0,0,0,,,1.38,,
Peru Rodríguez,Real Sociedad B,Real Sociedad B,"LCB, RCB",23,3483,2,2.14,0,0.31,Spain,8.97,5.3,79.02,4.6,50,0.08,0.11,0.78,4.7,6.4,0.36,3,0.08,1,0.03,0.21,0.05,1,0.03,0.06,0,0,17,0.44,35.29,11.765,0,0.08,33.33,0.08,33.33,0.57,31.82,0.54,1.4,0,34.44,0.26,0.28,51.32,85.95,19.74,71.86,2.45,96.84,26.05,95.63,9.28,57.38,24.07,39.63,0.01,0.1,0.03,0.03,0.03,0,0.03,6.46,65.6,0.44,17.65,0.13,20,0.16,0.03,9.74,68.44,0,,0,,0,0,0,0,,,1.4,,
S. Camus,Tarazona,Tarazona,"RCB, RB",28,3474,1,0.31,1,1.71,Spain,8.58,5.65,63.76,3.34,54.26,0.26,0.3,0.54,4.72,5.55,0.85,6,0.16,0,0,1.11,0.03,1,0.03,0.01,0,0,7,0.18,57.14,14.286,0.03,1.61,38.71,0.85,45.45,2.85,48.18,0.13,0.34,0.05,10.08,0.34,1.32,23.29,65.07,13.55,56.41,2.25,94.25,5.65,74.31,8.13,50.64,26.84,40.64,0.04,0.41,0.03,0,0,0,0.16,6.14,46.84,2.1,43.21,0.41,43.75,0.36,0.54,7.33,69.96,0,,0,,0,0,0,0,,,0.85,,
Samu Pérez,Antequera,Atlético Sanluqueño,GK,28,3464,0,0,0,0,Spain,1.82,0.1,75,0.23,100,0.03,0.03,0.03,1.71,2.27,0.03,1,0.03,1,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0.08,100,0.03,0,0,9.51,0.23,0.03,16.42,80.7,10.47,71.46,0,0,5.33,98.54,7.4,62.11,37.32,53.02,0,0,0,0,0,0,0,2.62,51.49,0.26,0,0.21,37.5,0,0,5.77,72.52,42,1.09,156,4.05,12,73.08,47.22,1.23,5.22,0.136,0,1.53,0.23
Andreu Hernández,Intercity SJ D' Alacant,Intercity SJ D' Alacant,"RCB, LCB, CB",28,3421,1,2.07,0,1.15,Spain,9.21,6.24,72.57,3.74,54.93,0.21,0.29,0.58,4.47,6.27,0.74,7,0.18,0,0,0.26,0.03,1,0.03,0.05,0,0,8,0.21,25,12.5,0,0.39,40,0.05,100,0.61,47.83,0.42,0.55,0.03,27.91,0.37,0.24,41.22,80.73,17.99,65.79,2.95,91.96,17.81,93.65,9.84,49.47,27,46.61,0.03,0.16,0,0.03,0,0,0.03,7.21,49.64,1.5,31.58,0.82,29.03,0.42,0.18,9.37,72.47,0,,0,,0,0,0,0,,,2.21,,
Álvaro Mayorga,Algeciras,Yeclano,"RCB, LCB",26,3415,0,1.35,0,1.38,Spain,8.75,4.69,69.66,3.37,59.38,0.18,0.25,0.53,5.3,7.18,1.13,10,0.26,0,0,0.55,0,0,0,0.04,0,0,15,0.4,40,0,0,0.32,8.33,0.55,66.67,1.98,64,0.66,0.84,0.11,12.36,0.32,1.11,27.94,77.92,14.73,67.98,1.5,87.72,9.8,91.13,7.51,53.33,26.03,40.48,0.04,0.4,0,0.03,0,0,0.08,6.69,57.09,0.55,14.29,0.18,28.57,0.26,0.05,8.09,76.22,0,,0,,0,0,0,0,,,0.87,,
Guilherme Fernandes,Real Valladolid,Betis Deportivo,GK,24,3403,0,0,0,0.32,Portugal,2.04,0.05,50,0.42,100,0.03,0.04,0,1.98,3.11,0.03,1,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.19,85.71,0,0,0,21.66,0.19,0.16,30.33,82.48,17.06,70.54,0,0,12.35,97.86,12.11,61.14,34.2,51.91,0.01,0.03,0,0,0,0,0.03,5.24,47.47,0.69,11.54,0.45,29.41,0.03,0,8.04,74.01,50,1.32,154,4.07,10,67.53,51.66,1.37,1.66,0.044,0,1.16,0.42
Antonio Espigares,Gil Vicente,Villarreal B,"LCB, RCB",20,3402,0,1.27,1,1.37,Spain,6.46,4.07,58.44,3.97,62.67,0,0,0.48,4.07,5.23,0.77,4,0.11,0,0,0.13,0,0,0,0.03,0,0,9,0.24,33.33,0,0.03,0.08,33.33,0.05,50,0.71,40.74,0.37,0.29,0.03,25.4,0.24,0.21,39.15,87.77,14.34,78.41,1.48,89.29,20.13,95.14,5.34,55.45,21.85,37.12,0.04,0.11,0.03,0,0,0,0.08,4.18,62.66,0.37,21.43,0.13,20,0.13,0.03,5.95,64.89,0,,0,,0,0,0,0,,,1.14,,
Ibaider Garriz,Osasuna Promesas,Osasuna Promesas,"LCB, RCB",24,3399,1,0.95,0,0.19,Spain,8.42,6.62,71.6,2.94,60.36,0.11,0.12,0.56,3.57,4.21,0.93,8,0.21,0,0,0.4,0.03,1,0.03,0.03,1,0.03,7,0.19,14.29,14.286,0,0.16,50,0.64,45.83,2.44,52.17,0.34,2.54,0.45,19.41,0.05,1.11,32.62,82.79,12.5,63.98,3.28,96.77,14.25,95.35,5,52.38,23.16,37.72,0.01,0.16,0,0,0,0,0.03,5.32,57.71,0.48,50,0.26,40,0.21,0.05,6.2,68.8,0,,0,,0,0,0,0,,,2.04,,
I. Herrerín,Sestao River,Sestao River,GK,37,3384,0,0,0,0.35,Spain,2.1,0.11,50,0.4,93.33,0.08,0.11,0,1.97,2.65,0.03,2,0.05,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,75,0.21,50,0,0,0,12.23,0.11,0.11,20.11,73.15,15.27,66.38,0,0,4.55,94.74,12.9,59.59,43.52,53.62,0.01,0.03,0,0,0,0,0,6.01,47.35,0.48,27.78,0.27,60,0.13,0,7.98,83.67,42,1.12,133,3.54,6,68.42,42.96,1.14,0.96,0.026,0,1.52,0.4
D. García,Arenteiro,Arenteiro,GK,30,3359,0,0,0,0.24,Spain,2.38,0.11,50,0.38,92.86,0,0,0.03,2.33,3.18,0.03,2,0.05,1,0.03,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0.16,66.67,0,0.03,0,18.65,0.27,0.21,30.22,80.05,18.46,69.38,0.03,0,10.93,97.79,13.34,58.84,36.53,54.45,0.01,0.03,0,0,0,0,0,7.72,52.08,0.75,10.71,0.67,16,0.11,0,9.24,77.1,36,0.96,131,3.51,10,72.52,34.85,0.93,-1.15,-0.031,0,1.53,0.38
José Carlos,Recreativo Huelva,Zamora,LCB,29,3356,2,3.94,2,0.48,Spain,8.29,4.67,68.97,2.76,59.22,0.08,0.11,0.62,4.99,6.98,0.8,10,0.27,0,0,0.46,0.05,2,0.05,0.11,0,0,22,0.59,45.45,9.091,0.05,0.13,20,0.16,83.33,0.97,47.22,0.67,1.02,0,18.83,0.43,0.48,35.67,78.8,16.98,64.93,2.65,97.98,13.62,91.73,7.83,43.84,25.32,41.14,0.01,0.11,0,0.03,0.03,100,0.03,6.81,56.3,0.88,24.24,0.43,18.75,0.24,0.03,8.02,66.22,0,,0,,0,0,0,0,,,2.04,,
Álex Martínez,Marbella,Atlético Sanluqueño,"LB, LCB",35,3351,1,1.52,5,4,Spain,7.01,4.65,62.43,1.26,36.17,0.4,0.52,0.27,3.71,4.83,0.35,6,0.16,0,0,1.4,0.03,1,0.03,0.04,0,0,16,0.43,37.5,6.25,0.13,2.23,40.96,0.62,52.17,2.12,39.24,0.19,2.23,0.59,29.01,0.86,0.46,41.71,81.78,19.02,74.72,4.97,97.84,11.2,85.13,6.98,51.15,20.42,40.08,0.11,0.86,0.08,0.05,0,0,0.24,6.93,72.87,2.42,46.67,0.35,30.77,0.24,0.94,10.29,75.2,0,,0,,0,0,0,0,,,0.54,,
Alejandro Iturbe,Elche,Atlético Madrid B,GK,21,3350,0,0,0,0,Spain,1.5,0.03,100,0.3,90.91,0.03,0.04,0,1.45,2.19,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,66.67,0,0,0,23.21,0.32,0.16,31.06,89.01,12.81,77.78,0.03,0,17.41,96.91,6.99,58.46,27.3,47.73,0,0,0.03,0,0,0,0,2.07,40.26,0.3,0,0.13,20,0,0,4.38,66.87,33,0.89,118,3.17,10,72.03,32.44,0.87,-0.56,-0.015,0,1.29,0.3
Antonio Montoro,Pontevedra,Hércules,"RCB, LCB",28,3331,1,0.62,0,0.03,Spain,8.59,4.94,75.96,4.57,62.13,0.14,0.19,0.89,4.7,6.71,0.57,3,0.08,0,0,0.19,0.03,1,0.03,0.02,1,0.03,6,0.16,16.67,16.667,0,0.19,0,0.19,85.71,1.03,47.37,0.35,1.13,0.08,28.59,0.46,0.43,41.31,86.27,14.81,72.99,2,94.59,21.48,95.09,6.3,49.36,22.56,40.62,0,0.05,0,0.03,0,0,0,4.46,61.82,0.32,0,0.08,0,0,0,7.13,66.29,0,,0,,0,0,0,0,,,1.49,,
Luken Beitia,Real Sociedad B,Real Sociedad B,"RCB, LCB",21,3311,1,0.99,2,0.39,Spain,8.1,4.38,67.08,4.02,45.95,0.14,0.18,0.6,5.03,6.74,0.6,6,0.16,0,0,0.19,0.03,1,0.03,0.03,0,0,3,0.08,33.33,33.333,0.05,0.05,50,0.27,50,1.11,36.59,0.22,1.39,0.05,31.23,0.24,0.35,47.03,87.57,19.03,78.57,2.28,94.05,22.43,95.76,6.55,59.34,23.45,42.54,0.01,0.03,0.05,0.03,0,0,0.08,5.98,70.45,0.33,25,0.24,33.33,0.14,0.03,8.97,76.06,0,,0,,0,0,0,0,,,1.69,,
Alberto Quintana,Real Unión,Real Unión,"LCB, RCB",23,3305,0,0.96,2,0.85,Spain,8.61,4.55,76.65,3.38,58.87,0.16,0.21,0.93,4.96,6.38,0.65,5,0.14,1,0.03,0.44,0,0,0,0.03,0,0,10,0.27,30,0,0.05,0.16,50,0.44,50,1.85,39.71,0.46,0.98,0,25.54,0.46,0.27,40.44,83.7,17.97,71.52,2.75,97.03,16.31,93.82,5.75,47.87,21.39,38.68,0.02,0.05,0,0,0.11,50,0.05,5.39,60.61,0.63,43.48,0.41,53.33,0.22,0.08,8.5,64.42,0,,0,,0,0,0,0,,,1.61,,
Óscar Sanz,Gimnàstic Tarragona,Gimnàstic Tarragona,"RCB, RCMF, RDMF",25,3298,0,1.76,1,1.07,Spain,7.91,5.43,61.31,5.1,60.96,0.27,0.4,0.38,4.31,6.37,1.61,9,0.25,0,0,0.71,0,0,0,0.05,0,0,22,0.6,22.73,0,0.03,0.65,29.17,0.68,56,2.29,55.95,0.87,0.65,0.11,25.05,0.44,0.87,41.02,79.57,17.27,66.35,4.45,95.71,15.77,90.14,7.72,49.82,22.74,39.36,0.03,0.46,0,0.03,0.05,0,0.03,7.45,56.41,1.36,30,0.65,29.17,0.38,0.22,9.52,70.77,0,,0,,0,0,0,0,,,1.31,,
Diego Alende,FC Andorra,FC Andorra,"RCB, LCB",27,3285,2,1.32,1,1.06,Spain,7.37,5.4,69.54,3.1,57.52,0.14,0.23,0.49,3.48,5.85,1.1,3,0.08,0,0,0.41,0.05,2,0.05,0.04,1,0.03,13,0.36,53.85,15.385,0.03,0.3,36.36,0.27,40,0.88,40.63,0.44,1.21,0.05,47.53,0.25,0.41,62.14,90.87,22.38,83.84,4.58,96.41,28.52,95.29,5.4,54.31,19.75,37.4,0.03,0.14,0.03,0,0,0,0.08,6.66,73.66,0.77,28.57,0.3,27.27,0.14,0.11,8.38,73.2,0,,0,,0,0,0,0,,,3.53,,
Jero Lario,Recreativo Huelva,Antequera,GK,30,3278,0,0,0,0.23,Spain,2.58,0.05,0,0.16,83.33,0,0,0,2.58,4.09,0.03,3,0.08,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,17.02,0.19,0.11,27.24,85.18,18.64,80.12,0,0,7.52,97.45,11.67,69.65,34,50.96,0.01,0.03,0,0,0,0,0,3.4,61.29,0.22,12.5,0.19,71.43,0.03,0,9.14,78.08,42,1.15,129,3.54,9,67.44,39.27,1.08,-2.73,-0.075,0,1.13,0.16
V. Murria,Tarazona,Tarazona,"LCB, CB",23,3276,0,0.98,0,0.01,Russia,8.1,4.07,75,3.41,54.03,0.25,0.29,0.77,4.81,5.73,0.66,11,0.3,1,0.03,0.16,0,0,0,0.03,0,0,8,0.22,25,0,0,0.08,66.67,0.08,66.67,0.52,47.37,0.25,0.05,0,9.04,0.11,0.38,22.36,64.62,12.45,50.55,1.32,87.5,7.39,84.76,8.05,43.34,26.03,39.78,0,0.03,0,0,0,0,0,5.38,44.39,0.58,28.57,0.33,33.33,0.14,0.05,6.95,57.31,0,,0,,0,0,0,0,,,0.77,,
Samu Casado,Algeciras,Intercity SJ D' Alacant,GK,28,3252,0,0,0,0,Spain,1.77,0.14,60,0.28,90,0,0,0,1.69,2.33,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0.19,100,0,0,0,10.79,0.08,0.14,19.59,84.04,10.41,73.4,0.03,0,8.55,96.44,8.08,64.73,34.42,50.05,0,0,0,0.03,0,0,0,2.32,50,0.08,0,0.06,50,0,0,5.95,76.28,48,1.33,175,4.84,5,72.57,49.35,1.37,1.35,0.037,0,1.11,0.28
J. Wright,Real Unión,Real Unión,GK,20,3229,0,0,0,0,England,2.26,0.08,33.33,0.17,83.33,0,0,0,2.23,2.88,0.03,4,0.11,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.17,66.67,0,0,0,10.2,0.17,0.11,20.26,82.26,11.87,71.83,0,0,7.22,98.46,8.45,62.38,35.23,51.52,0,0,0,0,0,0,0,2.82,48.51,0.2,0,0.28,20,0,0,6.22,73.99,49,1.37,154,4.29,8,68.18,51.78,1.44,2.78,0.077,0,1.31,0.17
G. Molina,AVS ,Ibiza,"RCB, LCB",25,3224,2,1.12,1,0.26,Spain,8.35,6.76,72.73,3.63,60,0.06,0.09,0.31,3.38,5.29,1.14,8,0.22,1,0.03,0.56,0.06,2,0.06,0.03,0,0,8,0.22,50,25,0.03,0.61,18.18,0.56,55,2.37,42.35,0.31,1.93,0.45,33.89,0.78,0.7,47.93,86.02,20.49,75.89,4.44,94.34,17.34,95.49,4.38,45.22,19.76,34.9,0.01,0.06,0.03,0,0.08,33.33,0.03,5.67,67.98,0.78,17.86,0.11,50,0.06,0.14,8.63,68.61,0,,0,,0,0,0,0,,,2.43,,
