Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
M. Camara,Al Sadd,Al Sadd,"DMF, RDMF, LDMF",25,1512,0,0.37,0,0.09,Mali,5.95,5.18,62.07,1.67,35.71,0.36,0.55,0,2.38,3.67,1.37,7,0.42,0,0,0.6,0,0,0,0.02,0,0,13,0.77,7.69,0,0,0.12,100,0.77,53.85,4.88,54.88,0.54,0.54,0,32.98,0.06,2.02,43.93,93.09,8.81,82.43,6.07,98.04,23.15,95.63,2.5,71.43,18.74,31.85,0.01,0.18,0,0.06,0.06,0,0,5.18,82.76,0.36,83.33,0.12,0,0.18,0.06,3.75,65.08,0,,0,,0,0,0,0,,,0.77,,
M. Verratti,Al Duhail,Al Arabi,"LDMF, AMF, LCMF",32,1621,4,1.89,3,3.5,Italy,7.72,6,64.81,1,33.33,1.28,1.88,0.33,2.55,3.75,1.22,8,0.44,1,0.06,2.67,0.22,4,0.22,0.11,0,0,17,0.94,41.18,23.529,0.17,1.22,40.91,2.22,67.5,10.22,54.35,1.11,2.61,0.28,57.3,0.67,3,71.12,90.09,22.76,84.15,8.27,91.95,28.59,92.62,6.38,73.04,17.5,34.77,0.19,1.44,0.17,0.06,0.83,33.33,0.56,12.38,83.86,4,58.33,1.55,42.86,2,0.44,10.05,88.4,0,,0,,0,0,0,0,,,0.44,,
B. Bourigeaud,Al Duhail,Al Duhail,"RDMF, LDMF, RCMF",31,1808,3,2.36,4,2.09,France,5.77,4.28,55.81,1,20,0,0,0.15,3.38,4.66,0.7,2,0.1,0,0,1.29,0.15,3,0.15,0.12,0,0,30,1.49,30,10,0.2,1.19,37.5,0.4,50,1.24,40,1.1,0.95,0.05,53.76,0.4,0.4,64.76,88.85,21.45,80.97,8.91,94.41,25.64,93.4,5.63,69.03,19.53,43.24,0.1,1.19,0.05,0.1,0.4,50,0.2,10.85,83.49,1.94,51.28,0.5,30,0.85,0.45,11.4,82.97,0,,0,,0,0,0,0,,,0.85,,
Claudinho,Al Sadd,Al Sadd,"LCMF, AMF, DMF",28,866,1,0.99,0,1.64,Brazil,5.72,4.78,58.7,0.73,28.57,0.21,0.33,0,2.7,4.29,1.25,1,0.1,0,0,3.01,0.1,1,0.1,0.1,0,0,17,1.77,47.06,5.882,0,1.77,52.94,2.29,45.45,5.92,29.82,2.08,1.56,0.21,38.87,1.45,0.94,51.24,86.21,12.99,69.6,11.95,94.78,18.5,89.89,4.36,73.81,19.31,33.2,0.17,0.94,0.21,0,0.62,33.33,0.94,7.69,78.38,2.7,65.38,0.52,60,1.25,0.94,7.69,78.38,0,,0,,0,0,0,0,,,0.73,,
Luis Alberto,Al Duhail,Al Duhail,"AMF, CF",33,1826,2,6.28,9,4.09,Spain,3.01,3.35,58.82,0.44,22.22,0.05,0.07,0,0.99,1.42,0.2,1,0.05,0,0,2.51,0.1,2,0.1,0.31,0,0,53,2.61,26.42,3.774,0.44,1.08,31.82,2.02,63.41,6.6,40.3,2.76,3.94,0.35,44.36,1.33,0.49,53.13,85.53,17.89,77.13,10.45,95.75,13.95,86.57,2.56,61.54,16,30.22,0.2,2.07,0.15,0,0.69,28.57,0.84,8.13,77.58,3.65,62.16,1.04,33.33,2.22,0.35,8.72,83.62,0,,0,,0,0,0,0,,,0.25,,
David García,Al Rayyan,Al Rayyan,LCB,31,2012,1,1.73,0,0.81,Spain,8.05,5.37,63.33,3.62,59.26,0.27,0.39,0.4,4.38,6.36,1.57,3,0.13,0,0,0.27,0.04,1,0.04,0.08,1,0.04,12,0.54,41.67,8.333,0,0,0,0,0,0.36,75,0.81,0.81,0,32.34,0.67,0.45,45.85,88,20.67,79.65,1.92,100,18.74,96.18,5.1,51.75,20.87,40.76,0.04,0.22,0.04,0,0.13,33.33,0.13,6.58,67.35,0.49,9.09,0.45,20,0.22,0,7.29,71.78,0,,0,,0,0,0,0,,,0.98,,
Róger Guedes,Al Rayyan,Al Rayyan,"CF, AMF",29,2124,19,15.6,2,2.49,Brazil,1.44,1.14,44.44,1.44,44.12,0,0,0.04,0.93,1.37,0.93,3,0.13,0,0,4.03,0.81,16,0.68,0.66,3,0.13,86,3.64,45.35,22.093,0.08,1.02,33.33,2.54,70,6.44,53.95,4.92,2.58,0.55,21.48,1.48,1.31,26.95,80.03,7.92,77.54,5.08,83.33,8.43,82.91,2.25,75.47,17.59,38.13,0.11,0.72,0.13,0.04,0.42,60,0.38,4.32,85.29,2.12,60,0.42,60,1.4,0.34,4.58,83.33,0,,0,,0,0,0,0,,,0.08,,
M. Olunga,Al Arabi,Al Duhail,CF,31,1646,12,10.01,1,0.41,Kenya,1.91,2.08,39.47,3.28,40,0.11,0.15,0.16,0.98,1.39,1.42,2,0.11,0,0,2.08,0.66,12,0.66,0.55,4,0.22,62,3.39,51.61,19.355,0.05,0.44,50,0.44,25,2.62,31.25,4.7,0.49,0,12.52,1.97,0.38,13.67,81.6,2.08,73.68,4.76,88.51,4.1,78.67,0.44,62.5,16.06,12.58,0.02,0.44,0,0.11,0,0,0.05,0.87,87.5,0.55,50,0,0,0.44,0.16,1.37,68,0,,0,,0,0,0,0,,,0.11,,
Giovani,Al Sadd,Al Sadd,"RAMF, RW",21,1296,4,5.01,1,3.71,Brazil,3.89,4.86,44.29,1.11,18.75,0.07,0.12,0.07,1.67,2.8,1.74,2,0.14,0,0,6.11,0.28,4,0.28,0.35,0,0,38,2.64,47.37,10.526,0.07,2.43,31.43,6.53,60.64,10,51.39,4.17,5.21,0.76,18.13,1.6,0.83,22.15,76.49,5.07,71.23,5.9,94.12,6.53,65.96,0.83,66.67,15.59,8.31,0.26,1.11,0.14,0.07,0.28,50,0.56,2.08,73.33,2.36,55.88,0.42,66.67,1.53,0.56,3.47,80,0,,0,,0,0,0,0,,,0,,
Rafa Mújica,Al Sadd,Al Sadd,CF,27,1663,18,13.85,0,1.06,Spain,2.6,3.19,57.63,1.84,32.35,0.05,0.09,0.11,0.7,1.13,1.57,2,0.11,0,0,2.87,0.97,17,0.92,0.75,2,0.11,71,3.84,50.7,25.352,0,0.49,55.56,1.68,38.71,5.95,41.82,5.47,0.81,0.16,9.04,1.03,1.35,8.98,83.13,1.35,64,2.49,91.3,3.03,87.5,0.32,50,15.78,6.07,0.06,0.32,0.11,0.05,0,0,0.27,0.76,85.71,0.27,60,0,0,0.32,0.27,0.92,82.35,0,,0,,0,0,0,0,,,0.05,,
