Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Abakar Gadzhiev,Dynamo Makhachkala,Premier League,2024/2025,1151,12.79,28,Right Centre Forward,Right Attacking Midfielder,Man,Russia,21,30/12/03,180,0.08,0.08,0.16,0.08,2.11,4,19,3,,0.09,0,0.06,0.94,0,0.01,0.31,0,0.05,0.63,0.08,0.22,3.05,-0.14,4.07,2.19,1.88,54,0.94,0,2.42,3.6,0.78,0.53,1.09,0.47,28.54,12.43,0.03,5.16,54.36,5.32,8.21,1.95,2.74,64,1.21,1.74,2.19,38,1.09,30,1.09,0,24.39,15.51,3.83,5.47,0.55,57.15,15.32,63,4.69,86,0.39,0,0,24.47,59,1.95,77,39,1.33,4.77,24,61,2,63.2,3.13,0.21,0.36,27.13,79,4.82,7.74,1.41,0.55,0.86,0.23,2.66,3.21,0.08,17,0.39,24,0.39,23,62,15,20,63,17,19.67,13.34,0.92,102,-6.34,18.01,13.65,0,0,0,0,0,,0,0,,0,0,0,0,0,0,31,12,3.57,32,0.13,0.05,0.03,-0.1,,0.11
Abbosbek Fayzullaev,CSKA Moscow,Premier League,2024/2025,1955,21.72,27,Left Attacking Midfielder,Left Centre Midfielder,Man,Uzbekistan,21,02/10/03,167,0.09,0.09,0.12,0.07,1.8,5,49,3,,0.16,0.18,0.14,1.52,0.14,0.12,1.2,0.05,0.02,0.32,0.28,0.26,3.31,0.01,2.39,0.83,1.57,35,1.98,0,2.3,3.59,0.6,0.69,0.37,0.36,26.56,11.74,0,4.83,49.23,4.01,6.68,1.8,2.39,75,1.93,2.62,1.84,54,0.6,29,0.64,0.05,22.93,25.3,4.1,4.93,0.64,50.39,10.91,48,3.78,77,0.23,0,0,34.02,74,2.3,25,55,1.01,3.54,26,70,-4,61.94,4.37,0.5,0.69,35.82,85,5.92,12.61,1.8,1.43,0.37,0.51,3.27,4.7,0.18,28,0.83,39,0.64,17,65,18,18,62,20,18.57,16.15,0.98,103,-2.43,18.19,16.68,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,8,5.85,38,0.03,0.09,0.01,0.01,,0.13
Abdula Bagamaev,Fakel,Premier League,2024/2025,83,0.92,3,Left Defensive Midfielder,Right Wing,Man,Russia,20,17/10/04,175,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2.17,0,0,0,0,24.93,10.84,0.07,1.08,46.57,1.08,2.17,3.25,3.25,100,1.01,1.01,1.08,100,0,33,1.08,0,20.6,8.72,0,8.67,0,47.79,9.76,47,6.5,75,1.08,0,0,11.93,64,0,43,0,0,1.08,45,60,-4,48.48,1.08,0,0,7.59,71,1.95,1.08,0,0,0,0,0,0,0,,0,,0,18,73,9,100,0,0,22.17,14.66,0.91,91,-7.51,20.07,13.32,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,-0.04,-0.04,0,,,-0.08
Abdulpasha Dzhabrailov,Dynamo Makhachkala,Premier League,2024/2025,368,4.08,10,Centre Defensive Midfielder,Right Defensive Midfielder,Man,Russia,20,23/11/04,177,0,0,0.02,0.03,0.73,0,0,0,,0,0,0.03,0.24,0,0.03,0.24,0,0,0,0,0.05,0.98,-0.05,0.73,0.49,0.24,67,0.73,0,0.73,1.71,0.98,0.59,2.69,1.48,32.08,17.14,0.1,5.63,42.35,6.37,12,3.18,4.16,76,2.51,3.1,2.45,50,0.98,58,1.71,0,26.45,19.39,4.41,5.14,0.73,45.53,11.26,43,3.67,71,0,0,0,30.36,81,2.94,16,92,2.69,3.18,17,77,-4,53.61,3.92,0.21,0.22,22.53,91,4.52,7.59,0.98,0.98,0,0,0,0.98,0,25,0.24,50,0,25,67,9,13,74,13,19.34,13.57,1.03,104,-5.78,19.99,14.17,0,0,0,0,0,,0,0,,0,0,0,0,0,0,15,6,3.26,24,0.11,0.05,0.14,-0.02,,0.27
Abu-Said Eldarushev,Akron,Premier League,2024/2025,68,0.75,1,Centre Forward,,Man,Russia,23,16/10/01,180,1.33,1.33,0.08,0.06,1.33,100,100,6,,0.7,1.33,0.11,1.33,1.33,0.11,1.33,0,0,0,2.66,0.19,2.66,2.47,0,0,0,,1.33,0,1.33,1.33,1.33,1.77,0,0,17.31,7.99,0,1.33,71.11,3.99,6.66,0,1.33,,0,1.77,2.66,,0,50,2.66,0,14.64,19.49,1.33,3.99,0,73.03,13.31,91,2.66,67,0,0,0,14.64,55,0,25,0,0,1.33,36,50,-5,64.71,0,0.02,0.21,7.99,67,7.49,2.66,0,0,0,1.33,5.33,5.33,0,,0,0,1.33,0,82,18,0,50,50,16.45,10.26,0.92,129,-6.19,15.2,13.28,0,0,0,0,0,,0,0,,0,0,0,0,0,0,36,9,2.66,26,-0.03,-0.04,0,0.21,,0.13
Adolfo Gaich,CSKA Moscow,Premier League,2024/2025,14,0.16,1,Centre Forward,,Man,Argentina,26,25/02/99,190,0,0,0.52,0.08,6.25,0,100,14,,2.36,0,0,0,0,0,0,0,0,0,0,0.52,6.25,-0.52,0,0,0,,12.5,0,0,6.25,0,0,0,0,6.25,0,0,0,,6.25,6.25,0,0,,0,0,6.25,,0,100,6.25,0,0,0,0,0,0,,0,,0,,0,0,0,18.75,67,0,0,,0,0,33,0,-67,47.17,0,0.52,0.52,12.5,100,4.66,0,0,0,0,0,0,0,0,,0,,0,0,67,33,,,,13.05,12.71,1.01,,-0.34,13.22,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,-0.01,0.21,0.03,0.18,,0.42
Albert Gabaraev,Fakel,Premier League,2024/2025,230,2.55,3,Right Centre Back,Right Wing Back,Man,Russia,27,27/09/97,190,0,0,0.07,0.18,0.39,0,0,0,,0,0,0.02,0.39,0,0.02,0.39,0,0,0,0,0.09,0.78,-0.09,0.78,0.39,0.39,50,0.78,0,0.39,1.17,1.17,0.79,3.52,4.34,14.1,6.66,0.08,5.87,29.84,2.35,8.62,0.39,1.57,25,0.54,1.34,0.39,0,1.17,50,1.96,0,13.71,13.88,3.13,1.17,0.39,32.99,3.13,23,0.78,67,0,0,0,30.94,81,2.35,11,55,4.31,3.52,13,67,-14,48.68,2.74,0.24,0.24,26.24,96,4.25,7.44,1.17,0.39,0.78,0,1.96,2.35,0,33,0.39,100,0.39,26,68,6,26,63,11,21.44,22.87,0.95,114,1.43,20.44,26.11,0,0,0,0,0,,0,0,,0,0,0,0,0,0,28,18,2.82,26,0.06,0.01,0.05,-0.12,,0
Aleksa Đurasović,Akron,Premier League,2024/2025,2742,30.46,30,Centre Defensive Midfielder,Left Defensive Midfielder,Man,Serbia,22,22/12/02,176,0,0,0.03,0.07,0.46,0,7,1,,0.01,0,0.04,0.33,0,0.04,0.33,0,0,0,0,0.07,0.79,-0.07,0.36,0.2,0.16,55,0.89,0,0.39,0.62,1.28,0.95,2.3,1.95,13.79,7.94,0.05,4.01,38.72,5.81,10.8,1.25,2.53,61,1.04,1.99,0.59,52,0.79,58,1.64,0,11.95,10.45,2.43,3.51,0.36,44.83,5.12,43,2.2,63,0.07,0,0,33.65,84,1.84,74,67,2.69,2.36,19,76,-8,50.58,3.97,0.31,0.37,24.59,96,4.49,7.62,0.3,0.3,0,0.07,0.66,0.95,0.03,33,0.1,38,0.1,19,74,7,25,72,2,18.92,16.07,0.99,103,-2.85,18.75,16.59,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,8,3.34,24,0.07,0.07,0.04,-0.03,,0.15
Aleksandar Jukic,Fk Rubin Kazan,Premier League,2024/2025,270,3.01,4,Right Defensive Midfielder,Left Defensive Midfielder,Man,Austria,24,25/07/00,183,0.33,0.33,0.3,0.22,1.33,25,50,1,,0.38,0,0.16,2,0,0.12,1.33,0,0.04,0.67,0.33,0.46,3.33,-0.12,0.67,0.33,0.33,50,1.33,0,0.33,0.67,1.66,0.7,1,0.49,16.64,9.65,0,3.99,51.09,4.66,7.65,0.67,2.33,40,0.33,1.02,0.33,25,1,33,0.33,0,15.64,8.53,2.99,1.66,0.33,52.74,7.99,51,1.66,100,0.33,0,0,35.61,74,3.33,16,71,1.66,3.99,13,69,-5,59.59,4.33,0.24,0.51,28.62,98,5.06,10.98,2,1,1,0.33,2,2.99,0.33,50,1.33,80,0.33,10,78,12,9,76,15,19.36,17.15,1.04,96,-2.21,20.2,16.51,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,2,8.12,61,0.08,0.06,0.04,0.27,,0.45
Aleksandr Belenov,Fakel,Premier League,2024/2025,1197,13.31,12,Goalkeeper,,Man,Russia,38,12/09/86,197,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.08,0,0,0,0,0,0,0,0.15,0.08,0,6.54,2.3,0,3.16,0,0,,0,0,0,,0,,0,0,0.15,0.07,0.08,0,0,7.47,0,0,0,,0.08,0,0,13.3,48,8.19,12,40,2.03,18.49,9,43,-5,12.77,2.63,0.03,0.03,9.55,100,7.47,1.5,0,0,0,0,0,0,0,,0,,0,74,26,0,95,5,0,57.87,51.71,0.86,89,-6.17,50.02,45.86,1.2,1.19,-0.01,66,66,0,1.06,3.53,29,12.18,1.5,0,0,19.38,0,23,3,1.2,13,0.14,0.06,,,-0.03,0.17
