Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Alfonso Liceras,Estepona,Estepona,GK,24,3446,1,0.08,0,0,Spain,2.12,0.16,83.33,0.6,91.3,0.03,0.04,0,1.96,2.77,0,3,0.08,0,0,0.05,0.03,1,0.03,0,0,0,1,0.03,100,100,0,0,0,0.03,100,0.05,100,0,0,0,10.55,0.18,0.05,20.08,81.4,11.18,70.09,0,0,8.31,95.28,7.76,58.59,36.05,54.98,0,0,0,0,0,0,0,3.16,55.37,0.29,9.09,0.16,33.33,0.03,0,5.98,71.18,29,0.76,150,3.92,13,80.67,38.67,1.01,9.67,0.253,0,2.51,0.6
Pablo García,Torrent,Torrent,GK,23,3261,0,0,0,0,Spain,1.32,0.06,50,0.43,86.67,0.03,0.04,0,1.26,1.67,0.03,2,0.06,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.26,88.89,0,0,0,12.64,0.14,0.26,21.64,78.68,14.9,70.38,0,0,5.88,97.07,11.89,62.89,41.89,56.6,0,0,0.03,0,0,0,0,6.11,59.15,0.46,12.5,0.34,50,0.06,0,8.6,83,34,0.97,117,3.35,10,70.94,29.48,0.84,-4.52,-0.13,0,1.55,0.43
Álex Lázaro,Real Balompédica Linense,Real Balompédica Linense,GK,29,3240,0,0,0,0,Spain,2.36,0.11,75,0.33,100,0,0,0.03,2.28,3.33,0,2,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0.11,100,0,0.03,0,9.14,0.06,0.14,19.42,81.69,10.67,69.53,0,0,7.89,96.48,8.03,61.59,36.07,52.37,0,0,0,0,0,0,0,3.39,61.48,0.33,16.67,0.11,50,0.06,0,5.97,80,38,1.06,143,3.97,9,73.43,43.99,1.22,5.99,0.166,0,1.94,0.33
De Pablo,Real Valladolid Promesas,Real Ávila,GK,23,3230,0,0,0,0,Spain,2.98,0.22,37.5,0.31,90.91,0.08,0.12,0,2.81,4.05,0,2,0.06,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,11.7,0.25,0.11,22.26,85.23,10.23,73.3,0.03,100,10.48,96.81,7.47,64.18,31.13,49.14,0,0,0,0,0.03,100,0,2.4,53.49,0.08,0,0.06,0,0,0,5.96,71.96,26,0.72,97,2.7,17,73.2,25.01,0.7,-0.99,-0.028,0.03,1.28,0.31
Diego Barrios,Antoniano,Antoniano,GK,30,3150,0,0,0,0,Spain,1.63,0.03,0,0.4,85.71,0,0,0,1.63,2.58,0.03,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.49,0.26,0.11,23.97,84.39,15.06,76.85,0,0,7.66,97.76,13.17,73.97,39.76,53.84,0,0,0.03,0,0,0,0,7.23,73.91,0.23,12.5,0.26,44.44,0.03,0,10.31,90.58,32,0.91,107,3.06,9,70.09,33.29,0.95,1.29,0.037,0,1.51,0.4
B. Hórreo,Llanera,Llanera,GK,25,3111,0,0,1,0.36,Spain,2.23,0.09,100,0.67,82.61,0,0,0,2.14,2.97,0,4,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.29,90,0,0,0,4.11,0.17,0.52,14.81,66.41,13.63,64.12,0,0,1.1,92.11,12.12,61.1,51.45,56.44,0.01,0.06,0.03,0.03,0,0,0.06,8.04,57.91,0.58,20,0.29,50,0.14,0,8.62,88.59,44,1.27,154,4.46,9,71.43,38.74,1.12,-5.26,-0.152,0,2,0.67
Diego Nieves,Cacereño,Cacereño,GK,26,3047,0,0,0,0,Spain,1.89,0.09,66.67,0.3,90,0,0,0,1.83,2.46,0,3,0.09,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.06,100,0,0,0,7.86,0.27,0.09,15.95,85,10.1,76.9,0.03,100,5.46,98.92,7.71,70.11,37.29,50.28,0,0,0.03,0,0,0,0,2.69,63.74,0.12,0,0.06,0,0,0,5.94,83.58,31,0.92,117,3.46,11,73.5,32.97,0.97,1.97,0.058,0,1.83,0.3
Iván Buigues,Águilas,Águilas,GK,28,3043,0,0,0,0,Spain,1.83,0.15,100,0.41,92.86,0,0,0.03,1.69,2.31,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,100,0.03,0,0,11.36,0.3,0.24,20.14,76.65,13.28,65.7,0.03,100,6.63,97.77,10.56,57.7,42.56,56.8,0,0,0,0,0,0,0,5.26,51.12,0.35,0,0.09,33.33,0,0,6.95,81.7,23,0.68,107,3.16,13,78.5,27.17,0.8,4.17,0.123,0.03,1.66,0.41
Eduardo Loscos,CD Coria,Melilla,GK,36,3043,0,0,0,0,Spain,2.04,0.12,75,0.53,88.89,0,0,0,1.95,2.8,0.03,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,100,0,0,0,7.81,0.24,0.3,16.98,86.41,9.58,77.47,0,0,6.42,97.7,5.89,65.33,30.46,50.3,0,0,0,0,0,0,0,1.57,58.49,0.12,0,0.03,100,0,0,4.55,78.57,38,1.12,139,4.11,10,72.66,44.42,1.31,6.42,0.19,0,1.8,0.53
Dennis Díaz,Marino de Luanco,Marino de Luanco,GK,32,3041,0,0,0,0,Spain,2.72,0.06,0,0.68,95.65,0.03,0.04,0,2.69,3.25,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,40,0,0,0,7.96,0.27,0.15,18.02,81.77,11.51,73.78,0.06,0,5.89,96.48,8.32,63.35,35.77,49.64,0,0,0,0,0,0,0.03,2.69,56.04,0.12,25,0.15,20,0.03,0,6.01,78.33,32,0.95,134,3.97,12,76.12,31.47,0.93,-0.53,-0.016,0,2.31,0.68
Pablo Picón,Peña Deportiva,Peña Deportiva,GK,25,3033,0,0,0,0.3,Spain,2.23,0.18,33.33,0.59,90,0,0,0,2.17,3.04,0,1,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.39,53.85,0.03,0,0,11.75,0.27,0.27,23.74,86.25,15.43,80.77,0,0,7.51,98.02,8.28,64.16,31.19,47.42,0.01,0.03,0,0,0,0,0,2.67,44.44,0.12,0,0.21,28.57,0,0,6.47,78.44,41,1.22,147,4.36,7,72.11,36.81,1.09,-4.19,-0.124,0,1.99,0.59
Iñaki Álvarez,Lleida Esportiu,Lleida Esportiu,GK,27,2979,0,0,1,0.38,Spain,2.05,0.06,50,0.33,90.91,0,0,0,2.02,3.2,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0.12,75,0,0,0,9.12,0.18,0.18,17.79,80.48,11.54,71.47,0.09,100,5.56,96.74,7.55,58.8,35.37,51.83,0.01,0.03,0,0,0,0,0.03,2.99,50.51,0.21,14.29,0.06,50,0.06,0,5.59,81.08,27,0.82,93,2.81,10,70.97,26.03,0.79,-0.97,-0.029,0,1.21,0.33
Ángel de la Calzada,San Fernando,San Fernando,GK,30,2973,0,0,0,0,Spain,1.66,0.06,50,0.3,100,0,0,0,1.63,2.48,0.06,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,50,0,0,0,6.48,0.18,0.15,13.14,85.25,7.2,75.63,0,0,5.54,97.27,5.03,65.06,32.27,49.2,0,0,0,0,0,0,0,1.21,72.5,0,0,0,0,0,0,3.94,73.85,30,0.91,107,3.24,9,71.96,32.76,0.99,2.76,0.084,0,1.42,0.3
J. Guzmán,Guijuelo,Guijuelo,GK,28,2954,0,0,0,0,Dominican Republic,1.98,0.12,75,0.49,87.5,0.03,0.04,0,1.86,2.53,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,11.21,0.3,0.18,20.9,82.65,11.33,72.58,0.03,100,8.71,95.45,8.07,63.02,35.46,51.36,0,0,0,0,0,0,0,2.83,51.61,0.21,14.29,0.12,25,0.06,0,5.7,72.19,39,1.19,149,4.54,6,73.83,37.81,1.15,-1.19,-0.036,0.03,1.83,0.49
Fran Martínez,Deportiva Minera,Deportiva Minera,GK,25,2942,0,0,0,0,Spain,1.28,0,0,0.24,100,0,0,0,1.28,2.21,0,2,0.06,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,100,0.21,57.14,0,0,0,13.86,0.46,0.12,21.81,87.52,12.6,80.34,0.06,100,7.95,97.31,7.16,67.09,30.55,51.29,0,0,0,0,0,0,0,1.68,60,0.03,0,0.03,0,0,0,5.72,73.26,36,1.1,139,4.25,10,74.1,33.43,1.02,-2.57,-0.079,0.06,1.13,0.24
