Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Tadeu,Goiás,Goiás,GK,33,2542,2,3.04,2,0.23,Brazil,2.41,0.14,75,0.42,91.67,0.04,0.05,0,2.27,3.45,0.07,3,0.11,0,0,0.14,0.07,0,0,0.11,0,0,4,0.14,100,50,0.07,0,0,0.04,0,0.39,72.73,0,0.04,0,13.95,0.25,0.28,23.69,82.36,14.83,73.75,0,0,8.6,97.53,11.26,64.78,37.13,52.19,0.01,0.04,0,0,0,0,0.07,5.45,62.34,0.46,23.08,0.28,37.5,0.18,0,8.04,80.18,25,0.89,80,2.83,8,68.75,21.41,0.76,-3.59,-0.127,0,1.38,0.42
Lucão,América Mineiro,América Mineiro,LCB,29,2529,0,0.95,0,0.05,Brazil,6.12,2.95,62.65,4.34,67.21,0.11,0.17,0.43,4.16,6.57,0.28,2,0.07,0,0,0.25,0,0,0,0.03,0,0,9,0.32,44.44,0,0,0,0,0.14,75,0.6,64.71,0.57,1.39,0,36.9,0.39,0.46,54.8,89.16,21.39,79.37,2.7,96.05,25.66,96.26,6.23,50.86,20.96,42.63,0,0.04,0,0,0.07,0,0.04,7.19,71.78,0.57,6.25,0.46,23.08,0.14,0,8.58,72.2,0,,0,,0,0,0,0,,,1.67,,
Marcelo Rangel,Remo,Remo,GK,37,2504,0,0,0,0,Brazil,1.22,0.07,100,0.4,100,0,0,0,1.15,1.53,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,66.67,0,0,0,7.87,0.04,0.07,14.16,84.77,8.23,76.42,0,0,5.57,96.77,5.97,66.87,34.83,49.9,0,0,0,0,0,0,0,1.4,48.72,0.11,0,0.11,33.33,0,0,4.1,81.58,21,0.75,144,5.18,7,85.42,32.2,1.16,11.2,0.403,0,1.29,0.4
Dênis Júnior,Ferroviária,Ferroviária,GK,27,2502,0,0,0,0,Brazil,1.61,0.22,83.33,0.37,90,0,0,0,1.42,1.91,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,75,0,0,0,8.7,0.15,0.19,16.03,83.22,9.3,71.89,0,0,6.24,99.4,6.35,60,33.77,50.77,0,0,0,0,0,0,0,1.46,53.85,0.07,0,0.04,0,0,0,4.56,75.41,26,0.97,113,4.22,6,76.99,32.92,1.23,6.92,0.259,0,1.61,0.37
Halls,Vila Nova,Vila Nova,GK,26,2451,0,0,0,0,Brazil,1.18,0,0,0.59,81.25,0,0,0,1.18,1.61,0.04,3,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.18,60,0,0,0,4.99,0.37,0.18,12.26,70.96,9.11,62.9,0,0,2.9,93.67,6.13,49.7,41.51,55.49,0,0,0,0,0,0,0,2.61,38.03,0.26,0,0.15,50,0,0,4.59,68,24,0.88,84,3.08,9,71.43,25.5,0.94,1.5,0.055,0,2.68,0.59
Henri,CRB,CRB,RCB,23,2395,0,2.09,1,0.28,Brazil,6.46,3.65,60.82,4.13,70,0.11,0.16,0.53,4.13,5.96,0.6,4,0.15,0,0,0.41,0,0,0,0.08,0,0,17,0.64,35.29,0,0.04,0.3,25,0.19,60,0.79,47.62,0.83,2.18,0,42.43,0.41,0.41,57.38,88.02,21.61,74.96,2.56,97.06,30.51,96.92,8.38,54.71,24.98,43.54,0.01,0.23,0,0.04,0,0,0.08,8.91,67.09,1.13,33.33,0.9,29.17,0.34,0.08,10.11,76.58,0,,0,,0,0,0,0,,,2.1,,
Matheus Albino,CRB,CRB,GK,30,2394,0,0,0,0,Brazil,1.65,0.16,75,0.71,88.89,0,0,0,1.53,2.22,0.04,4,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0.04,13.12,0.16,0.31,21.49,86.65,11.71,77.52,0.04,100,8.05,97.56,6.05,57.14,27.97,45.76,0,0,0,0,0,0,0,1.96,52,0.12,33.33,0.04,0,0.04,0,4.64,67.8,20,0.79,112,4.4,9,82.14,30.31,1.19,10.31,0.405,0,2.99,0.71
Eduardo Brock,Avaí,Avaí,LCB,34,2390,0,0.76,0,0.89,Brazil,10.02,5.76,71.9,2.94,67.95,0,0,0.53,5.87,7.43,0.64,3,0.11,0,0,0.3,0,0,0,0.03,0,0,9,0.34,11.11,0,0,0.3,12.5,0.26,71.43,0.6,62.5,0.3,0.72,0,32.8,0.72,0.11,48.39,81.01,23.87,70.5,1.81,87.5,20.03,93.05,11.97,52.52,25.66,42.22,0.03,0.26,0,0,0.04,100,0.11,11,63.36,1.28,29.41,0.64,23.53,0.3,0.04,12.92,76.68,0,,0,,0,0,0,0,,,1.28,,
W. Clar,Chapecoense,Chapecoense,"LWB, LB",30,2375,6,3.45,1,2.6,Paraguay,7.54,4.43,58.97,2.43,54.69,0,0,0.45,4.93,6.34,0.61,1,0.04,0,0,2.2,0.23,4,0.15,0.13,0,0,16,0.61,62.5,37.5,0.04,2.99,31.65,1.59,54.76,2.69,47.89,1.17,1.06,0.23,21.68,2.77,0.34,31.3,73.73,11.97,65.51,5.84,89.61,9.51,76.89,4.89,41.09,20.74,37.01,0.1,1.17,0.04,0,0.08,0,0.42,3.98,57.14,2.84,41.33,0.45,0,0.53,0.8,6.71,68.93,0,,0,,0,0,0,0,,,0.45,,
Fabiano,Amazonas,Amazonas,"LB, LCB",35,2359,0,0.8,0,0.23,Brazil,8.05,5.46,67.13,3.89,50,0.04,0.05,0.5,4.35,6.16,0.69,3,0.11,0,0,0.61,0,0,0,0.03,0,0,8,0.31,37.5,0,0,0.65,35.29,0.38,60,1.56,48.78,0.46,1.3,0.15,22.62,0.53,0.53,33.04,80.48,15.79,70.05,2.06,92.59,11.1,90.38,5.26,41.3,21.77,41.32,0.01,0.27,0.04,0,0.04,100,0.15,5.65,64.86,1.37,52.78,0.46,66.67,0.5,0.23,7.36,74.09,0,,0,,0,0,0,0,,,0.31,,
