Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
A.Lind,Pisa,Serie B,2024/2025,2302,25.57,32,Centre Forward,Left Centre Forward,Man,Denmark,22,25/06/02,186,0.31,0.31,0.23,0.13,1.8,17,28,4,,0.22,0.08,0.06,0.86,0.08,0.06,0.86,0,0,0,0.39,0.3,2.66,0.09,1.09,0.63,0.47,57,1.84,0,1.56,3.48,0.12,0.11,0.51,0.42,25.22,11.18,0.01,2.89,69.43,2.15,2.78,0.47,0.59,60,0.36,0.47,2.15,27,0.31,39,2.74,0,22.68,19.2,2.5,2.74,0.16,71.25,19.79,87,2.58,94,0.12,0,0,12.32,60,0.16,28,40,0.59,0.31,40,51,-10,65.28,1.17,0.4,0.54,13.37,67,5.45,4.26,0.35,0.35,0,0.43,6.22,6.57,0.04,0,0.04,13,0.82,15,71,14,14,70,17,13.34,12.27,0.98,100,-1.07,13.09,12.23,0,0,0,0,0,,0,0,,0,0,0,0,0,0,35,11,3.06,20,-0.07,-0.02,0.04,-0.04,,-0.1
A.Partipilo,Frosinone,Serie B,2024/2025,1331,14.79,25,Right Wing,Right Midfielder,Man,Italy,30,26/10/94,181,0.2,0.14,0.19,0.07,2.7,5,30,4,50,0.15,0.07,0.12,1.49,0.07,0.09,0.95,0,0.03,0.54,0.2,0.31,4.19,-0.11,2.3,1.01,1.28,44,2.91,0,1.08,3.38,0.34,0.33,0.34,0.31,19.67,9.06,0.01,3.99,52.35,2.57,5.14,1.42,1.76,60,1.35,1.69,1.49,50,0.95,12,0.27,0,16.83,15.43,2.97,3.92,0.68,54.02,9.8,58,3.38,86,0.27,0,0,29.14,75,2.84,96,67,0.74,3.85,24,78,4,60.26,4.66,0.26,0.42,33.6,88,6.03,10.88,2.37,1.69,0.68,0.34,3.99,5.68,0.27,20,0.61,41,0.54,16,74,10,20,73,7,19.85,15.07,0.98,108,-4.78,19.5,16.21,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,10,6.52,41,0.07,0.1,0.01,-0.06,,0.12
Adrian Šemper,Pisa,Serie B,2024/2025,3500,38.89,36,Goalkeeper,,Man,Croatia,27,11/01/98,194,0,0,0,,0,,,0,,0,0,0,0.03,0,0,0.03,0,0,0,0,0,0.03,0,0.03,0.03,0,100,0.13,0,0,0,0,0,0,0,0.03,0,0,5.37,2.4,0,3.47,0,0,,0,0,0,,0,,0,0,0.03,0.01,0,0,0,7.27,0,0,0,,0.03,0,0,21.99,65,9.31,14,47,2.62,17.13,11,55,-10,14.82,1.23,0.14,0.15,17.23,100,7.19,0.46,0.03,0.03,0,0,0,0.03,0,0,0,,0,53,47,0,89,11,0,44.04,45.13,0.82,88,1.08,36.32,39.87,0.8,0.84,0.04,75,74,1,0.74,3.19,34,9.49,1.32,0.03,0.03,16.79,1,16,2,1.21,8,0.11,0.06,,,-0.04,0.12
Adrián Rus,Pisa,Serie B,2024/2025,1355,15.05,25,Right Centre Back,Right Back,Man,Romania,29,17/03/96,188,0.13,0.07,0.02,0.05,0.33,20,40,0,100,0.03,0,0.04,0.8,0,0.01,0.27,0,0.03,0.53,0.07,0.06,1.13,0.01,0.2,0.13,0.07,67,0.46,0,0.4,0.33,1.39,1.11,5.05,4.33,15.21,7.44,0.06,4.65,31.68,2.79,10.76,2.13,3.52,80,1.59,2.7,2.06,56,0.53,73,2.46,0,11.09,9.59,2.72,1.86,0.4,38.84,3.39,31,1,54,0.53,0,0,35.8,70,4.72,11,58,5.71,7.51,9,48,-22,46.68,3.92,0.35,0.4,25.64,98,4.23,5.45,2.32,1,1.33,0.13,0.86,1.86,0,17,0.46,24,0.13,33,63,4,32,59,10,24.07,20.44,0.95,85,-3.62,22.8,17.38,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,8,5.79,42,0.19,0.04,0.02,0,,0.25
Ahmed Benali,Bari,Serie B,2024/2025,3058,33.97,34,Centre Defensive Midfielder,Left Defensive Midfielder,Man,Libya,33,06/02/92,173,0.03,0.03,0.07,0.06,1.03,3,31,1,,0.07,0.03,0.06,1.21,0.03,0.05,0.82,0,0.02,0.38,0.06,0.13,2.24,-0.07,0.68,0.35,0.32,52,1.21,0,0.59,0.82,1.21,1.19,1.38,1.23,23.43,11.83,0.04,6.42,38.72,5.12,12.19,2,3.21,64,1.89,3.08,1.38,37,1.15,49,0.97,0,20.05,19.59,4.89,4.15,0.82,41.43,6.45,32,2.21,53,0.41,0,0,51.63,86,3.86,20,68,1.74,5.33,14,77,-9,47.62,5.06,0.49,0.52,43.62,97,4.49,10.33,1.06,0.68,0.38,0.12,1.32,2,0.09,14,0.24,36,0.29,20,74,6,28,67,5,19.61,15.24,0.98,101,-4.36,19.21,15.42,0,0,0,0,0,,0,0,,0,0,0,0,0,0,14,8,6.73,45,0.09,0.1,0.08,0,,0.27
Ajdin Hrustic,Salernitana,Serie B,2024/2025,1109,12.32,22,Right Defensive Midfielder,Right Centre Midfielder,Man,Australia,28,04/07/96,183,0.08,0.08,0.07,0.05,1.38,6,24,1,,0.07,0,0.07,1.14,0,0.04,0.89,0,0.02,0.24,0.08,0.14,2.52,-0.05,0.89,0.32,0.57,36,1.46,0,0.81,1.38,0.41,0.23,1.06,0.98,20.38,10.8,0.01,4.55,44.42,4.46,7.47,1.06,1.46,43,0.97,1.2,1.95,30,1.38,23,0.24,0,17.53,18.74,3.57,3.73,0.57,46.56,8.2,47,2.44,65,0.49,0,0,41.56,82,3.9,84,56,1.22,6.82,12,88,5,53.36,6.33,0.31,0.35,36.69,94,5.06,12.99,1.38,0.89,0.49,0.08,1.46,2.35,0.08,18,0.24,21,0.24,18,70,12,21,68,12,20.74,15.45,0.9,99,-5.3,18.73,15.27,0,0,0,0,0,,0,0,,0,0,0,0,0,0,15,8,5.65,43,0.07,0.07,-0.04,-0.05,,0.06
Akim Djibril,Cittadella,Serie B,2024/2025,12,0.14,1,Centre Defensive Midfielder,,Man,Italy,19,21/01/06,,0,0,0,,0,,,0,,0,0,0.24,7.26,0,0.24,7.26,0,0,0,0,0.24,7.26,-0.24,0,0,0,,0,0,0,0,0,0,7.26,4.38,21.77,14.52,0,21.77,32.21,7.26,21.77,0,0,,0,0,0,,0,,0,0,21.77,13.14,14.52,7.26,7.26,42.03,14.52,67,7.26,100,0,0,0,65.32,67,7.26,0,100,7.26,7.26,0,,,45.72,14.52,0.74,0.74,58.06,100,3.19,14.52,0,0,0,0,0,0,0,,0,,0,67,33,0,100,0,0,21.45,,1.1,,,23.56,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,0,17.42,71,-0.13,0.11,0.18,,,0.16
Alberto Cerri,Salernitana,Serie B,2024/2025,1540,17.11,19,Left Centre Forward,Centre Forward,Man,Italy,29,15/04/96,194,0.18,0.12,0.29,0.12,2.46,5,36,4,33,0.19,0,0.08,1.05,0,0.08,1.05,0,0,0,0.12,0.37,3.51,-0.25,1.17,0.88,0.29,75,2.51,0,2.69,3.39,0,0,0.99,0.9,14.79,5.85,0.01,2.34,60.15,2.69,3.27,0.7,0.7,60,0.61,0.61,2.22,27,0.47,49,5.9,0,11.93,10.69,2.05,1.7,0.23,65.24,9.12,76,1.52,90,0.18,0,0,20.58,57,0.29,16,29,1.52,0.47,43,48,-10,64.32,1.11,0.39,0.55,20.11,72,4.31,6.26,0.53,0.53,0,1.05,9.06,9.59,0,0,0.06,14,1.52,17,68,14,9,79,12,14.57,14.44,0.96,94,-0.13,13.97,13.57,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,11,3.75,25,-0.11,-0.04,0.01,-0.15,,-0.29
Aldo Florenzi,Cosenza,Serie B,2024/2025,2307,25.63,29,Right Defensive Midfielder,Centre Attacking Midfielder,Man,Italy,23,01/04/02,183,0.08,0.08,0.05,0.03,1.6,5,24,2,,0.07,0.08,0.1,1.29,0.08,0.1,1.05,0,0.01,0.23,0.16,0.16,2.89,0,2.18,1.01,1.17,46,2.61,0.04,1.21,2.81,0.98,0.94,1.37,1.23,21.15,10.03,0.01,4.14,47.44,5.27,9.56,1.44,2.42,63,1.41,2.35,1.68,36,0.86,34,0.82,0,18.02,16.74,3.12,3.94,0.51,50.18,9.09,50,2.93,74,0.43,0.08,0,38.27,77,0.94,5,34,1.64,2.46,16,67,-10,58.29,5.07,0.4,0.49,38.19,90,5.77,11.51,1.01,0.7,0.31,0.31,1.48,2.18,0.04,23,0.35,25,0.31,19,69,12,20,71,9,16.63,14.19,0.93,99,-2.44,15.51,14.07,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,8,5.89,37,0.06,0.12,0.01,-0.03,,0.15
Alejandro Cichero,Frosinone,Serie B,2024/2025,136,1.51,5,Right Centre Forward,Centre Forward,Man,Venezuela,18,10/07/06,196,0,0,0.18,0.07,2.65,0,0,4,,0,0,0.02,0.66,0,0.02,0.66,0,0,0,0,0.21,3.32,-0.21,1.33,0,1.33,0,0.66,0,1.33,3.32,0,0,1.33,1.19,25.21,15.26,0,5.97,61.6,1.99,3.98,0,0,0,0,0,3.98,0,0.66,46,7.3,0,21.23,15.97,4.64,2.65,0,63.14,13.93,66,2.65,100,0,0,0.66,21.23,72,0.66,7,100,1.33,0.66,53,71,-1,57.32,0.66,0.13,0.29,14.6,68,4.84,3.98,0.66,0.66,0,0,6.63,7.3,0,100,0.66,100,0,25,63,13,0,100,0,10.94,7.62,1.04,113,-3.32,11.38,8.61,0,0,0,0,0,,0,0,,0,0,0,0,0,0,38,19,2.12,16,-0.06,0.01,-0.04,-0.14,,-0.22
