Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
C. Salcedo,Monterrey,Monterrey U21,RCB,32,28,0,0,0,0,Mexico,,,,,,,0,,,7.5,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,21.31,51.82,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,
L. Olivas,Guadalajara,Guadalajara U21,LCB,25,372,0,0.23,0,0.25,Mexico,7.5,4.35,83.33,2.66,81.82,0.24,0.36,0.24,3.63,5.36,0.97,0,0,0,0,1.45,0,0,0,0.05,0,0,3,0.73,0,0,0,0.48,100,0.48,100,1.94,62.5,1.69,2.42,0,31.94,0.48,0.48,45.97,84.74,20.32,83.33,4.35,94.44,16.45,89.71,5.56,52.17,20.79,45.14,0.06,0.48,0,0,0.48,100,0.48,6.77,67.86,0.97,50,0.48,100,0.24,0.48,10.65,72.73,0,,0,,0,0,0,0,,,1.94,,
F. Arce,Toluca,Deportivo Toluca U21,RDMF,28,98,0,0.02,0,0.05,United States,10.1,7.35,37.5,2.76,66.67,1.84,3.16,1.84,5.51,9.47,1.84,0,0,0,0,0,0,0,0,0.02,0,0,2,1.84,0,0,0,0.92,0,0.92,0,5.51,50,0,0.92,0,30.31,0,1.84,43.16,85.11,11.02,83.33,4.59,100,16.53,94.44,4.59,60,17.2,33.17,0.04,0.92,0,0,0,0,0.92,5.51,83.33,2.76,33.33,1.84,50,0.92,0,3.67,75,0,,0,,0,0,0,0,,,0.92,,
M. Isaís,Toluca,Deportivo Toluca U21,LB,24,64,0,0.07,0,0.3,United States,7.03,4.22,66.67,1.41,100,0,0,0,4.22,9,0,0,0,0,0,8.44,0,0,0,0.1,0,0,1,1.41,100,0,0,7.03,20,8.44,66.67,8.44,66.67,7.03,1.41,0,30.94,2.81,0,42.19,73.33,9.84,42.86,12.66,100,12.66,66.67,4.22,33.33,21.34,31.7,0.42,1.41,0,0,0,0,1.41,2.81,50,8.44,33.33,0,0,2.81,1.41,8.44,66.67,0,,0,,0,0,0,0,,,0,,
A. Briseño,Toluca,Deportivo Toluca U21,"RCB, LCB",31,273,0,0.05,0,0,Mexico,8.57,8.24,64,5.93,66.67,0,0,0,3.3,6.12,2.31,1,0.33,0,0,0.33,0,0,0,0.02,0,0,1,0.33,100,0,0,0,0,0,0,2.31,42.86,0.66,0.33,0,34.62,0.66,0.99,48.13,92.47,18.46,82.14,1.65,100,24.07,98.63,2.64,50,20.26,42.62,0,0,0,0,0,0,0,5.27,68.75,0.66,0,0.33,0,0,0,7.58,73.91,0,,0,,0,0,0,0,,,1.65,,
F. Tapia,Tigres UANL,Tigres UANL U21,GK,24,186,0,0,0,0,Mexico,1.94,0.48,100,0,0,0,0,0,1.45,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13,0.97,0,22.26,82.61,12.58,73.08,0,0,8.71,94.44,6.77,50,29.42,46.28,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,5.32,54.55,1,0.48,4,1.94,1,75,0.87,0.42,-0.13,-0.063,0,1.45,0
D. Ramírez,León,Club León U21,LCMF,29,64,0,0.02,0,0.17,Mexico,4.22,0,0,0,0,0,0,0,4.22,8.18,0,0,0,0,0,2.81,0,0,0,0.02,0,0,1,1.41,0,0,0,0,0,4.22,66.67,9.84,42.86,0,5.63,1.41,42.19,2.81,0,59.06,83.33,28.13,70,5.63,100,18.28,92.31,14.06,50,24.19,43.67,0.24,1.41,0,0,0,0,0,19.69,57.14,2.81,50,5.63,0,1.41,0,12.66,88.89,0,,0,,0,0,0,0,,,0,,
H. Ortega,Santos Laguna,Santos Laguna U21,RCB,25,96,0,0,0,0,Mexico,5.63,1.88,50,4.69,60,0,0,0,4.69,5.56,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,50,0.94,0,0,16.88,0,0.94,23.44,92,11.25,83.33,1.88,100,8.44,100,2.81,66.67,21.81,37.24,0,0,0,0,0,0,0,3.75,50,0.94,0,0,0,0,0,1.88,100,0,,0,,0,0,0,0,,,1.88,,
J. Gónzalez,Juárez,Juárez U21,LCMF,26,67,0,0,0,0.02,United States,5.37,2.69,50,0,0,0,0,0,4.03,3.33,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,33.33,1.34,0,0,14.78,0,0,33.58,88,10.75,75,1.34,100,12.09,88.89,1.34,0,16.9,47.29,0.03,1.34,0,0,0,0,0,5.37,75,0,0,0,0,1.34,0,5.37,75,0,,0,,0,0,0,0,,,0,,
A. Gudiño,Cruz Azul,Cruz Azul U21,GK,28,195,0,0,0,0,Mexico,0.92,0,0,0,0,0,0,0,0.92,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.31,0.46,0,43.38,93.62,16.15,88.57,0,0,24,98.08,10.15,77.27,24.13,49.84,0,0,0,0,0,0,0,2.31,60,0,0,0,0,0,0,6.46,78.57,1,0.46,6,2.77,1,83.33,1.66,0.77,0.66,0.305,0,2.31,0
I. Luna,Pachuca,Pachuca U21,"LDMF, DMF, LCMF",23,173,0,0.13,0,0,Mexico,9.36,6.76,69.23,1.04,50,0.52,0.79,0.52,4.16,6.32,2.08,1,0.52,0,0,1.04,0,0,0,0.07,0,0,5,2.6,20,0,0,0,0,0.52,100,7.28,64.29,0.52,0.52,0,19.25,0,2.6,34.34,95.45,7.8,93.33,5.2,100,16.13,96.77,4.16,87.5,21.8,41.6,0,0.52,0,0,0,0,0,4.68,88.89,0.52,0,0,0,0,0,4.16,87.5,0,,0,,0,0,0,0,,,1.04,,
G. Lajud,Atlético de San Luis,Atlético de San Luis U21,GK,31,146,0,0,0,0,Mexico,1.85,0,0,0,0,0,0,0,1.85,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.73,1.23,0,28.36,95.65,12.95,90.48,0,0,13.56,100,5.55,77.78,24.89,45.7,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,3.7,83.33,4,2.47,11,6.78,0,63.64,2.77,1.7,-1.23,-0.758,0,1.23,0
J. Piñuelas,Querétaro,Querétaro U21,RCB,27,71,0,0,0,0,Mexico,10.14,6.34,80,7.61,16.67,0,0,2.54,5.07,5.71,1.27,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,1.27,100,0,0,1.27,0,1.27,2.54,0,32.96,0,1.27,51.97,85.37,21.55,64.71,2.54,100,25.35,100,5.07,50,22.48,51.42,0,0,0,0,0,0,0,6.34,80,1.27,100,0,0,1.27,1.27,11.41,55.56,0,,0,,0,0,0,0,,,2.54,,
R. Castillo,Puebla,Puebla U21,RCMF,24,141,0,0.34,0,0.09,Mexico,4.47,5.74,55.56,0.64,100,0.64,1.07,0,0.64,1.07,2.55,0,0,0,0,5.11,0,0,0,0.21,0,0,6,3.83,16.67,0,0,1.91,66.67,5.74,44.44,19.15,30,1.91,1.28,0.64,15.32,0,1.91,24.89,76.92,12.13,73.68,3.19,80,6.38,90,1.91,100,20.13,42.13,0.06,1.28,0,0,1.28,50,0,4.47,85.71,3.83,50,1.28,50,1.28,1.28,5.74,100,0,,0,,0,0,0,0,,,0,,
Á. Robles,Puebla,Puebla U21,"AMF, RCMF, RWF",23,329,1,1.29,1,0.84,Mexico,4.1,3.28,66.67,1.64,33.33,0,0,0,1.91,3.09,0.55,0,0,0,0,3.56,0.27,1,0.27,0.35,0,0,21,5.74,23.81,4.762,0.27,0.55,50,3.28,58.33,12.86,31.91,2.74,1.64,0,23.25,1.37,1.91,29.54,88.89,6.29,78.26,5.2,89.47,12.04,93.18,2.46,88.89,16.77,25.47,0.23,1.91,0,0,0.27,0,1.09,5.47,95,1.37,80,0.27,0,1.37,0.27,3.56,92.31,0,,0,,0,0,0,0,,,0,,
E. Partida,Querétaro,Querétaro U21,"LB, LW",27,142,0,0.04,0,0.13,Mexico,8.87,3.17,100,4.44,85.71,1.27,1.2,1.27,4.44,4.2,0,0,0,0,0,2.54,0,0,0,0.03,0,0,2,1.27,0,0,0,4.44,28.57,1.9,66.67,6.34,50,0,1.27,0.63,26.62,3.8,1.9,35.49,66.07,12.04,68.42,5.07,100,12.68,55,8.87,42.86,25.95,41.06,0.08,2.54,0,0,0,0,0.63,7.61,50,3.8,33.33,0,0,0,1.27,11.41,61.11,0,,0,,0,0,0,0,,,0,,
C. Baltazar,Puebla,Puebla U21,"RCMF, LW, LCMF",28,100,0,0.1,0,0,Mexico,4.5,2.7,100,0.9,0,0,0,0,1.8,2.4,0,0,0,0,0,8.1,0,0,0,0.09,0,0,2,1.8,50,0,0,2.7,33.33,7.2,75,24.3,25.93,0,1.8,0,6.3,1.8,1.8,14.4,56.25,5.4,66.67,0.9,0,3.6,75,0.9,0,16.82,35.91,0,0,0,0,0.9,100,0,3.6,50,3.6,50,1.8,50,1.8,0.9,5.4,83.33,0,,0,,0,0,0,0,,,0,,
