Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
M. Elia,Alanyaspor,Young Boys,"CF, RW",28,950,0,4.26,1,0.56,Congo DR,3.32,4.74,44,2.65,14.29,0.09,0.14,0.09,1.14,1.63,1.8,2,0.19,0,0,3.41,0,0,0,0.4,0,0,20,1.89,30,0,0.09,3.03,37.5,3.88,41.46,10.8,25.44,3.03,1.8,0.38,12.13,2.08,0.57,19.42,75.12,2.46,65.38,6.25,92.42,7.2,68.42,0.76,62.5,17.56,11.42,0.05,0.76,0,0,0.09,100,0.38,1.14,75,3.03,56.25,0.09,100,0.76,1.23,2.75,79.31,0,,0,,0,0,0,0,,,0,,
A. Miranchuk,Dinamo Moskva,Sion,"AMF, LW",30,1462,2,3.28,3,1.88,Russia,4.86,4.49,68.49,1.54,36,0.12,0.15,0.06,1.66,2.09,0.86,1,0.06,0,0,3.08,0.12,2,0.12,0.2,0,0,33,2.03,39.39,6.061,0.18,1.23,20,2.89,63.83,7.94,48.84,2.77,2.4,0.62,27.58,1.23,1.35,37.67,78.43,13.17,70.09,6.34,91.26,10.77,84,2.22,61.11,16.15,24.95,0.12,1.11,0,0,0.74,25,0.25,5.36,78.16,2.95,39.58,1.05,29.41,1.23,0.18,5.79,81.91,0,,0,,0,0,0,0,,,0,,
F. Ugrinić,Valencia,Young Boys,"LCMF, RCMF, AMF",26,3025,3,3.4,3,6.05,Switzerland,6.63,5.33,66.48,1.64,32.73,0.03,0.04,0.09,3.06,4.53,1.01,6,0.18,0,0,2.32,0.09,2,0.06,0.1,0,0,57,1.7,28.07,5.263,0.09,1.67,35.71,2.02,60.29,6.43,46.3,1.49,1.07,0.27,29.96,0.86,0.86,47.13,85.67,14.04,74.36,8.72,95.56,16.3,89.42,3.69,58.06,18.04,34.16,0.18,1.87,0.06,0.09,0.12,25,0.33,7.94,79.03,2.68,56.67,0.45,46.67,1.19,0.65,7.97,79.85,0,,0,,0,0,0,0,,,0.8,,
B. Traoré,Basel,Basel,"LAMF, LWF, LW",22,2517,13,9.91,6,5.24,Côte d'Ivoire,4.4,4.61,51.94,1.29,22.22,0.14,0.2,0.04,1.86,2.54,1,3,0.11,1,0.04,4.65,0.46,13,0.46,0.35,0,0,70,2.5,41.43,18.571,0.21,1.75,36.73,5.58,50,13.12,40.6,4.36,2.72,0.32,21.63,1.61,1.61,27.25,76.64,6.22,67.24,6.19,93.64,7.76,77.42,0.97,51.85,16.78,16.51,0.19,1.36,0.04,0.11,0.36,50,0.89,2,73.21,3.22,56.67,0.5,35.71,2.04,0.61,5.15,74.31,0,,0,,0,0,0,0,,,0.04,,
K. Imeri,Thun,Young Boys,"LW, AMF",25,847,1,1.4,1,2.04,Switzerland,4.99,4.36,51.22,2.76,38.46,0.11,0.17,0.21,2.66,4.31,0.74,3,0.32,0,0,1.91,0.11,1,0.11,0.15,0,0,21,2.23,9.52,4.762,0.11,2.55,33.33,2.02,42.11,7.86,39.19,3.4,1.49,0.11,23.48,1.17,2.55,30.5,81.18,6.8,73.44,6.48,93.44,11.16,80.95,2.98,60.71,18.52,28.58,0.22,1.91,0,0,0.21,0,0.32,3.4,75,3.08,37.93,0.53,0,1.06,0.96,4.46,92.86,0,,0,,0,0,0,0,,,0.21,,
C. Niasse,Hellas Verona,Young Boys,"RCMF, DMF, LDMF",25,831,0,0.52,0,0.14,France,9.53,5.63,57.69,3.14,44.83,0.54,0.8,0.11,5.74,8.5,1.73,4,0.43,1,0.11,1.3,0,0,0,0.06,0,0,7,0.76,71.43,0,0,0.65,50,0.87,37.5,3.57,33.33,0.43,1.3,0.22,25.99,0.22,1.08,40.07,84.59,12.78,73.73,7.15,92.42,14.62,91.11,2.92,66.67,18.13,30.07,0.01,0.43,0.11,0.11,0.32,33.33,0.11,7.36,77.94,1.62,40,0.43,25,0.65,0.32,5.42,72,0,,0,,0,0,0,0,,,1.52,,
M. Choinière,Los Angeles FC,Grasshopper,"LCMF, RAMF, RW",26,900,1,0.95,0,0.44,Canada,8.8,8.1,70.37,2.6,34.62,0,0,0.1,3.1,4.12,1.1,2,0.2,0,0,2,0.1,1,0.1,0.1,1,0.1,8,0.8,25,12.5,0,1.5,46.67,1.4,71.43,5.4,42.59,1.4,0.8,0.2,24,0.7,1.1,36.4,81.87,12.3,72.36,7.5,96,9.9,78.79,3.1,48.39,16.69,26.71,0.04,0.4,0,0,0.2,50,0.3,5.2,80.77,2.1,57.14,0.4,50,0.6,0.8,6.1,72.13,0,,0,,0,0,0,0,,,0.3,,
M. Camara,Maccabi Tel Aviv,Young Boys,RCB,28,1401,0,0.49,0,0.07,Guinea,10.02,6.1,66.32,3.92,57.38,0.19,0.28,1.09,5.78,8.52,1.67,3,0.19,2,0.13,0.19,0,0,0,0.03,0,0,5,0.32,40,0,0,0.19,33.33,0.06,0,1.61,36,0.84,1.16,0.06,26.15,0.19,0.39,40.09,86.38,16.9,76.05,3.08,97.92,17.41,94.46,6.3,60.2,20.79,32.94,0,0.19,0,0,0,0,0,6.36,67.68,0.77,41.67,0.39,66.67,0.39,0.06,8.42,76.34,0,,0,,0,0,0,0,,,2.51,,
C. Condé,Venezia,Zürich,"DMF, LCMF, RCMF",25,1108,0,0.37,0,0.06,Guinea,12.83,8.29,73.53,2.76,58.82,1.06,1.47,0.57,5.69,7.92,0.81,4,0.32,0,0,1.22,0,0,0,0.03,0,0,11,0.89,18.18,0,0,0.32,25,1.71,52.38,5.2,39.06,0.24,1.14,0.24,21.53,0.24,1.14,37.36,80.43,16,67.01,3.82,95.74,12.83,91.14,4.55,48.21,19.56,32.72,0,0.16,0,0,0.16,50,0,7.07,66.67,1.95,41.67,0.57,42.86,0.65,0.16,7.64,71.28,0,,0,,0,0,0,0,,,0.81,,
T. Cognat,Servette,Servette,"AMF, LDMF, RDMF",27,3313,2,4.25,5,8.02,France,7.44,6.49,59.83,1.36,50,0.05,0.07,0.22,3.5,4.64,1.2,7,0.19,1,0.03,3.59,0.05,2,0.05,0.12,0,0,54,1.47,24.07,3.704,0.14,3.4,43.2,2.93,51.85,7.17,40.15,2.47,1.85,0.27,34.09,1.28,0.62,51.48,79,18.09,72.22,8.5,91.37,15.84,82.5,5.43,59.5,18.35,34.57,0.22,2.09,0.19,0.05,0.46,52.94,0.46,8.04,72.3,4.29,55.06,0.73,33.33,1.33,1.36,8.99,78.55,0,,0,,0,0,0,0,,,0.87,,
