Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
Ç. Akbaba,Boluspor,Boluspor,GK,30,4107,0,0,0,0.21,Türkiye,1.49,0.15,42.86,0.48,95.45,0.02,0.03,0,1.4,1.94,0.02,3,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14,0.22,0.04,24.89,88.47,11.29,78.45,0,0,13.24,96.85,7.95,68.87,29.29,41.08,0,0.02,0,0,0,0,0.02,1.12,41.18,0.04,0,0.07,33.33,0,0,5.13,67.09,46,1.01,157,3.44,13,70.7,49.23,1.08,3.23,0.071,0,1.71,0.48
R. Berişbek,Bandırmaspor,Bandırmaspor,RB,26,3907,2,0.48,2,4.72,Türkiye,9.49,7.03,63.93,2.03,57.95,0.32,0.45,0.23,4.68,6.46,0.67,7,0.16,0,0,1.73,0.05,2,0.05,0.01,0,0,11,0.25,27.27,18.182,0.05,2.56,39.64,0.94,60.98,3.78,46.95,0.71,1.98,0.58,20.55,1.87,1.15,31.95,75.2,13.18,65.03,3.85,94.61,9.49,79.37,4.93,54.21,19.19,32.66,0.11,0.76,0.02,0,0.21,33.33,0.32,4.86,63.98,2.74,47.06,0.51,40.91,0.46,1.04,8.06,71.14,0,,0,,0,0,0,0,,,0.37,,
A. Nukan,Bandırmaspor,Bandırmaspor,LCB,31,3777,3,2.96,1,0.28,Türkiye,8.58,3.43,77.08,6.24,67.18,0.17,0.24,0.79,5.77,8.2,0.86,9,0.21,2,0.05,0.26,0.07,3,0.07,0.07,2,0.05,28,0.67,32.14,10.714,0.02,0.12,0,0.07,66.67,0.81,23.53,1.24,0.21,0.07,20.56,0.38,0.45,33.6,82.2,14.37,70.65,1.74,91.78,14.51,93.76,4.98,53.11,22.98,40.58,0.01,0.07,0,0.02,0.02,0,0.02,4.84,58.62,0.52,27.27,0.36,20,0.19,0,7.55,66.88,0,,0,,0,0,0,0,,,1.22,,
E. Erentürk,Gençlerbirliği,Gençlerbirliği,GK,30,3768,0,0,0,0,Türkiye,1.39,0.07,100,0.36,100,0,0,0,1.31,1.79,0,3,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,100,0,0,0,10.32,0.38,0.24,15.79,82.75,9.86,77,0.02,100,5.3,92.79,6.86,65.16,33,45.6,0,0,0,0,0,0,0,1.6,47.76,0.05,0,0.02,0,0,0,4.99,73.21,34,0.81,132,3.15,18,74.24,35.41,0.85,1.41,0.034,0,1.1,0.36
A. Uysal,Manisa F.K.,Manisa F.K.,GK,31,3667,0,0,0,0,Türkiye,0.86,0.1,50,0.2,87.5,0,0,0,0.81,1.09,0.02,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0,0,0,9.38,0.1,0.05,14.48,81.69,8.91,72.73,0.02,0,5.03,97.56,6.41,60.92,32.83,44.25,0,0,0,0,0,0,0,1.28,53.85,0.02,0,0.02,0,0,0,4.86,68.69,49,1.2,153,3.76,8,67.97,46.76,1.15,-2.24,-0.055,0,1.08,0.2
I. Doğan,İstanbulspor,İstanbulspor,GK,25,3664,0,0,0,0,Germany,0.96,0.15,83.33,0.42,100,0,0,0,0.84,1.19,0,3,0.07,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,100,0.17,71.43,0,0,0,12.53,0.27,0.2,18.79,84.05,8.67,68.56,0.02,100,9.48,97.41,5.94,56.61,30.92,47.15,0,0,0,0,0,0,0,1.3,32.08,0.05,0,0.05,0,0,0,4.08,62.65,39,0.96,151,3.71,16,74.17,43.19,1.06,4.19,0.103,0,1.4,0.42
P. Djilobodji,Fatih Karagümrük,Fatih Karagümrük,LCB,36,3608,2,1.95,1,1.31,Senegal,7.81,3.12,69.6,4.59,57.61,0.7,0.95,0.57,4.94,6.72,0.67,10,0.25,0,0,0.62,0.05,2,0.05,0.05,1,0.02,15,0.37,33.33,13.333,0.02,0.42,47.06,0.35,85.71,0.7,60.71,0.75,0.8,0,25.79,0.25,0.45,41.11,78.34,22.48,68.15,2.02,93.83,14.02,93.42,10,48.88,24.62,40.55,0.03,0.2,0.05,0.02,0,0,0.1,8.83,56.78,0.97,53.85,0.42,29.41,0.45,0.17,11.13,78.48,0,,0,,0,0,0,0,,,1.57,,
O. Erdoğan,Sivasspor,İstanbulspor,RCB,26,3566,4,1.21,1,0.38,Germany,8.15,4.69,68.82,3.15,58.4,0.1,0.15,0.58,4.82,6.95,0.53,5,0.13,0,0,0.45,0.1,4,0.1,0.03,4,0.1,15,0.38,40,26.667,0.03,0.33,23.08,0.23,88.89,1.39,61.82,0.4,1.94,0.08,34.65,0.3,0.66,50.8,87.43,22.94,78.66,2.37,94.68,21.38,95.99,6.08,49.79,21.73,39.02,0.01,0.13,0.03,0.03,0.03,100,0.05,6.71,66.54,0.98,35.9,0.68,25.93,0.3,0.08,10.25,74.38,0,,0,,0,0,0,0,,,1.79,,
H. Akınay,Çorum FK,Çorum FK,GK,31,3530,0,0,0,0,Türkiye,1.81,0.2,62.5,0.31,75,0,0,0,1.68,2.47,0,3,0.08,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,60,0,0,0.03,16.16,0.43,0.2,25.04,88.29,11.68,77.73,0,0,12.26,98.13,6.99,65.69,28.46,44.93,0,0,0,0,0,0,0,1.53,40,0.15,16.67,0.08,0,0,0,4.87,69.63,39,0.99,141,3.59,10,72.34,40.01,1.02,1.01,0.026,0,1.12,0.31
O. Ovacıklı,BB Erzurumspor,BB Erzurumspor,RCB,36,3499,0,0.06,2,2.93,Türkiye,10.98,8.21,73.04,2.52,52.04,0.69,1.11,0.39,4.3,6.89,1.18,6,0.15,0,0,1.95,0,0,0,0,0,0,3,0.08,0,0,0.05,2.75,42.99,1.47,50.88,3.6,49.29,0.26,0.98,0.26,22.56,0.8,1.36,34.75,75.2,17.23,68.96,3.19,94.35,10.55,78.78,8.57,56.46,22.98,37.73,0.08,0.77,0.05,0.03,0.05,50,0.39,7.25,60.64,3.55,49.28,0.64,56,0.64,1.26,10.29,79.25,0,,0,,0,0,0,0,,,1.16,,
M. Özdemir,Pendikspor,Pendikspor,"RDMF, DMF, RCMF",31,3485,2,1.95,0,1.18,Türkiye,9.14,6.51,71.43,3.41,64.39,0.54,0.75,0.18,3.95,5.45,0.9,8,0.21,0,0,0.57,0.05,2,0.05,0.05,1,0.03,28,0.72,28.57,7.143,0,0.1,0,0.57,54.55,3.23,40,0.31,0.54,0.08,33.8,0.59,0.57,48.86,86.42,16.84,75.77,6.61,96.09,17.23,91.45,4.67,58.56,17.66,34.26,0.03,0.34,0.03,0,0.13,40,0.18,7.33,71.83,1.45,46.43,0.77,33.33,0.72,0,7.41,72.47,0,,0,,0,0,0,0,,,1.11,,
C. Topaloğlu,Ümranıyespor,Ümranıyespor,GK,33,3477,0,0,1,0,Türkiye,1.66,0.13,80,0.23,100,0,0,0,1.55,2.1,0.03,3,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0.18,42.86,0.03,0,0,12.01,0.18,0.31,19.1,81.17,12.09,72.81,0,0,6.37,96.75,8.8,63.82,34.18,47.5,0,0,0,0,0,0,0,1.99,38.96,0.23,0,0.16,16.67,0,0,6.6,71.76,39,1.01,151,3.91,13,74.17,43.12,1.12,4.12,0.107,0,1.16,0.23
M. Doh,Fatih Karagümrük,Fatih Karagümrük,"LDMF, RDMF, DMF",21,3460,2,3,2,1.13,Côte d'Ivoire,13.14,9.81,67.9,2.86,50,0.23,0.33,0.26,6.24,8.67,1.98,8,0.21,1,0.03,0.96,0.05,2,0.05,0.08,0,0,28,0.73,32.14,7.143,0.05,0.73,25,0.99,55.26,4.79,47.83,0.68,1.07,0.18,23.51,0.31,1.59,40.08,80.01,12.15,64.88,7.62,93.52,13.32,85.74,3.38,42.31,17.48,33.24,0.03,0.29,0.03,0.03,0.08,0,0.13,6.03,61.64,1.35,36.54,0.39,26.67,0.44,0.16,5.62,57.87,0,,0,,0,0,0,0,,,1.01,,
