Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
T. Tissoudali,Khorfakkan,Khorfakkan,CF,32,1054,6,2.83,3,2.78,Netherlands,2.13,2.73,53.13,1.45,35.29,0,0,0,0.68,0.89,1.2,1,0.09,0,0,3.33,0.51,5,0.43,0.24,0,0,16,1.37,68.75,37.5,0.26,1.2,42.86,4.01,42.55,7.51,40.91,4.44,1.96,0.17,12.55,2.31,0.77,16.91,74.75,3.93,60.87,4.78,91.07,4.95,79.31,0.68,12.5,16.39,22.69,0.24,1.62,0.17,0,0.26,66.67,0.6,1.71,60,1.79,66.67,0.26,66.67,2.48,0.43,1.88,81.82,0,,0,,0,0,0,0,,,0,,
João Pedro,Qatar SC,Al Wasl,CF,32,1163,9,8.72,0,0.73,Brazil,3.02,2.32,56.67,4.64,50,0.15,0.24,0.15,1.55,2.37,1.24,1,0.08,0,0,1.78,0.7,9,0.7,0.67,2,0.15,47,3.64,34.04,19.149,0,0.08,0,1.39,38.89,7.43,30.21,4.33,0.93,0.23,13.62,0.85,1.39,17.57,83.7,2.24,68.97,6.04,92.31,5.49,84.51,0.62,62.5,14.97,20.17,0.06,0.7,0,0,0,0,0.31,1.16,86.67,0.62,75,0,0,0.54,0,1.47,68.42,0,,0,,0,0,0,0,,,0,,
F. Kruspzky,Al Wahda,Al Wahda,"CF, LW, AMF",23,1707,7,7.81,2,2.91,Argentina,5.54,4.75,54.44,5.96,42.48,0.53,0.86,0.21,2.43,3.97,1.05,2,0.11,0,0,2.11,0.37,7,0.37,0.41,2,0.11,54,2.85,37.04,12.963,0.11,1.11,28.57,1.48,46.43,8.65,35.98,4.01,0.42,0.11,12.65,1.27,1.9,17.24,80.73,4.06,63.64,5.59,96.23,4.32,81.71,0.32,33.33,14.64,5.73,0.15,0.69,0.11,0,0.16,33.33,0.53,1.79,73.53,1.48,50,0.21,25,0.74,0.32,1.95,78.38,0,,0,,0,0,0,0,,,0.05,,
Gláuber,Al Nasr,Al Nasr,"LCB, CB",25,2431,2,0.72,0,0.7,Brazil,7.44,4.41,66.39,2.37,37.5,0.15,0.22,0.59,4.37,6.47,0.74,5,0.19,0,0,0.44,0.07,2,0.07,0.03,1,0.04,6,0.22,83.33,33.333,0,0.22,50,0.19,40,1.44,48.72,0.3,1.93,0,41.32,0.22,0.52,55.9,86.42,24.58,75.9,2.44,95.45,23.47,95.9,10.33,51.61,21.63,38.53,0.03,0.15,0.11,0,0.11,66.67,0.07,11.33,66.34,2.67,43.06,1.93,25,0.93,0.11,10.81,76.03,0,,0,,0,0,0,0,,,1.15,,
A. Măţan,Panetolikos FC,Dibba Al Hisn,"AMF, RW",26,106,0,0,0,0.05,Romania,3.4,3.4,25,0,0,0.85,1.43,0,1.7,2.86,2.55,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,3.4,0,1.7,50,11.04,46.15,5.09,2.55,0,33.11,2.55,4.25,40.75,79.17,11.04,84.62,9.34,100,9.34,81.82,0.85,0,21.3,9.17,0.04,1.7,0,0,0,0,0,4.25,80,2.55,33.33,0.85,0,0.85,0,3.4,100,0,,0,,0,0,0,0,,,0,,
Guilherme Biro,Al Sharjah,Al Sharjah,"RW, RAMF, LAMF",21,1156,3,2.63,1,1.43,Brazil,5.45,4.83,66.13,1.79,30.43,0.39,0.66,0,1.87,3.14,0.93,4,0.31,0,0,2.88,0.23,3,0.23,0.21,0,0,23,1.79,52.17,13.043,0.08,1.87,29.17,2.8,47.22,8.41,38.89,3.04,1.48,0.16,24.6,1.25,1.48,30.29,84.58,5.99,74.03,6.85,95.45,9.65,80.65,1.01,69.23,15.67,14.36,0.11,1.01,0,0.08,0.31,25,0.47,2.02,88.46,2.49,56.25,0.47,33.33,1.48,0.54,3.35,72.09,0,,0,,0,0,0,0,,,0,,
Mohamed Elneny,Al Jazira,Al Jazira,"RCB, RCMF, RDMF",33,2434,1,3.13,1,0.68,Egypt,5.14,3.48,62.77,1.81,40.82,0.11,0.17,0.15,2.85,4.41,0.67,5,0.18,0,0,0.7,0.04,0,0,0.12,0,0,27,1,25.93,3.704,0.04,0.26,28.57,0.26,71.43,1.48,45,0.3,0.7,0.04,36.61,0.07,0.52,47.44,89.71,16.6,79.73,4.62,98.4,20.41,95.65,5.44,57.82,20.2,39.23,0.03,0.3,0.04,0.04,0.22,83.33,0.07,7.58,72.2,1.44,58.97,0.67,50,0.85,0.07,8.21,80.63,0,,0,,0,0,0,0,,,0.78,,
Fábio Cardoso,Sevilla,Al Ain,RCB,31,1504,0,0.69,0,0.01,Portugal,6.58,3.71,74.19,2.63,54.55,0.3,0.47,0.72,3.53,5.58,1.02,3,0.18,1,0.06,0.18,0,0,0,0.04,0,0,5,0.3,20,0,0,0.18,33.33,0.06,100,0.54,66.67,0.48,0.96,0,30.88,0.48,0.36,42.67,90.18,18.07,83.77,2.33,94.87,17.35,94.83,2.93,46.94,19.38,34.4,0,0.06,0,0.18,0,0,0,5.21,70.11,0.36,50,0.3,0,0.18,0.06,6.88,74.78,0,,0,,0,0,0,0,,,1.44,,
O. Camara,Al Sharjah,Al Sharjah,"RAMF, RW, CF",24,1796,7,6.17,0,1.34,Guinea,2.91,2.96,54.24,4.11,42.68,0.1,0.16,0,1.2,1.97,1.35,4,0.2,0,0,2,0.35,7,0.35,0.31,2,0.1,40,2,40,17.5,0,0.85,23.53,1.85,54.05,6.92,40.58,3.06,1.65,0.2,14.73,1.5,1.2,17.99,79.67,4.61,67.39,4.71,94.68,3.86,77.92,0.55,45.45,14.19,15.4,0.07,0.8,0,0.05,0.05,0,0.25,1.8,75,1.1,40.91,0.1,0,0.6,0.2,1.9,71.05,0,,0,,0,0,0,0,,,0,,
G. Álvarez Suárez,Shabab Al Ahli Dubai,Shabab Al Ahli Dubai,"LCMF, RCMF, RW",32,219,0,0.59,1,0.39,Argentina,4.93,4.93,66.67,1.64,100,0,0,0.41,1.64,2.93,0.41,0,0,0,0,1.23,0,0,0,0.24,0,0,3,1.23,66.67,0,0.41,0.41,100,0,0,1.64,25,0.82,0.41,0,30,0,0.41,35.34,91.86,7.81,89.47,6.16,93.33,15.62,94.74,1.64,75,14.16,11.32,0.16,1.64,0,0,0,0,0.41,3.29,75,0.41,100,0.41,100,0.41,0.41,4.93,66.67,0,,0,,0,0,0,0,,,0.41,,
