"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Agustín Nicolas Alaniz Sani";"CF";"all";"all";"540283";"A. Alaniz";"2002-05-16";"81.65";"17.39";"7";"4";"213";"100";"39.91";"2.68";"0.47";"43.66";"24.88";"3.29";"1.03";"0.55";"13.15";"5.63"
"Agustín Nicolas Alaniz Sani";"LW";"all";"all";"540283";"A. Alaniz";"2002-05-16";"81.41";"15.85";"6";"0";"182";"100";"45.6";"3.16";"1.1";"35.71";"24.18";"2.75";"0.68";"0.34";"11.54";"4.95"
"Agustín Albarracín Basil";"LW";"all";"all";"562996";"A. Albarracín";"2005-08-29";"71.52";"14.17";"8";"0";"181";"100";"38.12";"2.44";"0";"30.39";"19.89";"3.87";"0.59";"0.31";"8.29";"4.42"
"Fernando Agustín Alfaro Bares";"LB";"all";"all";"34280";"A. Alfaro";"1999-06-29";"91.05";"17.12";"5";"0";"85";"100";"15.29";"1.04";"1.18";"38.82";"37.65";"5.88";"0.4";"0.39";"5.88";"5.88"
"Rodrigo Agustín Amado Hernández";"AM";"all";"all";"71054";"A. Amado";"2001-02-06";"76.63";"18.13";"6";"0";"75";"100";"28";"2.44";"1.33";"41.33";"33.33";"1.33";"0.42";"0.34";"6.67";"5.33"
"Rodrigo Agustín Amado Hernández";"LM";"all";"all";"71054";"A. Amado";"2001-02-06";"84.93";"20.5";"11";"0";"176";"100";"11.93";"1.09";"0";"32.95";"27.27";"3.41";"0.38";"0.32";"3.98";"3.41"
"Rodrigo Agustín Amado Hernández";"RM";"all";"all";"71054";"A. Amado";"2001-02-06";"84.34";"19.69";"8";"0";"113";"100";"10.62";"0.89";"0";"25.66";"23.01";"2.65";"0.13";"0.11";"1.77";"1.77"
"Alberto Sebastián Assis Silva";"LM";"all";"all";"26315";"A. Assis";"1993-03-04";"92.39";"16.17";"8";"0";"172";"100";"19.77";"1.48";"0";"37.79";"26.74";"5.23";"0.71";"0.34";"7.56";"3.49"
"Alberto Sebastián Assis Silva";"RM";"all";"all";"26315";"A. Assis";"1993-03-04";"95.76";"18.1";"11";"1";"259";"100";"22.78";"1.56";"0.39";"33.59";"27.41";"1.93";"0.33";"0.2";"5.41";"3.09"
"Alexis Castro";"LDM";"all";"all";"28704";"A. Castro";"1994-10-18";"83.26";"23.78";"6";"0";"181";"100";"25.41";"1.89";"0.55";"32.6";"27.62";"3.87";"0.41";"0.35";"4.42";"3.31"
