"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Gastón Exequiel Ramírez Pereyra";"LM";"all";"all";"3780";"G. Ramírez";"1990-12-02";"70.81";"16.93";"7";"0";"76";"100";"69.74";"1.39";"1.11";"75.47";"150";"0.68";"52.63";"5.26";"0";"23.68";"19.74";"13.16"
"Jonathan Matías Urretaviscaya da Luz";"LM";"all";"all";"5278";"J. Urretaviscaya";"1990-03-19";"80.58";"15.52";"5";"0";"74";"100";"64.86";"1.76";"1.27";"79.17";"154.05";"0.9";"51.35";"8.11";"1.35";"28.38";"21.62";"13.51"
"Jonathan Matías Urretaviscaya da Luz";"LW";"all";"all";"5278";"J. Urretaviscaya";"1990-03-19";"76.14";"15.23";"7";"2";"95";"100";"71.58";"1.74";"1.29";"72.06";"149.47";"0.76";"51.58";"6.32";"0";"29.47";"22.11";"11.58"
"Sebastián Coates Nión";"RCB";"all";"all";"9637";"S. Coates";"1990-10-07";"99.95";"21.75";"10";"1";"77";"100";"45.45";"0.41";"0.25";"71.43";"136.36";"0.12";"32.47";"3.9";"1.3";"2.6";"1.3";"0"
"Maximiliano Martín Olivera De Andrea";"LB";"all";"all";"14062";"M. Olivera";"1992-03-05";"89.9";"20.54";"21";"1";"275";"100";"58.18";"1.35";"0.8";"76.25";"139.27";"0.42";"44.36";"3.64";"0.36";"21.09";"13.82";"6.18"
"Mauricio Ernesto Pereyra Antonini";"AM";"all";"all";"15858";"M. Pereyra";"1990-03-15";"76.7";"22.61";"7";"1";"128";"100";"60.16";"1.96";"1.32";"80.52";"147.66";"0.85";"48.44";"9.38";"0";"31.25";"18.75";"12.5"
"Claudio Paul Spinelli";"CF";"all";"all";"19648";"C. Spinelli";"1997-01-21";"95.18";"21.5";"13";"0";"83";"100";"72.29";"2.68";"1.8";"78.33";"177.11";"0.92";"56.63";"6.02";"0";"32.53";"21.69";"10.84"
"Edgardo Andrés Schetino Yancev";"DM";"all";"all";"19661";"A. Schetino";"1994-05-26";"91.88";"15.97";"6";"2";"30";"100";"43.33";"0.95";"0.3";"69.23";"106.67";"0.17";"30";"3.33";"0";"10";"0";"0"
"Jaime Báez Stábile";"LW";"all";"all";"19673";"J. Báez";"1995-04-25";"83.25";"18.61";"8";"0";"106";"100";"62.26";"2.14";"1.52";"71.21";"169.81";"1.01";"44.34";"6.6";"1.89";"36.79";"28.3";"17.92"
"Edgar Joel Elizalde Ferreira";"LCB";"all";"all";"19791";"E. Elizalde";"2000-02-27";"97.37";"20.97";"11";"0";"83";"100";"53.01";"0.82";"0.47";"70.45";"118.07";"0.23";"37.35";"2.41";"0";"8.43";"2.41";"0"
"Mathías Sebastián Suárez";"LB";"all";"all";"22108";"M. Suárez";"1996-06-24";"90.12";"17.61";"5";"0";"38";"100";"63.16";"0.46";"0.29";"91.67";"126.32";"0.21";"57.89";"0";"0";"2.63";"2.63";"0"
"Renato César Pérez";"CF";"all";"all";"23693";"R. César";"1993-08-16";"95.98";"20.62";"10";"1";"104";"100";"72.12";"2.81";"2.09";"69.33";"184.62";"1.25";"50";"10.58";"0.96";"44.23";"30.77";"21.15"
"Christian Gabriel Oliva Giménez";"DM";"all";"all";"24075";"C. Oliva";"1996-06-01";"93.44";"20.58";"10";"1";"94";"100";"42.55";"1.01";"0.33";"85";"121.28";"0.22";"36.17";"2.13";"0";"9.57";"3.19";"1.06"
"Matias Fonseca";"CF";"all";"all";"24347";"M. Fonseca";"2001-03-12";"83.22";"16.31";"18";"2";"123";"100";"66.67";"2.77";"1.88";"68.29";"147.15";"1.11";"45.53";"8.94";"0";"48.78";"31.71";"19.51"
"Marco Gastón Rubén Rodríguez";"CF";"all";"all";"25199";"M. Rubén";"1986-10-26";"82.4";"19.31";"7";"0";"41";"100";"73.17";"2.67";"2.01";"80";"192.68";"1.35";"58.54";"14.63";"0";"51.22";"39.02";"26.83"
"Facundo Agustín Batista Ochoa";"CF";"all";"all";"25263";"F. Batista";"1999-01-16";"72.49";"16.29";"6";"0";"25";"100";"64";"3.8";"3.04";"75";"156";"1.96";"48";"24";"4";"44";"36";"24"
"Joaquín Zeballos Machado";"CF";"all";"all";"25885";"J. Zeballos";"1996-11-13";"87.25";"16.3";"5";"1";"31";"100";"77.42";"2.06";"1.7";"54.17";"151.61";"0.76";"41.94";"6.45";"3.23";"38.71";"32.26";"16.13"
"Óscar Javier Méndez Albornoz";"RCB";"all";"all";"26246";"J. Méndez";"1994-12-05";"94.44";"20.58";"19";"1";"127";"100";"44.09";"0.35";"0.21";"82.14";"114.96";"0.17";"36.22";"2.36";"0";"2.36";"1.57";"1.57"
"Gastón Nicolás González";"LW";"all";"all";"26277";"G. González";"2001-06-27";"74.27";"18.34";"8";"0";"66";"100";"68.18";"2.33";"1.54";"68.89";"159.09";"0.8";"46.97";"9.09";"1.52";"37.88";"22.73";"9.09"
"Marcelo Javier Cabrera Rivero";"RW";"all";"all";"26296";"J. Cabrera";"1992-03-18";"83.46";"19.66";"17";"1";"263";"100";"70.34";"2.54";"1.94";"62.7";"155.51";"0.93";"44.11";"7.22";"0.76";"38.4";"27.76";"12.17"
"Matías De los Santos De los Santos";"RCB";"all";"all";"26306";"M. de los Santos";"1992-11-22";"92.81";"20.36";"5";"0";"39";"100";"35.9";"0.25";"0.11";"85.71";"110.26";"0.05";"30.77";"2.56";"0";"0";"0";"0"
"Alberto Sebastián Assis Silva";"LM";"all";"all";"26315";"A. Assis";"1993-03-04";"92.39";"16.17";"8";"0";"103";"100";"57.28";"1.15";"0.72";"84.75";"133.01";"0.57";"48.54";"8.74";"0";"16.5";"7.77";"5.83"
"Alberto Sebastián Assis Silva";"RM";"all";"all";"26315";"A. Assis";"1993-03-04";"95.76";"18.1";"11";"1";"149";"100";"58.39";"1.37";"0.83";"75.86";"142.95";"0.54";"44.3";"4.7";"1.34";"21.48";"13.42";"7.38"
"Mathías Nicolás Abero Villan";"LB";"all";"all";"26347";"M. Abero";"1990-04-09";"97.4";"13.87";"19";"0";"138";"100";"63.04";"1.48";"0.93";"70.11";"149.28";"0.54";"44.2";"6.52";"0";"18.84";"13.04";"6.52"
"Hugo Gabriel Silveira Pereira";"CF";"all";"all";"26351";"H. Silveira";"1993-05-23";"95.36";"16.9";"14";"2";"151";"100";"63.58";"2.73";"1.54";"69.79";"148.34";"0.89";"44.37";"5.3";"0.66";"43.05";"23.18";"12.58"
"Christian Andrés Almeida Rodríguez";"LB";"all";"all";"26442";"C. Almeida";"1989-12-25";"97.2";"16.9";"9";"1";"91";"100";"63.74";"0.85";"0.58";"74.14";"132.97";"0.36";"47.25";"1.1";"0";"7.69";"5.49";"2.2"
"Christian Andrés Almeida Rodríguez";"LCB";"all";"all";"26442";"C. Almeida";"1989-12-25";"99.65";"18.15";"19";"1";"168";"100";"44.05";"0.55";"0.29";"75.68";"123.81";"0.11";"33.33";"2.98";"0";"3.57";"1.79";"0.6"
"Diego Martín Zabala Morales";"LW";"all";"all";"26480";"Diego Zabala";"1991-09-19";"72.56";"18.28";"9";"0";"172";"100";"73.26";"2.34";"1.82";"65.87";"176.74";"0.92";"48.26";"9.88";"1.16";"40.12";"30.81";"13.37"
"Diego Martín Rodríguez Berrini";"DM";"all";"all";"26552";"D. Rodríguez";"1989-09-04";"86.57";"21.28";"11";"1";"75";"100";"42.67";"0.76";"0.24";"90.62";"126.67";"0.22";"38.67";"1.33";"0";"6.67";"1.33";"1.33"
"Juan Manuel Ramos";"LB";"all";"all";"27623";"J. Ramos";"1996-09-01";"95.32";"23.56";"6";"0";"60";"100";"55";"1.67";"1.24";"51.52";"133.33";"0.43";"28.33";"0";"0";"23.33";"16.67";"10"
"Lucas Camilo Hernández Perdomo";"LB";"all";"all";"28228";"L. Hernández";"1992-08-05";"81.28";"19.06";"10";"0";"130";"100";"65.38";"1.56";"0.95";"72.94";"152.31";"0.63";"47.69";"7.69";"1.54";"27.69";"18.46";"10"
"Diego Gonzalo García Cardozo";"LM";"all";"all";"28680";"D. García";"1996-12-29";"86.84";"19.86";"7";"0";"132";"100";"70.45";"1.76";"1.18";"74.19";"154.55";"0.77";"52.27";"9.09";"2.27";"27.27";"16.67";"9.09"
"Diego Gonzalo García Cardozo";"LW";"all";"all";"28680";"D. García";"1996-12-29";"89.3";"19.61";"6";"3";"82";"100";"75.61";"2.1";"1.67";"72.58";"152.44";"1.12";"54.88";"4.88";"0";"40.24";"29.27";"15.85"
"Alexis Castro";"LDM";"all";"all";"28704";"A. Castro";"1994-10-18";"83.26";"23.78";"6";"0";"84";"100";"58.33";"2.06";"1.46";"71.43";"146.43";"0.78";"41.67";"11.9";"0";"26.19";"17.86";"10.71"
"Alexis Castro";"LM";"all";"all";"28704";"A. Castro";"1994-10-18";"88.27";"20.49";"12";"1";"177";"100";"54.24";"1.98";"1.09";"64.58";"144.07";"0.52";"35.03";"5.08";"0";"33.9";"19.77";"8.47"
"Luis Leandro Sosa Otermín";"LDM";"all";"all";"28984";"L. Sosa";"1991-03-18";"88.11";"15.05";"5";"0";"38";"100";"65.79";"1.25";"0.93";"44";"142.11";"0.2";"28.95";"0";"0";"23.68";"18.42";"0"
"Guillermo Gastón Cotugno Lima";"RB";"all";"all";"30823";"G. Cotugno";"1995-03-12";"94.35";"16.79";"17";"5";"144";"100";"49.31";"0.65";"0.27";"80.28";"128.47";"0.17";"39.58";"1.39";"0.69";"6.25";"1.39";"0.69"
"Santiago Ernesto Romero Fernández";"DM";"all";"all";"31855";"S. Romero";"1990-02-15";"89.91";"17.2";"11";"0";"72";"100";"61.11";"1.01";"0.7";"72.73";"140.28";"0.39";"44.44";"1.39";"0";"11.11";"8.33";"2.78"
"Santiago Ernesto Romero Fernández";"RDM";"all";"all";"31855";"S. Romero";"1990-02-15";"86.92";"17.33";"6";"0";"69";"100";"71.01";"1.23";"0.87";"91.84";"128.99";"0.74";"65.22";"5.8";"0";"21.74";"15.94";"14.49"
"Santiago Ernesto Romero Fernández";"RM";"all";"all";"31855";"S. Romero";"1990-02-15";"89.94";"14.65";"8";"1";"40";"100";"65";"1.55";"1.19";"69.23";"155";"0.54";"45";"0";"0";"20";"17.5";"5"
"Juan Manuel Gutiérrez Freire";"CF";"all";"all";"32148";"J. Gutiérrez";"2002-02-04";"80.89";"18.55";"11";"0";"81";"100";"79.01";"2.71";"2.25";"59.38";"175.31";"0.85";"46.91";"11.11";"0";"39.51";"29.63";"12.35"
"Juan Manuel Gutiérrez Freire";"LW";"all";"all";"32148";"J. Gutiérrez";"2002-02-04";"80.04";"19.48";"9";"0";"48";"100";"60.42";"4.63";"2.7";"65.52";"175";"0.96";"39.58";"6.25";"0";"45.83";"27.08";"10.42"
"Emiliano Gómez Dutra";"CF";"all";"all";"32375";"E. Gómez";"2001-09-18";"96.2";"22.95";"6";"0";"50";"100";"72";"4.41";"3.21";"75";"162";"2.12";"54";"14";"4";"44";"34";"24"
