"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Emiliano Daniel Velázquez Maldonado";"E. Velázquez";"3069";"1994-04-30";"RCB";"Central Defender";"85.64";"47.28";"5";"0";"0.74";"null";"27.6";"27.6";"7542.41";"125.71";"972.66";"332.0";"34.27";"98.23";"5.08";"430.23";"39.34";"78.94";"4.32";"54.06";"6.09";"2.54";"0.76"
"Gastón Exequiel Ramírez Pereyra";"G. Ramírez";"3780";"1990-12-02";"LM";"Midfield";"70.81";"39.12";"7";"0";"0.81";"null";"27.14";"27.72";"9350.27";"155.84";"1649.35";"561.18";"44.04";"122.93";"5.26";"684.11";"49.3";"77.79";"1.53";"62.01";"4.6";"0.66";"0.0"
"Jonathan Matías Urretaviscaya da Luz";"J. Urretaviscaya";"5278";"1990-03-19";"LW";"Wide Attacker";"74.88";"37.43";"7";"0";"0.74";"null";"26.13";"26.52";"8412.52";"140.21";"1531.96";"583.7";"49.46";"96.18";"4.12";"679.88";"53.58";"95.95";"5.27";"64.81";"11.22";"2.98";"0.23"
"Sebastián Coates Nión";"S. Coates";"9637";"1990-10-07";"RCB";"Central Defender";"99.63";"49.08";"11";"0";"0.6";"1.48";"27.66";"28.88";"6988.75";"116.48";"864.55";"309.48";"29.34";"87.79";"3.33";"397.27";"32.67";"76.79";"4.11";"53.9";"6.67";"1.89";"0.67"
"Maximiliano Martín Olivera De Andrea";"M. Olivera";"14062";"1992-03-05";"LB";"Full Back";"89.9";"44.11";"21";"0";"0.6";"1.36";"28.98";"30.66";"8332.76";"138.88";"1378.72";"674.14";"62.51";"256.91";"12.37";"931.04";"74.88";"95.35";"5.96";"66.33";"11.27";"4.15";"1.3"
"Mauricio Ernesto Pereyra Antonini";"M. Pereyra";"15858";"1990-03-15";"AM";"Midfield";"77.9";"40.91";"8";"0";"0.79";"1.78";"26.48";"27.2";"8725.5";"145.42";"1594.79";"569.72";"49.13";"79.19";"4.58";"648.91";"53.71";"91.65";"2.38";"70.76";"10.45";"1.28";"0.18"
"Claudio Paul Spinelli";"C. Spinelli";"19648";"1997-01-21";"CF";"Center Forward";"95.23";"49.52";"13";"0";"0.64";"1.56";"28.67";"29.34";"7951.71";"132.53";"1344.87";"575.64";"58.25";"179.05";"9.51";"754.69";"67.76";"85.66";"7.27";"61.33";"13.14";"4.1";"0.84"
"Edgardo Andrés Schetino Yancev";"A. Schetino";"19661";"1994-05-26";"DM";"Midfield";"96.4";"44.71";"5";"0";"0.84";"null";"27.1";"27.1";"9368.48";"156.14";"1802.42";"773.19";"60.12";"154.32";"5.1";"927.51";"65.22";"86.69";"3.76";"66.83";"9.66";"2.15";"0.54"
"Jaime Báez Stábile";"J. Báez";"19673";"1995-04-25";"LW";"Wide Attacker";"83.25";"40.46";"8";"0";"0.63";"1.3";"29.9";"30.72";"8565.59";"142.76";"1505.73";"702.54";"72.85";"364.8";"16.68";"1067.34";"89.53";"104.18";"7.23";"71.37";"16.87";"5.38";"2.04"
"Edgar Joel Elizalde Ferreira";"E. Elizalde";"19791";"2000-02-27";"LCB";"Central Defender";"98.35";"51.36";"10";"0";"0.82";"1.63";"27.36";"28.38";"8000.47";"133.34";"1116.59";"355.61";"32.36";"101.29";"5.61";"456.89";"37.97";"75.47";"3.15";"53.27";"4.67";"1.05";"0.23"
