Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Abel Hernández,Liverpool,Primera División,2025,1867,20.75,23,Centre Forward,Left Centre Forward,Man,Uruguay,35,07/08/90,185,0.67,0.58,0.39,0.21,1.83,32,68,5,67,0.59,0.1,0.06,0.92,0.1,0.06,0.92,0,0,0,0.67,0.45,2.75,0.23,0.48,0.19,0.29,40,0.39,0,0.77,1.59,0.14,0.16,0.58,0.76,14.85,6.31,0.01,2.6,63.79,1.88,2.46,0.48,0.63,63,0.64,0.8,1.16,25,0.29,55,2.84,0,13.21,17.18,2.31,3.08,0.39,66.33,10.65,81,2.7,88,0.05,0,0,12.24,68,0.34,73,54,0.72,0.48,39,54,-14,58.43,1.11,0.35,0.51,8.48,75,2.89,3.61,0.14,0.14,0,0.19,4.87,5.01,0.05,0,0.05,25,0.58,14,62,24,11,77,12,15.25,13.43,1.03,98,-1.81,15.67,13.17,0,0,0,0,0,,0,0,,0,0,0,0,0,0,30,9,2.61,18,-0.05,-0.04,0,0.25,,0.15
Adrián Colombino,Progreso,Primera División,2025,1740,19.33,19,Centre Defensive Midfielder,Right Defensive Midfielder,Man,Uruguay,32,11/10/93,176,0.05,0.05,0.02,0.01,1.09,5,14,1,,0.01,0.05,0.02,0.41,0.05,0.02,0.41,0,0,0,0.1,0.04,1.5,0.07,0.88,0.47,0.41,53,0.88,0,0.47,0.98,1.24,0.91,2.02,1.22,25.87,13.4,0.02,5.43,38.59,6.83,14.33,3.62,4.86,71,2.53,3.43,1.81,53,1.45,68,0.88,0,20.43,15.53,4.19,5.54,0.57,41.06,7.04,34,3.62,65,0.52,0.05,0,41.64,79,3.98,18,51,2.9,6.93,18,78,-1,46.93,6.67,0.23,0.25,30.42,95,3.93,8.54,0.57,0.57,0,0,0.1,0.67,0.05,9,0.1,29,0,28,65,8,39,58,2,22.12,18.71,0.89,90,-3.41,19.69,16.82,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,9,4.58,29,0.06,0.05,0.07,-0.02,,0.16
Agustín Albarracín,Boston River,Primera División,2025,761,8.45,15,Centre Attacking Midfielder,Left Centre Midfielder,Man,Uruguay,20,28/08/05,176,0.36,0.36,0.22,0.14,1.54,23,54,2,,0.34,0,0.03,1.07,0,0.02,0.59,0,0.02,0.47,0.36,0.25,2.6,0.1,1.66,0.59,1.07,36,0.71,0,1.42,2.25,0.36,0.44,0.47,0.68,15.74,6.27,0,3.43,54.61,3.2,5.44,0.12,0.47,14,0.15,0.59,0.47,0,0.71,17,0.12,0,15.15,17.04,2.72,2.49,0.12,55.74,8.88,59,1.78,71,0.12,0,0,28.16,77,1.78,85,45,0.47,3.91,16,90,14,59.73,4.62,0.23,0.43,29.82,90,6.9,10.3,1.42,0.95,0.47,0.24,2.6,3.55,0.12,17,0.47,36,0.24,18,67,15,24,61,15,19.13,15.34,0.94,104,-3.79,17.98,15.9,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,6,4.22,40,0.01,0.03,0,0.19,,0.23
Agustín Angel Kahl,Racing,Primera División,2025,108,1.2,2,Centre Forward,Centre Attacking Midfielder,Man,Argentina,21,22/01/04,,0,0,0.01,0.01,0.83,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0.01,0.83,-0.01,0,0,0,,0.83,0,1.66,4.16,0,0,0,0,19.97,7.49,0,5.82,67,0,0.83,0,0,,0,0,0,,0,0,0,0,19.97,23.68,5.82,4.16,0,67,18.3,92,4.16,100,0,0,0,12.48,59,0.83,10,100,0,0.83,18,67,8,59.95,0.83,0.13,0.14,13.31,69,4.68,3.33,0,0,0,0,4.16,4.16,0,,0,,0,12,53,35,50,25,25,12.96,9.25,1.04,76,-3.72,13.44,7.07,0,0,0,0,0,,0,0,,0,0,0,0,0,0,47,6,2.83,24,-0.08,-0.07,,-0.05,,-0.2
Agustín Bernardo Vera Flores,River Plate,Primera División,2025,1206,13.4,20,Centre Attacking Midfielder,Left Centre Midfielder,Man,Uruguay,21,01/01/04,175,0,0,0.22,0.11,2.01,0,26,3,,0.11,0,0.08,1.12,0,0.08,1.04,0,0.01,0.07,0,0.31,3.13,-0.31,3.58,2.09,1.49,58,2.16,0.07,2.61,3.95,0.45,0.32,0.6,0.35,23.06,9.03,0.03,5.07,53.25,6.72,10.6,1.87,2.31,69,1.62,1.94,1.79,58,0.82,36,1.19,0,19.48,14.56,3.88,5.15,0.9,54.81,11.12,57,4.48,87,0.22,0,0,27.01,70,1.57,84,51,1.42,2.24,29,67,-3,58.16,5.07,0.44,0.58,32.16,82,6.3,9.1,1.42,1.27,0.15,0,2.91,4.18,0.22,32,0.52,29,0.3,25,63,12,22,72,6,18.55,16.02,0.97,100,-2.52,17.98,15.96,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,12,3.81,27,-0.01,0.18,0.11,-0.02,,0.25
Agustín Cayetano Arbelo,Liverpool,Primera División,2025,1567,17.42,19,Left Back,Left Centre Back,Man,Uruguay,26,08/08/99,180,0,0,0.07,0.06,1.09,0,16,1,,0.05,0.06,0.04,0.57,0.06,0.04,0.57,0,0,0,0.06,0.11,1.67,-0.05,0.52,0.46,0.06,89,0.69,0,0.92,1.15,1.44,1.8,3.27,4.26,14.87,8.5,0.01,5.68,32.3,2.93,10.56,1.95,3.39,64,2.61,4.41,0.75,47,1.09,58,2.18,0.06,12.23,15.37,3.67,3.33,0.57,37.08,3.62,30,2.12,64,0.11,0,0,52.08,80,4.31,91,51,4.31,7.41,14,70,-10,48.66,5.86,0.33,0.38,44.38,96,4.06,10.22,1.03,0.69,0.34,0.06,1.26,1.95,0.06,50,0.69,29,0.17,24,63,13,26,59,15,21.16,18.05,0.92,95,-3.1,19.4,17.09,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,8,4.42,30,0.15,0.05,-0.03,0,,0.17
Agustín Miranda,Cerro,Primera División,2025,1244,13.82,19,Left Defensive Midfielder,Right Defensive Midfielder,Man,Uruguay,33,27/11/92,177,0.07,0.07,0.05,0.08,0.58,13,50,1,,0.08,0,0.01,0.36,0,0.01,0.36,0,0,0,0.07,0.05,0.94,0.02,0.72,0.43,0.29,60,1.52,0.07,0.65,1.37,0.94,0.66,1.81,1.38,22.36,12.88,0.04,6.51,37.71,4.99,11.21,2.75,3.69,73,1.99,2.65,1.59,46,1.01,49,1.23,0,18.02,13.13,4.41,3.83,0.72,40.44,5.43,30,1.88,49,0.14,0.07,0,26.55,69,2.1,10,45,2.39,4.05,23,65,-5,47.06,2.89,0.09,0.13,21.27,92,4.74,4.27,0.29,0.29,0,0,0.94,1.23,0,0,0,0,0.14,30,62,8,27,69,3,21.86,17.37,0.94,90,-4.48,20.5,15.58,0,0.03,0.03,100,60,40,0.03,0.07,20,0.36,0,0,0,0,0,25,9,1.77,16,0,0.12,0.07,-0.01,0.03,0.21
Agustín Nahuel Moreira Morales,Progreso,Primera División,2025,1594,17.71,19,Right Midfielder,Right Wing,Man,Uruguay,24,27/05/01,174,0.17,0.17,0.12,0.07,1.86,9,30,3,,0.12,0.23,0.16,2.2,0.17,0.11,1.41,0.06,0.05,0.79,0.4,0.28,4.07,0.11,4.35,2.15,2.2,49,1.81,0,2.88,5.19,0.45,0.31,0.62,0.4,18.18,5.48,0,2.37,50.79,3.67,7.4,1.69,2.15,77,1.27,1.58,1.36,50,0.51,17,0.56,0,15.13,11.34,1.69,3.78,0.17,53.03,8.41,56,3.22,85,0.17,0,0,22.59,63,1.69,26,48,1.02,3.16,28,62,-2,65.31,2.94,0.24,0.39,30.89,76,8.19,7.74,2.03,1.07,0.96,0.45,4.74,5.82,0.11,31,0.79,29,0.68,15,73,13,13,64,23,18.78,15.4,0.92,100,-3.38,17.36,15.44,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,11,5.88,38,0.08,0.08,0.01,-0.03,,0.15
Agustín Nicolás Mulet,Cerro,Primera División,2025,401,4.45,10,Left Defensive Midfielder,Right Defensive Midfielder,Man,Argentina,25,21/02/00,183,0,0,0.04,0.06,0.67,0,33,0,,0.14,0,0,0.22,0,0,0.22,0,0,0,0,0.05,0.9,-0.05,0.22,0.22,0,100,0.9,0,1.12,0.22,1.8,1.13,2.25,1.33,24.71,13.7,0.02,5.39,38.97,5.39,12.8,3.37,5.17,79,2.12,3.25,2.02,60,0.9,63,1.12,0,19.54,12.98,3.37,6.74,0.45,41.92,7.19,37,4.72,70,0.45,0,0,29.65,77,0.9,11,44,3.14,1.12,19,65,-12,47.84,2.7,0.19,0.21,19.54,93,4.52,5.61,0.22,0.22,0,0,0.9,1.12,0,0,0,0,0,26,66,8,24,64,12,18.94,19.49,0.96,101,0.55,18.28,19.59,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,7,2.65,22,0,0.04,0.08,-0.01,,0.11
Agustín Ocampo,Plaza Colonia,Primera División,2025,575,6.39,18,Left Midfielder,Right Midfielder,Man,Uruguay,28,22/11/97,169,0,0,0.11,0.05,2.35,0,40,2,,0.06,0.31,0.21,2.66,0,0.11,1.41,0.31,0.1,1.25,0.31,0.31,5.01,0,2.98,1.41,1.57,47,2.66,0,2.04,3.44,0.47,0.41,1.72,1.76,24.43,9.24,0.01,3.44,49.04,4.23,7.05,1.41,1.88,50,1.28,1.69,2.35,33,1.41,53,1.41,0,20.67,20.28,2.66,5.95,0.47,51.58,11.59,56,5.01,84,0.78,0,0,24.58,65,4.23,89,47,2.82,7.99,20,70,5,59.75,3.29,0.08,0.35,25.84,81,4.55,7.67,2.82,0.94,1.88,0,2.51,3.44,0,17,0.63,57,0,15,78,7,16,78,6,24.68,20.1,0.89,97,-4.58,22.06,19.49,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,11,6.28,45,0.08,0.01,0.01,-0.04,,0.06
