Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Age,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Abel Hernández,Peñarol,Primera División,2026,800,Centre Forward,Uruguay,36,07/08/90,0.79,0.68,0.67,0.16,4.16,16,49,9,100,0.73,0,0.05,0.9,0,0.05,0.9,0,0,0,0.68,0.71,5.06,-0.04,0.79,0.45,0.34,57,0.34,0.11,1.24,1.69,0.11,0.07,0.56,0.55,15.08,7.43,0.01,4.95,56.67,4.16,3.04,0.68,0.79,60,0.76,0.83,1.35,20,0.45,47,2.93,0,13.05,13.13,4.16,3.04,0.68,59.01,8.89,68,2.59,85,0.23,0,0,16.43,71,0.23,83,25,0.56,0.9,25,66,-5,61.57,1.46,0.37,0.87,13.61,83,3.66,6.3,0.34,0.34,0,0.56,7.54,7.88,0,0,0.11,33,0.79,17,69,14,11,73,16,15.14,10.96,0.94,107,-4.18,14.18,11.72,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,8,2.7,14,-0.03,-0.01,0.02,0.12,,0.09
Adrian Vila,Deportivo Maldonado,Primera División,2026,316,Right Centre Midfielder,Uruguay,24,31/12/01,0,0,0.15,0.07,1.99,0,29,2,,0.19,0,0.07,1.14,0,0.07,1.14,0,0,0,0,0.22,3.13,-0.22,3.7,1.71,1.99,46,2.28,0.28,2.85,3.42,0.57,0.63,2.28,2.44,26.75,14.8,0.05,7.4,44.01,11.95,5.69,3.13,3.7,65,3.24,3.87,1.99,14,1.71,50,0.85,0,21.63,20.48,5.69,4.55,1.14,46.14,8.82,41,3.7,81,0.28,0,0,31.88,67,1.99,25,64,3.13,2.28,18,48,-19,57.55,3.42,0.4,0.47,31.31,83,5.76,10.25,0.57,0.57,0,0.85,3.7,4.27,0,100,1.14,80,1.14,24,68,8,22,69,8,17.15,17.02,1.01,108,-0.13,17.41,18.39,0,0,0,0,0,,0,0,,0,0,0,0,0,0,38,12,6.35,34,0.12,0.16,0.06,0,,0.35
Adriano Freitas,Deportivo Maldonado,Primera División,2026,461,Goalkeeper,Uruguay,29,16/06/97,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.59,0.39,0,8.2,3.71,4.49,0,0,0,,0,0,0.2,,0,,0,0,0.39,0.45,0.2,0,0,5.54,0,0,0,,0.39,0,0,18.95,61,5.47,11,32,2.73,14.46,12,40,-21,9.16,0.39,0.07,0.07,17.78,100,5.49,0.39,0,0,0,0,0,0,0,,0,,0,46,54,0,100,0,0,42.48,44.29,0.71,95,1.81,29.99,42.08,0.78,0.82,0.04,75,74,1,1.03,3.13,28,11.33,2.36,0.39,0.39,17.08,1,34,2,0.8,5,0.06,0.08,-0.13,,-0.09,-0.08
Adrián Colombino,Progreso,Primera División,2026,1503,Right Defensive Midfielder,Uruguay,33,11/10/93,0,0,0.02,0.03,0.48,0,13,1,,0,0,0.05,0.84,0,0.04,0.66,0,0.01,0.18,0,0.07,1.32,-0.07,0.66,0.48,0.18,73,0.54,0,0.84,0.78,0.78,0.72,1.68,1.36,19.23,10.3,0.04,7.67,38.14,12.76,6.47,2.34,3.11,60,2.02,2.74,1.38,29,1.56,65,0.9,0,15.51,13.41,5.39,4.07,1.62,41.1,4.97,32,2.28,56,0.18,0,0,33.48,72,3.65,20,47,2.4,7.07,13,67,-5,48.75,4.91,0.18,0.19,23.6,94,5.06,7.07,1.08,0.9,0.18,0,0.3,1.2,0,22,0.3,50,0.12,23,69,8,34,63,3,23.94,20.64,0.91,87,-3.3,21.7,18,0,0,0,0,0,,0,0,,0,0,0,0,0,0,28,9,4.28,32,0.03,0.06,-0.01,-0.01,,0.08
Agustín Aguirre,Boston River,Primera División,2026,769,Left Centre Back,Argentina,22,11/01/04,0,0,0,0.03,0.12,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.35,0.12,0.23,33,0.12,0,0.7,0.47,1.52,1.84,7.6,9.27,9.12,3.74,0.04,5.03,21.87,8.19,1.29,1.29,2.81,73,1.58,3.42,1.05,33,0.47,57,2.46,0,6.78,8.55,2.46,1.4,0.47,27.9,0.82,12,0.23,17,0.23,0,0.12,44.34,86,3.98,88,61,8.31,5.85,9,71,-14,37.09,2.22,0.17,0.17,34.74,98,4.79,3.16,0,0,0,0.12,0.47,0.47,0,,0.23,67,0.12,30,65,5,52,44,4,22.98,23.11,0.95,94,0.14,21.82,21.7,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,7,2.02,15,0.04,0.04,0.01,-0.01,,0.07
Agustín Alaniz,CA Juventud,Primera División,2026,758,Left Wing,Uruguay,24,15/05/02,0.12,0.12,0.18,0.06,3.09,4,31,4,,0.24,0.12,0.1,0.83,0.12,0.1,0.83,0,0,0,0.24,0.28,3.92,-0.04,2.61,1.42,1.19,55,1.54,0,1.9,4.51,0.71,0.89,0.36,0.4,18.05,6.77,0.01,6.17,55.48,7.01,3.56,0.83,1.54,41,0.98,1.87,1.66,17,1.19,29,0.59,0,15.55,19.15,5.22,5.7,1.66,56.77,9.26,60,4.87,85,0.24,0,0,27.19,68,1.78,19,60,0.83,2.49,24,58,-10,59.98,3.09,0.21,0.34,30.75,84,6.09,8.43,1.19,1.19,0,0,4.04,5.22,0.12,10,0.47,18,0.24,18,66,16,17,62,21,18.15,16.24,1.01,113,-1.92,18.32,18.3,0,0,0,0,0,,0,0,,0,0,0,0,0,0,31,7,3.7,26,-0.04,0.08,0.01,-0.04,,0.01
Agustín Amado,Boston River,Primera División,2026,1749,Left Defensive Midfielder,Uruguay,25,05/02/01,0,0,0.03,0.02,1.03,0,10,1,,0.01,0.05,0.08,0.98,0.05,0.08,0.98,0,0,0,0.05,0.11,2.01,-0.06,2.42,1.6,0.82,66,1.18,0,2.32,2.16,0.87,0.95,1.18,1.06,18.37,9.01,0.03,8.03,37.71,10.34,4.53,1.7,2.57,60,1.8,2.75,0.82,42,1.13,71,0.62,0.1,15.9,16.07,6.02,4.22,1.8,40.92,5.15,32,1.9,45,0.15,0,0,45.9,84,3.45,13,68,1.85,4.43,14,76,-8,48.78,7,0.48,0.52,43.9,92,5.89,9.57,1.13,0.82,0.31,0,0.31,1.13,0.21,23,0.26,42,0.05,25,68,7,37,59,4,20.27,19.2,0.98,98,-1.07,19.78,18.83,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,10,4.69,40,0.01,0.09,-0.02,-0.03,,0.04
Agustín Bernardo Vera Flores,Albion,Primera División,2026,1340,Left Wing,Uruguay,22,01/01/04,0.07,0.07,0.08,0.08,0.94,7,29,1,,0.07,0.13,0.15,1.34,0.13,0.15,1.34,0,0,0,0.2,0.23,2.28,-0.03,1.81,0.81,1.01,44,2.42,0,3.49,2.75,0.47,0.43,0.54,0.55,18.68,6.72,0.04,5.51,48.33,6.79,3.43,1.81,2.28,64,1.95,2.38,1.75,18,1.01,29,0.47,0,15.18,16.16,4.7,4.37,1.55,50.37,7.59,50,3.43,78,0.27,0,0,27.61,78,1.61,84,55,1.21,2.28,26,78,0,58.02,3.63,0.32,0.41,31.71,83,5.27,9.88,0.94,0.94,0,0.2,1.81,2.75,0.2,29,0.34,29,0.34,21,65,15,17,70,13,17.3,16.33,0.96,100,-0.97,16.57,16.26,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,9,4.86,33,0.08,0.04,-0.07,0.01,,0.05
Agustín Buffa,Wanderers,Primera División,2026,2677,Goalkeeper,Uruguay,28,07/01/98,0,0,0,,0,,,0,,0,0,0.02,0.2,0,0.01,0.13,0,0,0.07,0,0.02,0.2,-0.02,0,0,0,,0.2,0,0.03,0,0,0,0,0,0.24,0.24,0,7.8,2.96,4.14,0.07,0,0,0,0,0,0.03,40,0.17,0,0,0,0.2,0.16,0.2,0.07,0.07,15.55,0,0,0,0,0.1,0,0,17.79,69,8.61,8,50,2.49,14.59,12,58,-11,11.47,1.55,0.14,0.14,16,100,6.45,0.91,0.07,0.07,0,0,0,0.07,0,0,0,,0,49,51,0,85,15,0,44.49,45.7,0.81,86,1.21,36.18,39.39,1.04,0.98,-0.06,62,64,-2,1.06,2.76,23,11.77,2.02,0.2,0.13,19.92,-1,27,3,2.23,14,0.1,0.1,-0.03,,0,0.16
Agustín Cayetano Arbelo,Liverpool,Primera División,2026,602,Left Centre Back,Uruguay,27,08/08/99,0,0,0,0.01,0.45,0,0,0,,0,0.15,0.05,0.75,0.15,0.05,0.6,0,0,0.15,0.15,0.06,1.2,0.09,0.3,0.3,0,100,0.6,0,0.75,0.3,0.6,0.77,3.44,3.35,14.2,7.62,0.03,5.23,39.29,12.7,4.78,2.84,3.44,76,3.27,4.04,0.75,55,0.9,63,1.79,0,10.61,11.61,3.59,2.54,0.9,44.71,4.33,41,1.94,76,0.15,0,0,54.55,75,5.68,91,45,4.78,11.21,7,55,-20,47.4,8.97,0.26,0.28,41.84,98,5.06,10.76,1.49,0.75,0.75,0.3,0.75,1.49,0.15,10,0.3,15,0.3,33,65,3,38,61,1,24.12,23.94,0.89,106,-0.18,21.53,25.49,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,6,4.78,25,0.22,0.06,0.04,-0.01,,0.31
