"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Juan Daniel Álvez Ortiz";"LCB";"all";"all";"34287";"J. Álvez";"1983-08-21";"99.35";"17.82";"15";"1";"197";"100";"25.89";"74.11";"74.11";"78.71";"78.68";"61.93";"0";"0";"";"18.27";"11.68";"63.89"
"Gastón Matías Bueno Sciutto";"LCB";"all";"all";"44454";"G. Bueno";"1985-02-02";"93.35";"18.53";"5";"1";"60";"100";"41.67";"58.33";"58.33";"58";"83.33";"48.33";"0";"0";"";"18.33";"3.33";"18.18"
"Sebastián Bruno Fernández Miglierina";"CF";"all";"all";"38138";"S. Fernández";"1985-05-23";"86.4";"16.15";"22";"2";"353";"100";"30.31";"69.69";"69.69";"74.51";"72.24";"53.82";"18.41";"12.18";"66.15";"23.23";"12.75";"54.88"
"Marco Gastón Rubén Rodríguez";"CF";"all";"all";"25199";"M. Rubén";"1986-10-26";"82.4";"19.31";"7";"0";"82";"100";"30.49";"69.51";"69.51";"72.09";"52.44";"37.8";"14.63";"9.76";"66.67";"14.63";"7.32";"50"
"Horacio David Salaberry Marrero";"LCB";"all";"all";"38828";"H. Salaberry";"1987-04-03";"99.05";"17.13";"5";"0";"38";"100";"34.21";"65.79";"65.79";"60.61";"86.84";"52.63";"0";"0";"";"28.95";"10.53";"36.36"
"Horacio David Salaberry Marrero";"RCB";"all";"all";"38828";"H. Salaberry";"1987-04-03";"100.49";"16.52";"12";"2";"171";"100";"27.49";"72.51";"72.51";"71.79";"91.23";"65.5";"1.17";"0.58";"50";"23.39";"11.11";"47.5"
"Jorge Hernán Menosse Acosta";"RCB";"all";"all";"38888";"H. Menosse";"1987-04-28";"99.32";"20.07";"11";"0";"212";"100";"22.17";"77.83";"77.83";"81.5";"81.6";"66.51";"0.47";"0.47";"100";"16.51";"11.79";"71.43"
"Maximiliano Lombardi Rodríguez";"CF";"all";"all";"811466";"M. Lombardi";"1987-05-11";"84.02";"14.55";"5";"0";"141";"100";"26.95";"73.05";"73.05";"72.28";"71.63";"51.77";"14.89";"8.51";"57.14";"19.86";"9.22";"46.43"
"Maximiliano Lombardi Rodríguez";"RM";"all";"all";"811466";"M. Lombardi";"1987-05-11";"89.85";"15.36";"11";"0";"303";"100";"24.09";"75.91";"75.91";"82.59";"66.34";"54.79";"4.95";"2.64";"53.33";"9.9";"5.28";"53.33"
"Pablo Martín Lacoste Icardi";"LCB";"all";"all";"540056";"P. Lacoste";"1988-01-15";"97.24";"13.73";"23";"1";"190";"100";"42.11";"57.89";"57.89";"62.58";"81.58";"51.05";"0.53";"0";"0";"30";"14.21";"47.37"
"Hugo Diego Arismendi Ciapparetta";"LCB";"all";"all";"43066";"D. Arismendi";"1988-01-25";"92.27";"14.75";"5";"0";"74";"100";"28.38";"71.62";"71.62";"71.21";"89.19";"63.51";"4.05";"2.7";"66.67";"27.03";"12.16";"45"
"Mario Pablo Risso Caffiro";"LCB";"all";"all";"34329";"M. Risso";"1988-01-31";"90.98";"17.12";"10";"0";"81";"100";"37.04";"62.96";"62.96";"70.49";"75.31";"53.09";"1.23";"0";"0";"20.99";"12.35";"58.82"
"Mario Pablo Risso Caffiro";"RCB";"all";"all";"34329";"M. Risso";"1988-01-31";"98.38";"18.78";"5";"0";"55";"100";"40";"60";"60";"58.14";"78.18";"45.45";"1.82";"0";"0";"18.18";"7.27";"40"
