"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Albert Rusnák";"AM";"all";"all";"362";"A. Rusnák";"1994-07-07";"93.28";"24";"27";"0";"667";"100";"44.98";"2.98";"0.6";"32.98";"25.34";"4.65";"0.88";"0.53";"12.59";"7.95"
"Alexandre Nascimento Costa Silva";"LW";"all";"all";"568";"Xande Silva";"1997-03-16";"76.87";"18.51";"9";"0";"213";"100";"34.27";"2.35";"0";"38.97";"31.46";"6.1";"0.82";"0.6";"13.62";"8.92"
"Arnaud Souquet";"RB";"all";"all";"1048";"A. Souquet";"1992-02-12";"86.39";"20.64";"9";"0";"147";"100";"5.44";"0.57";"0";"40.82";"36.73";"0.68";"0.2";"0.16";"2.04";"2.04"
"Arnaud Souquet";"RCB";"all";"all";"1048";"A. Souquet";"1992-02-12";"94.72";"23.76";"11";"0";"178";"100";"6.74";"0.7";"0";"41.01";"36.52";"2.25";"0.22";"0.16";"1.12";"0.56"
"Ashley Westwood";"DM";"all";"all";"1100";"A. Westwood";"1990-04-01";"103.01";"22.04";"7";"0";"183";"100";"2.73";"0.3";"0";"38.25";"38.25";"0.55";"0.1";"0.1";"1.09";"1.09"
"Ashley Westwood";"LDM";"all";"all";"1100";"A. Westwood";"1990-04-01";"98.86";"20.62";"5";"0";"116";"100";"2.59";"0.45";"0";"39.66";"36.21";"0";"0.23";"0.1";"1.72";"0"
"Ashley Westwood";"RDM";"all";"all";"1100";"A. Westwood";"1990-04-01";"101.92";"22.07";"16";"0";"363";"100";"4.96";"0.57";"0";"34.44";"32.51";"1.65";"0.18";"0.15";"1.65";"1.38"
"Asier Illarramendi Andonegi";"LM";"all";"all";"1108";"Asier Illarramendi";"1990-03-08";"96.95";"23.77";"13";"0";"240";"100";"4.17";"0.44";"0.42";"32.92";"31.67";"1.67";"0.12";"0.11";"0.83";"0.83"
"Carlos Armando Gruezo Arboleda";"LDM";"all";"all";"1635";"C. Gruezo";"1995-04-19";"90.85";"20.32";"10";"0";"132";"100";"6.82";"0.55";"0";"32.58";"30.3";"1.52";"0.18";"0.08";"1.52";"0"
"Chidozie Collins Awaziem";"RCB";"all";"all";"1774";"C. Awaziem";"1997-01-01";"95.59";"24.14";"7";"0";"49";"100";"8.16";"0.77";"0";"51.02";"46.94";"2.04";"0.08";"0.07";"0";"0"
"Christian Benteke Liolo";"CF";"all";"all";"1818";"C. Benteke";"1990-12-03";"98.42";"20.64";"29";"0";"648";"100";"77.31";"6.13";"1.23";"29.48";"13.43";"4.32";"1.8";"0.8";"21.76";"8.95"
"DeAndre Yedlin";"RCB";"all";"all";"2574";"D. Yedlin";"1993-07-09";"102.08";"25.75";"5";"0";"73";"100";"8.22";"0.57";"0";"42.47";"41.1";"0";"0.09";"0.09";"0";"0"
"DeAndre Yedlin";"RWB";"all";"all";"2574";"D. Yedlin";"1993-07-09";"93.89";"23.14";"19";"0";"462";"100";"27.71";"1.88";"0.87";"35.5";"28.35";"5.63";"0.62";"0.42";"8.44";"6.71"
"Denis Bouanga";"LF";"all";"all";"2610";"D. Bouanga";"1994-11-11";"97.38";"23.42";"30";"0";"925";"100";"54.27";"3.75";"0.97";"42.38";"27.57";"6.49";"1.32";"0.73";"19.68";"11.24"
"Erik Sviatchenko";"RCB";"all";"all";"3160";"E. Sviatchenko";"1991-10-04";"94.77";"26.76";"28";"1";"163";"100";"3.07";"0.41";"0";"31.29";"29.45";"1.23";"0.13";"0.1";"1.23";"0.61"
"Federico Bernardeschi";"RWB";"all";"all";"3333";"F. Bernardeschi";"1994-02-16";"96.5";"23.46";"18";"0";"488";"100";"23.98";"1.58";"1.64";"51.02";"39.96";"9.02";"0.73";"0.47";"9.63";"5.94"
"Gastón Brugman Duarte";"LDM";"all";"all";"3778";"G. Brugman";"1992-09-07";"88.34";"25.62";"5";"0";"102";"100";"20.59";"1.52";"0";"36.27";"31.37";"1.96";"0.48";"0.31";"8.82";"5.88"
"Hany Mukhtar";"AM";"all";"all";"4206";"H. Mukhtar";"1995-03-21";"96.15";"23.6";"18";"0";"661";"100";"34.49";"2.33";"0.61";"36.31";"26.32";"3.33";"0.78";"0.44";"11.2";"6.35"
