"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Kei Ansu Kamara";"CF";"all";"all";"27100";"K. Kamara";"1984-09-01";"75.24";"18.81";"9";"0";"45";"100";"62.22";"2.41";"1.07";"82.14";"144.44";"0.96";"51.11";"11.11";"2.22";"37.78";"17.78";"15.56"
"Diego Ferney Chará Zamora";"LDM";"all";"all";"23848";"D. Chará";"1986-04-05";"84.32";"21.01";"5";"0";"29";"100";"62.07";"1.06";"0.63";"83.33";"117.24";"0.48";"51.72";"3.45";"0";"13.79";"10.34";"6.9"
"Diego Ferney Chará Zamora";"RDM";"all";"all";"23848";"D. Chará";"1986-04-05";"87.4";"22.41";"13";"0";"111";"100";"61.26";"0.98";"0.61";"91.18";"124.32";"0.48";"55.86";"8.11";"0.9";"14.41";"9.91";"7.21"
"Diego Ferney Chará Zamora";"RM";"all";"all";"23848";"D. Chará";"1986-04-05";"98.59";"23.53";"6";"0";"56";"100";"62.5";"1.02";"0.48";"91.43";"119.64";"0.43";"57.14";"3.57";"0";"12.5";"5.36";"5.36"
"Olivier Giroud";"CF";"all";"all";"8206";"O. Giroud";"1986-09-30";"74.03";"18.56";"9";"0";"48";"100";"68.75";"2.38";"1.59";"75.76";"135.42";"1.06";"52.08";"16.67";"2.08";"39.58";"29.17";"20.83"
"Luis Alberto Suárez Díaz";"CF";"all";"all";"6450";"L. Suárez";"1987-01-24";"94.56";"27.05";"23";"0";"325";"100";"71.38";"4.2";"3.04";"75.86";"151.08";"2.05";"54.15";"13.23";"4";"57.85";"41.23";"28.92"
"Maximiliano Nicolás Moralez";"AM";"all";"all";"27169";"Maxi Moralez";"1987-02-27";"86.7";"20.16";"8";"0";"171";"100";"66.67";"1.88";"1.39";"77.19";"157.89";"0.85";"51.46";"8.19";"1.75";"32.75";"23.39";"12.87"
"José Martín Cáceres Silva";"LCB";"all";"all";"7036";"M. Cáceres";"1987-04-07";"97.94";"27.76";"10";"0";"128";"100";"42.19";"0.24";"0.08";"96.3";"125";"0.07";"40.62";"2.34";"1.56";"0.78";"0";"0"
"Alejandro Bedoya";"RM";"all";"all";"27188";"A. Bedoya";"1987-04-29";"93.13";"19.37";"10";"0";"137";"100";"61.31";"1.62";"1.21";"78.57";"154.74";"0.64";"48.18";"4.38";"0";"19.71";"16.06";"8.03"
"Dax McCarty";"DM";"all";"all";"31163";"D. McCarty";"1987-04-30";"76.43";"16.15";"5";"0";"41";"100";"51.22";"1.03";"0.48";"66.67";"119.51";"0.26";"34.15";"4.88";"4.88";"9.76";"4.88";"0"
