"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Albert Rusnák";"A. Rusnák";"362";"1994-07-07";"AM";"Midfield";"93.28";"53.8";"27";"0";"0.73";"1.6";"26.86";"28.64";"8544.95";"142.42";"1321.19";"439.42";"35.61";"83.15";"3.14";"522.57";"38.75";"75.67";"1.86";"61.88";"4.87";"0.91";"0.04"
"Alexandre Nascimento Costa Silva";"Xande Silva";"568";"1997-03-16";"LW";"Wide Attacker";"76.86";"45.73";"9";"0";"0.65";"1.15";"31.09";"31.66";"7800.49";"130.01";"1310.75";"650.78";"69.83";"326.27";"16.33";"977.05";"86.16";"100.3";"8.6";"72.31";"15.02";"6.71";"2.77"
"Arnaud Souquet";"A. Souquet";"1048";"1992-02-12";"RB";"Full Back";"86.39";"47.71";"9";"0";"0.6";"1.57";"29.36";"30.2";"8047.68";"134.13";"1238.89";"593.95";"52.81";"223.97";"10.06";"817.92";"62.87";"88.16";"6.01";"64.83";"11.32";"3.91";"1.12"
"Arnaud Souquet";"A. Souquet";"1048";"1992-02-12";"RCB";"Central Defender";"94.72";"53.96";"11";"0";"0.74";"1.56";"28.15";"29.42";"7913.65";"131.89";"1125.06";"494.1";"45.29";"148.09";"8.19";"642.19";"53.47";"89.16";"5.66";"66.51";"8.29";"4.04";"0.91"
"Ashley Westwood";"A. Westwood";"1100";"1990-04-01";"DM";"Midfield";"103.01";"57.69";"7";"0";"0.99";"null";"26.19";"26.78";"9408.79";"156.81";"2168.23";"570.06";"42.05";"75.03";"2.53";"645.09";"44.57";"103.11";"1.04";"79.78";"8.32";"0.15";"0.0"
"Ashley Westwood";"A. Westwood";"1100";"1990-04-01";"LDM";"Midfield";"98.86";"58.93";"5";"0";"null";"null";"26.6";"26.6";"9101.71";"151.7";"1852.84";"464.69";"37.88";"92.65";"2.44";"557.34";"40.32";"102.43";"1.83";"79.21";"7.74";"0.2";"0.0"
"Ashley Westwood";"A. Westwood";"1100";"1990-04-01";"RDM";"Midfield";"101.92";"56.12";"16";"0";"0.9";"null";"26.24";"27.3";"9207.33";"153.46";"1989.22";"553.32";"42.64";"79.52";"2.94";"632.85";"45.58";"102.04";"2.14";"77.72";"9.36";"0.53";"0.13"
"Asier Illarramendi Andonegi";"Asier Illarramendi";"1108";"1990-03-08";"LM";"Midfield";"96.95";"54.35";"13";"0";"0.9";"null";"26.43";"27.08";"9791.59";"163.19";"2104.88";"553.46";"43.99";"87.13";"3.91";"640.59";"47.9";"91.55";"2.55";"69.98";"8.41";"0.68";"0.08"
"Carlos Armando Gruezo Arboleda";"C. Gruezo";"1635";"1995-04-19";"LDM";"Midfield";"90.84";"50.18";"10";"0";"0.78";"1.53";"28.2";"29.14";"8553.77";"142.56";"1555.48";"569.99";"51.53";"171.82";"7.53";"741.81";"59.07";"99.84";"4.07";"76.29";"11.84";"2.03";"0.36"
"Chidozie Collins Awaziem";"C. Awaziem";"1774";"1997-01-01";"RCB";"Central Defender";"95.59";"49.55";"7";"0";"0.78";"1.74";"30.73";"31.48";"7574.5";"126.24";"1058.45";"402.69";"38.92";"166.23";"7.78";"568.92";"46.7";"85.45";"5.19";"60.2";"10.03";"3.11";"0.69"
