"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Maximiliano Nicolás Moralez";"AM";"all";"all";"27169";"Maxi Moralez";"1987-02-27";"86.7";"20.16";"8";"0";"279";"100";"21.51";"78.49";"78.49";"79.36";"78.14";"62.01";"15.41";"9.68";"62.79";"19.35";"10.39";"53.7"
"Fafà Picault";"AM";"all";"all";"17968";"F. Picault";"1991-02-23";"90.28";"21.69";"5";"0";"109";"100";"26.61";"73.39";"73.39";"79.69";"58.72";"46.79";"11.93";"4.59";"38.46";"12.84";"5.5";"42.86"
"Alan Pulido Izaguirre";"AM";"all";"all";"23282";"A. Pulido";"1991-03-08";"84.01";"22.07";"5";"0";"155";"100";"27.74";"72.26";"72.26";"75.45";"70.97";"53.55";"16.13";"9.68";"60";"14.19";"9.03";"63.64"
"Lorenzo Insigne";"AM";"all";"all";"6286";"L. Insigne";"1991-06-04";"83.82";"24.12";"5";"0";"233";"100";"20.17";"79.83";"79.83";"83.87";"79.83";"66.95";"10.73";"7.73";"72";"14.59";"9.87";"67.65"
"Xherdan Shaqiri";"AM";"all";"all";"10936";"X. Shaqiri";"1991-10-10";"83.17";"20.08";"6";"0";"216";"100";"22.69";"77.31";"77.31";"83.03";"76.39";"63.43";"10.19";"8.33";"81.82";"16.2";"10.65";"65.71"
"Jonathan Osorio";"AM";"all";"all";"17907";"J. Osorio";"1992-06-12";"102.7";"24.35";"5";"0";"168";"100";"13.1";"86.9";"86.9";"89.71";"80.95";"72.62";"9.52";"7.14";"75";"8.33";"5.36";"64.29"
"Carles Gil de Pareja Vicent";"AM";"all";"all";"36450";"Carles Gil";"1992-11-22";"97.29";"25.38";"24";"0";"1183";"100";"17.5";"82.5";"82.5";"83.66";"69.82";"58.41";"12.93";"8.37";"64.71";"13.27";"7.1";"53.5"
"Robin Lod";"AM";"all";"all";"17493";"R. Lod";"1993-04-17";"85.46";"18.63";"8";"0";"232";"100";"28.45";"71.55";"71.55";"78.26";"69.4";"54.31";"13.79";"9.91";"71.88";"17.24";"9.91";"57.5"
"Matt Crooks";"AM";"all";"all";"33071";"M. Crooks";"1994-01-20";"81.79";"21.53";"23";"0";"540";"100";"21.11";"78.89";"78.89";"83.45";"78.33";"65.37";"9.44";"5.74";"60.78";"14.63";"7.78";"53.16"
"Luciano Federico Acosta";"AM";"all";"all";"24760";"L. Acosta";"1994-05-31";"99.42";"23.85";"22";"1";"975";"100";"29.74";"70.26";"70.26";"73.51";"66.97";"49.23";"24.1";"15.49";"64.26";"19.79";"11.08";"55.96"
"Albert Rusnák";"AM";"all";"all";"362";"A. Rusnák";"1994-07-07";"93.28";"24";"27";"0";"712";"100";"14.61";"85.39";"85.39";"86.78";"82.87";"71.91";"13.2";"8.99";"68.09";"12.22";"6.46";"52.87"
