Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
L. Bruera,Carabobo,Carabobo,GK,27,2628,0,0,0,0,Argentina,1.1,0.03,0,0.38,90.91,0,0,0,1.1,1.54,0,5,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,100,0,0.07,0,5.34,0.21,0.34,10.27,80.67,7.05,74.76,0.03,0,2.71,94.94,4.69,60.58,34.13,48.93,0,0,0,0,0,0,0,1.51,52.27,0,0,0.03,0,0,0,3.18,78.49,20,0.68,76,2.6,14,73.68,16.78,0.57,-3.22,-0.11,0,1.03,0.38
E. Lima,Monagas,Monagas,GK,32,2596,0,0,1,0.27,Venezuela,1.8,0.07,50,0.31,100,0,0,0,1.77,2.54,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.24,85.71,0,0,0,8.08,0.31,0.28,13.69,85.32,7.87,77.53,0,0,5.27,95.39,4.89,65.96,32.98,49.47,0.01,0.03,0,0,0.03,0,0.03,1.73,58,0.14,0,0.03,100,0,0,3.67,71.7,22,0.76,89,3.09,9,75.28,24.86,0.86,2.86,0.099,0,1.18,0.31
M. Silva,UCV,UCV,GK,25,2568,0,0,0,0.32,Venezuela,1.96,0.11,66.67,0.32,88.89,0.04,0.05,0,1.86,2.57,0.04,3,0.11,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,100,0,0,0,10.62,0.35,0.21,17.77,84.02,10.16,73.45,0.04,100,7.22,98.54,7.25,64.73,37.75,54.19,0.01,0.04,0.07,0,0,0,0,3.89,65.77,0.21,16.67,0.21,16.67,0.11,0,5.4,83.12,26,0.91,98,3.43,11,73.47,29.53,1.03,3.53,0.124,0.04,1.4,0.32
J. Zapata,UCV,UCV,"CF, AMF",31,2554,9,8.48,4,3.4,Colombia,5.5,5.53,60.51,6.59,34.22,0.35,0.5,0.14,1.8,2.55,1.34,3,0.11,0,0,2.82,0.32,7,0.25,0.3,1,0.04,57,2.01,35.09,15.789,0.14,3.31,36.17,2.11,41.67,7.44,31.28,3.35,0.85,0.14,13.88,1.73,1.41,20.4,69.95,4.23,55.83,4.97,90.07,6.8,67.88,2.08,55.93,19.12,30.53,0.12,1.06,0,0,0.28,12.5,0.39,1.83,65.38,3.31,41.49,0.39,27.27,0.56,1.27,2.75,75.64,0,,0,,0,0,0,0,,,0,,
J. Gutiérrez,Deportivo La Guaira,Deportivo La Guaira,"LB, LWB",27,2531,2,1.31,5,2.92,Panama,7.97,6.69,63.3,1.67,55.32,0.21,0.31,0.11,3.52,5.14,1,2,0.07,0,0,2.84,0.07,2,0.07,0.05,0,0,15,0.53,33.33,13.333,0.18,4.34,39.34,1.32,70.27,5.65,50.94,1.67,0.64,0,37.44,3.34,1.28,48.43,82.38,15.04,72.1,8.82,95.97,15.4,83.6,5.37,50.33,19.38,30.92,0.1,1.35,0.14,0.07,0.04,100,0.5,5.23,74.83,3.52,48.48,0.39,36.36,0.75,1.56,10.53,79.39,0,,0,,0,0,0,0,,,0.43,,
J. Camargo,Deportivo Táchira,Deportivo Táchira,GK,27,2517,0,0,0,0,Venezuela,1.72,0.11,66.67,0.5,100,0,0,0,1.64,2.51,0,2,0.07,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0.32,77.78,0,0,0,10.44,0.43,0.21,18.2,84.28,11.19,76.04,0,0,6.22,98.28,6.15,58.72,32.82,51.64,0,0,0,0,0,0,0,1.82,49.02,0.11,33.33,0.18,20,0.04,0,5.01,69.29,22,0.79,110,3.93,10,80,31.07,1.11,9.07,0.324,0,2.04,0.5
C. Sosa,Deportivo Táchira,Deportivo Táchira,"RW, RAMF, AMF",30,2372,3,5.25,8,6.09,Venezuela,4.1,4.86,53.13,0.49,7.69,0.04,0.06,0.08,1.48,2.25,0.91,5,0.19,0,0,5.08,0.11,3,0.11,0.2,0,0,51,1.94,31.37,5.882,0.3,3.76,29.29,5.08,58.96,14.99,41.52,2.81,3.91,0.3,30.7,1.94,1.25,42.57,77.54,13.62,70.47,6.83,91.11,14.87,75.77,4.21,46.85,19.28,32.68,0.23,1.71,0,0.08,0.65,58.82,0.68,7.36,64.95,6.37,48.81,1.48,33.33,2.31,1.02,7.51,90.91,0,,0,,0,0,0,0,,,0.04,,
L. Corredor,Portuguesa,Portuguesa,GK,27,2368,0,0,1,0,Venezuela,1.52,0.08,100,0.53,85.71,0,0,0,1.44,2.2,0,3,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.27,85.71,0,0,0.04,6.42,0.08,0.38,12.01,83.23,7.15,73.4,0,0,4.71,97.58,5.24,65.22,35.01,47.01,0,0,0,0,0,0,0,1.67,59.09,0.04,0,0,0,0,0,4.14,77.06,26,0.99,81,3.08,6,67.9,21.49,0.82,-4.51,-0.171,0,1.6,0.53
J. Pérez,Carabobo,Carabobo,"LCMF, LB",26,2347,2,2.67,2,0.79,Venezuela,7.82,6.83,66.85,1.61,38.1,0.27,0.37,0.08,2.99,4.14,1.5,9,0.35,0,0,2.8,0.08,2,0.08,0.1,0,0,28,1.07,25,7.143,0.08,2.42,39.68,2.19,70.18,6.75,49.43,1.5,1.38,0.23,23.62,1.38,1.27,34.4,83.95,10.85,76.33,5.87,96.73,10.43,84.19,2.61,54.41,17.37,31.43,0.03,0.5,0,0.04,0.12,33.33,0.23,5.87,76.47,2.26,42.37,0.38,20,0.46,0.92,5.33,83.45,0,,0,,0,0,0,0,,,0.15,,
A. Ferro,Metropolitanos,Metropolitanos,"RCB, CB, LCB",24,2346,1,1.16,1,0.32,Venezuela,6.75,4.64,61.98,2.38,41.94,0.38,0.5,0.65,3.49,4.57,0.38,3,0.12,1,0.04,0.35,0.04,0,0,0.04,0,0,6,0.23,66.67,16.667,0.04,0.08,50,0.27,57.14,0.69,50,0.35,0.23,0,23.82,0.27,0.15,35.87,87.06,15,76.98,1.19,93.55,16.38,95.78,4.57,55.46,21.66,37.36,0.01,0.04,0,0.04,0,0,0.04,3.3,74.42,0.27,14.29,0.08,0,0.08,0.04,6.71,67.43,0,,0,,0,0,0,0,,,0.81,,
